# WL(A)	 Flux(ergs/cm**2/s/nm)
1151.000  2.297E-11
1151.200  2.499E-11
1151.400  2.883E-11
1151.600  2.698E-11
1151.800  2.894E-11
1152.000  2.604E-11
1152.200  2.604E-11
1152.400  2.959E-11
1152.600  2.995E-11
1152.800  2.116E-11
1153.000  2.901E-11
1153.200  2.872E-11
1153.400  2.874E-11
1153.600  2.874E-11
1153.800  2.504E-11
1154.000  2.240E-11
1154.200  2.669E-11
1154.400  2.812E-11
1154.600  2.616E-11
1154.800  2.511E-11
1155.000  2.093E-11
1155.200  2.996E-11
1155.400  2.528E-11
1155.600  2.688E-11
1155.800  2.879E-11
1156.000  2.057E-11
1156.200  2.915E-11
1156.400  2.843E-11
1156.600  2.818E-11
1156.800  3.132E-11
1157.000  2.846E-11
1157.200  2.580E-11
1157.400  2.971E-11
1157.600  3.009E-11
1157.800  2.403E-11
1158.000  2.570E-11
1158.200  2.344E-11
1158.400  3.119E-11
1158.600  3.172E-11
1158.800  2.776E-11
1159.000  2.600E-11
1159.200  2.478E-11
1159.400  2.723E-11
1159.600  2.527E-11
1159.800  2.804E-11
1160.000  2.824E-11
1160.200  2.497E-11
1160.400  3.087E-11
1160.600  2.876E-11
1160.800  2.702E-11
1161.000  2.439E-11
1161.200  2.787E-11
1161.400  2.900E-11
1161.600  2.636E-11
1161.800  2.663E-11
1162.000  2.175E-11
1162.200  2.509E-11
1162.400  2.623E-11
1162.600  1.946E-11
1162.800  2.652E-11
1163.000  2.845E-11
1163.200  2.456E-11
1163.400  2.465E-11
1163.600  2.816E-11
1163.800  2.990E-11
1164.000  2.522E-11
1164.200  2.531E-11
1164.400  2.689E-11
1164.600  2.689E-11
1164.800  2.588E-11
1165.000  2.532E-11
1165.200  2.796E-11
1165.400  2.757E-11
1165.600  2.456E-11
1165.800  2.441E-11
1166.000  2.404E-11
1166.200  2.343E-11
1166.400  2.547E-11
1166.600  2.813E-11
1166.800  2.797E-11
1167.000  2.738E-11
1167.200  2.854E-11
1167.400  2.751E-11
1167.600  2.801E-11
1167.800  2.858E-11
1168.000  2.805E-11
1168.200  2.691E-11
1168.400  2.772E-11
1168.600  2.959E-11
1168.800  2.517E-11
1169.000  2.428E-11
1169.200  2.240E-11
1169.400  2.552E-11
1169.600  2.476E-11
1169.800  2.571E-11
1170.000  2.725E-11
1170.200  2.551E-11
1170.400  2.880E-11
1170.600  2.642E-11
1170.800  2.662E-11
1171.000  2.655E-11
1171.200  2.441E-11
1171.400  2.671E-11
1171.600  2.597E-11
1171.800  3.013E-11
1172.000  2.803E-11
1172.200  2.468E-11
1172.400  2.134E-11
1172.600  2.427E-11
1172.800  2.580E-11
1173.000  2.494E-11
1173.200  2.384E-11
1173.400  2.401E-11
1173.600  2.502E-11
1173.800  2.252E-11
1174.000  1.976E-11
1174.200  1.990E-11
1174.400  1.653E-11
1174.600  1.549E-11
1174.800  1.043E-11
1175.000  7.390E-12
1175.200  7.383E-12
1175.400  7.170E-12
1175.600  4.471E-12
1175.800  4.339E-12
1176.000  5.843E-12
1176.200  7.778E-12
1176.400  7.481E-12
1176.600  1.167E-11
1176.800  1.731E-11
1177.000  2.006E-11
1177.200  2.367E-11
1177.400  2.132E-11
1177.600  2.162E-11
1177.800  2.432E-11
1178.000  2.651E-11
1178.200  2.697E-11
1178.400  2.550E-11
1178.600  2.310E-11
1178.800  2.594E-11
1179.000  2.537E-11
1179.200  2.598E-11
1179.400  2.667E-11
1179.600  2.751E-11
1179.800  2.692E-11
1180.000  2.614E-11
1180.200  2.552E-11
1180.400  2.335E-11
1180.600  2.428E-11
1180.800  2.277E-11
1181.000  2.632E-11
1181.200  2.739E-11
1181.400  2.608E-11
1181.600  2.669E-11
1181.800  2.611E-11
1182.000  2.563E-11
1182.200  2.845E-11
1182.400  2.887E-11
1182.600  2.430E-11
1182.800  2.457E-11
1183.000  1.878E-11
1183.200  2.502E-11
1183.400  2.337E-11
1183.600  2.633E-11
1183.800  2.616E-11
1184.000  2.593E-11
1184.200  2.602E-11
1184.400  2.633E-11
1184.600  2.353E-11
1184.800  2.626E-11
1185.000  2.735E-11
1185.200  2.598E-11
1185.400  2.639E-11
1185.600  2.644E-11
1185.800  2.685E-11
1186.000  2.760E-11
1186.200  2.028E-11
1186.400  2.893E-11
1186.600  2.822E-11
1186.800  2.730E-11
1187.000  2.819E-11
1187.200  2.734E-11
1187.400  2.039E-11
1187.600  2.536E-11
1187.800  2.353E-11
1188.000  2.693E-11
1188.200  2.908E-11
1188.400  2.846E-11
1188.600  2.597E-11
1188.800  2.619E-11
1189.000  2.573E-11
1189.200  2.316E-11
1189.400  2.872E-11
1189.600  2.626E-11
1189.800  2.708E-11
1190.000  2.693E-11
1190.200  2.573E-11
1190.400  2.032E-11
1190.600  2.622E-11
1190.800  2.680E-11
1191.000  2.872E-11
1191.200  2.643E-11
1191.400  2.611E-11
1191.600  2.515E-11
1191.800  2.463E-11
1192.000  2.421E-11
1192.200  2.419E-11
1192.400  2.340E-11
1192.600  2.284E-11
1192.800  2.481E-11
1193.000  2.421E-11
1193.200  2.540E-11
1193.400  2.191E-11
1193.600  2.425E-11
1193.800  2.644E-11
1194.000  2.401E-11
1194.200  2.537E-11
1194.400  2.498E-11
1194.600  2.422E-11
1194.800  2.512E-11
1195.000  2.453E-11
1195.200  2.280E-11
1195.400  2.616E-11
1195.600  2.616E-11
1195.800  2.536E-11
1196.000  2.368E-11
1196.200  2.675E-11
1196.400  2.363E-11
1196.600  2.535E-11
1196.800  2.776E-11
1197.000  2.237E-11
1197.200  2.331E-11
1197.400  2.279E-11
1197.600  2.614E-11
1197.800  2.381E-11
1198.000  2.456E-11
1198.200  2.121E-11
1198.400  2.373E-11
1198.600  2.233E-11
1198.800  2.354E-11
1199.000  2.367E-11
1199.200  2.366E-11
1199.400  1.844E-11
1199.600  1.944E-11
1199.800  2.315E-11
1200.000  2.384E-11
1200.200  2.094E-11
1200.400  2.612E-11
1200.600  1.689E-11
1200.800  1.976E-11
1201.000  2.065E-11
1201.200  2.131E-11
1201.400  2.020E-11
1201.600  2.336E-11
1201.800  2.325E-11
1202.000  2.352E-11
1202.200  2.181E-11
1202.400  2.185E-11
1202.600  2.182E-11
1202.800  2.360E-11
1203.000  2.204E-11
1203.200  2.094E-11
1203.400  2.173E-11
1203.600  2.068E-11
1203.800  2.199E-11
1204.000  2.112E-11
1204.200  2.117E-11
1204.400  1.816E-11
1204.600  1.856E-11
1204.800  2.056E-11
1205.000  1.899E-11
1205.200  1.961E-11
1205.400  1.862E-11
1205.600  1.710E-11
1205.800  1.488E-11
1206.000  1.243E-11
1206.200  8.629E-12
1206.400  2.106E-12
1206.600  1.907E-12
1206.800  6.586E-12
1207.000  8.713E-12
1207.200  1.317E-11
1207.400  1.389E-11
1207.600  1.348E-11
1207.800  1.497E-11
1208.000  1.588E-11
1208.200  1.566E-11
1208.400  1.578E-11
1208.600  1.412E-11
1208.800  1.495E-11
1209.000  1.399E-11
1209.200  1.163E-11
1209.400  1.368E-11
1209.600  1.286E-11
1209.800  1.345E-11
1210.000  1.302E-11
1210.200  1.141E-11
1210.400  1.140E-11
1210.600  1.038E-11
1210.800  1.026E-11
1211.000  9.742E-12
1211.200  8.489E-12
1211.400  8.199E-12
1211.600  7.767E-12
1211.800  7.385E-12
1212.000  5.781E-12
1212.200  5.650E-12
1212.400  5.080E-12
1212.600  4.339E-12
1212.800  3.795E-12
1213.000  3.049E-12
1213.200  3.000E-12
1213.400  2.203E-12
1213.600  1.698E-12
1213.800  1.347E-12
1214.000  9.040E-13
1214.200  7.689E-13
1214.400  1.510E-13
1214.600  1.503E-13
1214.800  1.497E-13
1215.000  1.492E-13
1215.200  1.488E-13
1215.400  1.485E-13
1215.600  1.483E-13
1215.800  5.134E-13
1216.000  1.480E-13
1216.200  1.480E-13
1216.400  1.480E-13
1216.600  1.480E-13
1216.800  4.017E-13
1217.000  4.503E-13
1217.200  8.100E-13
1217.400  1.103E-12
1217.600  1.443E-12
1217.800  2.018E-12
1218.000  2.256E-12
1218.200  2.773E-12
1218.400  3.316E-12
1218.600  3.821E-12
1218.800  4.560E-12
1219.000  5.215E-12
1219.200  5.443E-12
1219.400  6.416E-12
1219.600  6.843E-12
1219.800  6.987E-12
1220.000  7.496E-12
1220.200  8.888E-12
1220.400  9.433E-12
1220.600  9.891E-12
1220.800  1.036E-11
1221.000  7.989E-12
1221.200  1.196E-11
1221.400  1.234E-11
1221.600  1.280E-11
1221.800  1.259E-11
1222.000  1.231E-11
1222.200  1.361E-11
1222.400  1.376E-11
1222.600  1.460E-11
1222.800  1.418E-11
1223.000  1.521E-11
1223.200  1.539E-11
1223.400  1.675E-11
1223.600  1.651E-11
1223.800  1.584E-11
1224.000  1.581E-11
1224.200  1.637E-11
1224.400  1.768E-11
1224.600  1.808E-11
1224.800  1.804E-11
1225.000  1.738E-11
1225.200  1.723E-11
1225.400  1.686E-11
1225.600  1.642E-11
1225.800  1.891E-11
1226.000  1.987E-11
1226.200  2.022E-11
1226.400  1.934E-11
1226.600  1.803E-11
1226.800  1.563E-11
1227.000  1.749E-11
1227.200  2.018E-11
1227.400  2.015E-11
1227.600  1.970E-11
1227.800  2.042E-11
1228.000  2.060E-11
1228.200  1.934E-11
1228.400  1.976E-11
1228.600  1.449E-11
1228.800  2.015E-11
1229.000  1.931E-11
1229.200  1.989E-11
1229.400  1.904E-11
1229.600  2.001E-11
1229.800  1.909E-11
1230.000  1.516E-11
1230.200  1.639E-11
1230.400  1.956E-11
1230.600  2.137E-11
1230.800  2.120E-11
1231.000  2.179E-11
1231.200  2.220E-11
1231.400  2.174E-11
1231.600  2.262E-11
1231.800  2.232E-11
1232.000  2.236E-11
1232.200  2.261E-11
1232.400  2.222E-11
1232.600  2.143E-11
1232.800  2.193E-11
1233.000  2.153E-11
1233.200  2.181E-11
1233.400  2.195E-11
1233.600  2.190E-11
1233.800  2.136E-11
1234.000  2.131E-11
1234.200  2.064E-11
1234.400  2.119E-11
1234.600  2.297E-11
1234.800  2.248E-11
1235.000  2.364E-11
1235.200  2.356E-11
1235.400  2.157E-11
1235.600  2.187E-11
1235.800  2.243E-11
1236.000  2.194E-11
1236.200  2.111E-11
1236.400  2.293E-11
1236.600  2.230E-11
1236.800  2.177E-11
1237.000  2.295E-11
1237.200  2.291E-11
1237.400  2.275E-11
1237.600  2.392E-11
1237.800  2.256E-11
1238.000  2.432E-11
1238.200  2.307E-11
1238.400  2.106E-11
1238.600  2.213E-11
1238.800  2.235E-11
1239.000  2.105E-11
1239.200  2.140E-11
1239.400  2.326E-11
1239.600  2.221E-11
1239.800  2.151E-11
1240.000  2.334E-11
1240.200  2.254E-11
1240.400  2.323E-11
1240.600  2.323E-11
1240.800  2.092E-11
1241.000  2.320E-11
1241.200  2.323E-11
1241.400  2.466E-11
1241.600  2.369E-11
1241.800  2.309E-11
1242.000  2.404E-11
1242.200  2.413E-11
1242.400  2.162E-11
1242.600  2.357E-11
1242.800  2.146E-11
1243.000  2.127E-11
1243.200  2.127E-11
1243.400  2.311E-11
1243.600  2.213E-11
1243.800  2.394E-11
1244.000  2.395E-11
1244.200  2.310E-11
1244.400  2.241E-11
1244.600  2.189E-11
1244.800  2.333E-11
1245.000  2.381E-11
1245.200  2.064E-11
1245.400  2.347E-11
1245.600  2.261E-11
1245.800  2.282E-11
1246.000  2.265E-11
1246.200  2.308E-11
1246.400  2.229E-11
1246.600  2.165E-11
1246.800  2.089E-11
1247.000  1.990E-11
1247.200  1.864E-11
1247.400  1.257E-11
1247.600  1.891E-11
1247.800  1.884E-11
1248.000  2.235E-11
1248.200  2.193E-11
1248.400  2.192E-11
1248.600  2.257E-11
1248.800  2.361E-11
1249.000  2.335E-11
1249.200  2.268E-11
1249.400  2.383E-11
1249.600  2.224E-11
1249.800  2.119E-11
1250.000  2.229E-11
1250.200  2.151E-11
1250.400  2.055E-11
1250.600  2.202E-11
1250.800  2.380E-11
1251.000  2.364E-11
1251.200  2.285E-11
1251.400  2.197E-11
1251.600  2.186E-11
1251.800  2.313E-11
1252.000  2.187E-11
1252.200  2.410E-11
1252.400  2.038E-11
1252.600  2.057E-11
1252.800  2.222E-11
1253.000  2.355E-11
1253.200  2.097E-11
1253.400  2.225E-11
1253.600  2.092E-11
1253.800  2.078E-11
1254.000  1.978E-11
1254.200  2.364E-11
1254.400  2.347E-11
1254.600  2.201E-11
1254.800  2.166E-11
1255.000  2.098E-11
1255.200  2.197E-11
1255.400  2.138E-11
1255.600  2.310E-11
1255.800  2.305E-11
1256.000  2.286E-11
1256.200  2.308E-11
1256.400  2.354E-11
1256.600  1.925E-11
1256.800  2.403E-11
1257.000  2.403E-11
1257.200  2.351E-11
1257.400  2.238E-11
1257.600  2.113E-11
1257.800  2.192E-11
1258.000  2.377E-11
1258.200  2.273E-11
1258.400  2.292E-11
1258.600  2.124E-11
1258.800  2.341E-11
1259.000  2.322E-11
1259.200  2.263E-11
1259.400  2.166E-11
1259.600  2.168E-11
1259.800  2.253E-11
1260.000  2.264E-11
1260.200  2.090E-11
1260.400  1.914E-11
1260.600  2.293E-11
1260.800  2.111E-11
1261.000  2.266E-11
1261.200  2.182E-11
1261.400  2.216E-11
1261.600  2.037E-11
1261.800  2.161E-11
1262.000  2.246E-11
1262.200  2.008E-11
1262.400  2.049E-11
1262.600  2.187E-11
1262.800  2.344E-11
1263.000  2.081E-11
1263.200  2.176E-11
1263.400  2.352E-11
1263.600  2.225E-11
1263.800  2.332E-11
1264.000  2.412E-11
1264.200  2.256E-11
1264.400  2.274E-11
1264.600  2.219E-11
1264.800  2.189E-11
1265.000  2.167E-11
1265.200  2.176E-11
1265.400  2.288E-11
1265.600  2.304E-11
1265.800  2.117E-11
1266.000  2.026E-11
1266.200  2.054E-11
1266.400  2.289E-11
1266.600  2.336E-11
1266.800  2.296E-11
1267.000  2.223E-11
1267.200  2.238E-11
1267.400  2.130E-11
1267.600  2.261E-11
1267.800  2.260E-11
1268.000  2.087E-11
1268.200  2.079E-11
1268.400  2.188E-11
1268.600  2.334E-11
1268.800  2.227E-11
1269.000  2.014E-11
1269.200  2.151E-11
1269.400  2.311E-11
1269.600  2.311E-11
1269.800  2.269E-11
1270.000  2.344E-11
1270.200  2.340E-11
1270.400  2.277E-11
1270.600  2.164E-11
1270.800  2.256E-11
1271.000  2.254E-11
1271.200  2.016E-11
1271.400  2.075E-11
1271.600  2.066E-11
1271.800  2.093E-11
1272.000  2.126E-11
1272.200  2.139E-11
1272.400  2.230E-11
1272.600  2.182E-11
1272.800  2.303E-11
1273.000  2.254E-11
1273.200  2.225E-11
1273.400  2.227E-11
1273.600  2.220E-11
1273.800  2.069E-11
1274.000  2.241E-11
1274.200  2.303E-11
1274.400  2.282E-11
1274.600  2.213E-11
1274.800  2.152E-11
1275.000  1.845E-11
1275.200  1.828E-11
1275.400  2.199E-11
1275.600  2.218E-11
1275.800  2.250E-11
1276.000  2.119E-11
1276.200  2.039E-11
1276.400  2.144E-11
1276.600  2.235E-11
1276.800  2.053E-11
1277.000  2.177E-11
1277.200  1.893E-11
1277.400  2.050E-11
1277.600  2.069E-11
1277.800  2.188E-11
1278.000  2.193E-11
1278.200  2.166E-11
1278.400  2.266E-11
1278.600  2.298E-11
1278.800  2.046E-11
1279.000  2.231E-11
1279.200  2.191E-11
1279.400  2.192E-11
1279.600  2.248E-11
1279.800  2.214E-11
1280.000  2.151E-11
1280.200  2.080E-11
1280.400  2.110E-11
1280.600  2.226E-11
1280.800  2.228E-11
1281.000  2.217E-11
1281.200  2.253E-11
1281.400  2.115E-11
1281.600  2.087E-11
1281.800  2.213E-11
1282.000  2.114E-11
1282.200  2.133E-11
1282.400  1.985E-11
1282.600  2.100E-11
1282.800  2.155E-11
1283.000  2.124E-11
1283.200  2.049E-11
1283.400  2.199E-11
1283.600  2.142E-11
1283.800  2.203E-11
1284.000  2.016E-11
1284.200  1.969E-11
1284.400  2.229E-11
1284.600  2.267E-11
1284.800  2.197E-11
1285.000  2.237E-11
1285.200  2.217E-11
1285.400  2.166E-11
1285.600  2.189E-11
1285.800  2.134E-11
1286.000  2.106E-11
1286.200  1.894E-11
1286.400  2.136E-11
1286.600  2.037E-11
1286.800  2.229E-11
1287.000  2.167E-11
1287.200  2.001E-11
1287.400  1.990E-11
1287.600  2.242E-11
1287.800  2.108E-11
1288.000  2.241E-11
1288.200  2.144E-11
1288.400  2.103E-11
1288.600  2.005E-11
1288.800  2.176E-11
1289.000  2.246E-11
1289.200  2.229E-11
1289.400  2.135E-11
1289.600  2.167E-11
1289.800  2.155E-11
1290.000  1.986E-11
1290.200  2.234E-11
1290.400  2.158E-11
1290.600  2.199E-11
1290.800  2.174E-11
1291.000  2.153E-11
1291.200  2.178E-11
1291.400  2.093E-11
1291.600  1.389E-11
1291.800  2.154E-11
1292.000  2.198E-11
1292.200  2.092E-11
1292.400  2.202E-11
1292.600  2.152E-11
1292.800  2.224E-11
1293.000  2.216E-11
1293.200  2.087E-11
1293.400  1.901E-11
1293.600  1.852E-11
1293.800  2.168E-11
1294.000  2.176E-11
1294.200  2.164E-11
1294.400  2.033E-11
1294.600  5.868E-12
1294.800  2.000E-11
1295.000  2.112E-11
1295.200  2.168E-11
1295.400  2.066E-11
1295.600  2.091E-11
1295.800  1.951E-11
1296.000  2.071E-11
1296.200  1.918E-11
1296.400  1.769E-11
1296.600  1.573E-11
1296.800  1.855E-11
1297.000  2.073E-11
1297.200  2.110E-11
1297.400  2.065E-11
1297.600  2.085E-11
1297.800  2.198E-11
1298.000  1.874E-11
1298.200  2.109E-11
1298.400  2.104E-11
1298.600  1.733E-11
1298.800  1.288E-11
1299.000  1.463E-11
1299.200  1.755E-11
1299.400  1.850E-11
1299.600  1.985E-11
1299.800  2.206E-11
1300.000  2.182E-11
1300.200  2.090E-11
1300.400  2.014E-11
1300.600  2.134E-11
1300.800  1.978E-11
1301.000  1.988E-11
1301.200  1.929E-11
1301.400  2.027E-11
1301.600  2.049E-11
1301.800  2.006E-11
1302.000  2.160E-11
1302.200  1.799E-11
1302.400  2.118E-11
1302.600  2.122E-11
1302.800  2.036E-11
1303.000  2.051E-11
1303.200  1.967E-11
1303.400  1.899E-11
1303.600  2.100E-11
1303.800  2.126E-11
1304.000  2.191E-11
1304.200  2.056E-11
1304.400  1.703E-11
1304.600  1.912E-11
1304.800  1.973E-11
1305.000  1.961E-11
1305.200  1.922E-11
1305.400  1.819E-11
1305.600  1.858E-11
1305.800  2.064E-11
1306.000  2.049E-11
1306.200  1.897E-11
1306.400  1.909E-11
1306.600  1.909E-11
1306.800  2.093E-11
1307.000  2.091E-11
1307.200  1.882E-11
1307.400  1.979E-11
1307.600  2.121E-11
1307.800  2.219E-11
1308.000  2.134E-11
1308.200  2.007E-11
1308.400  2.143E-11
1308.600  2.125E-11
1308.800  1.984E-11
1309.000  2.091E-11
1309.200  2.022E-11
1309.400  1.657E-11
1309.600  1.925E-11
1309.800  2.108E-11
1310.000  2.117E-11
1310.200  2.051E-11
1310.400  2.170E-11
1310.600  2.094E-11
1310.800  2.137E-11
1311.000  2.048E-11
1311.200  2.057E-11
1311.400  2.095E-11
1311.600  2.119E-11
1311.800  2.124E-11
1312.000  2.054E-11
1312.200  2.100E-11
1312.400  1.980E-11
1312.600  1.911E-11
1312.800  2.101E-11
1313.000  2.085E-11
1313.200  2.038E-11
1313.400  2.062E-11
1313.600  2.113E-11
1313.800  2.036E-11
1314.000  2.034E-11
1314.200  2.063E-11
1314.400  2.117E-11
1314.600  1.995E-11
1314.800  2.036E-11
1315.000  1.929E-11
1315.200  2.067E-11
1315.400  2.039E-11
1315.600  2.111E-11
1315.800  2.010E-11
1316.000  2.031E-11
1316.200  1.946E-11
1316.400  1.954E-11
1316.600  2.056E-11
1316.800  2.091E-11
1317.000  1.956E-11
1317.200  1.917E-11
1317.400  2.088E-11
1317.600  1.940E-11
1317.800  2.044E-11
1318.000  2.021E-11
1318.200  2.044E-11
1318.400  2.030E-11
1318.600  2.063E-11
1318.800  2.122E-11
1319.000  2.109E-11
1319.200  2.003E-11
1319.400  1.996E-11
1319.600  2.062E-11
1319.800  2.029E-11
1320.000  2.071E-11
1320.200  2.051E-11
1320.400  2.042E-11
1320.600  2.041E-11
1320.800  1.884E-11
1321.000  1.916E-11
1321.200  1.986E-11
1321.400  2.015E-11
1321.600  2.075E-11
1321.800  2.021E-11
1322.000  2.095E-11
1322.200  2.085E-11
1322.400  2.003E-11
1322.600  2.048E-11
1322.800  2.048E-11
1323.000  2.037E-11
1323.200  1.984E-11
1323.400  2.041E-11
1323.600  2.059E-11
1323.800  1.952E-11
1324.000  1.856E-11
1324.200  1.917E-11
1324.400  1.913E-11
1324.600  2.027E-11
1324.800  1.714E-11
1325.000  1.889E-11
1325.200  2.033E-11
1325.400  2.040E-11
1325.600  2.040E-11
1325.800  1.971E-11
1326.000  2.017E-11
1326.200  2.020E-11
1326.400  2.068E-11
1326.600  2.068E-11
1326.800  1.929E-11
1327.000  2.052E-11
1327.200  1.816E-11
1327.400  2.070E-11
1327.600  1.850E-11
1327.800  1.885E-11
1328.000  1.677E-11
1328.200  1.947E-11
1328.400  1.836E-11
1328.600  1.834E-11
1328.800  1.928E-11
1329.000  1.860E-11
1329.200  1.835E-11
1329.400  2.083E-11
1329.600  1.988E-11
1329.800  1.532E-11
1330.000  1.666E-11
1330.200  1.805E-11
1330.400  1.911E-11
1330.600  2.001E-11
1330.800  1.936E-11
1331.000  1.920E-11
1331.200  1.889E-11
1331.400  1.944E-11
1331.600  1.890E-11
1331.800  1.902E-11
1332.000  1.946E-11
1332.200  1.997E-11
1332.400  1.868E-11
1332.600  1.938E-11
1332.800  1.892E-11
1333.000  1.890E-11
1333.200  1.883E-11
1333.400  2.000E-11
1333.600  2.006E-11
1333.800  1.965E-11
1334.000  1.830E-11
1334.200  1.807E-11
1334.400  1.612E-11
1334.600  1.371E-11
1334.800  1.530E-11
1335.000  1.571E-11
1335.200  1.626E-11
1335.400  1.572E-11
1335.600  1.155E-11
1335.800  1.339E-11
1336.000  1.689E-11
1336.200  1.862E-11
1336.400  2.013E-11
1336.600  1.899E-11
1336.800  1.960E-11
1337.000  1.991E-11
1337.200  1.999E-11
1337.400  1.931E-11
1337.600  1.856E-11
1337.800  1.934E-11
1338.000  1.858E-11
1338.200  1.955E-11
1338.400  2.036E-11
1338.600  1.983E-11
1338.800  2.005E-11
1339.000  1.897E-11
1339.200  2.003E-11
1339.400  2.037E-11
1339.600  1.902E-11
1339.800  1.932E-11
1340.000  2.044E-11
1340.200  1.833E-11
1340.400  1.988E-11
1340.600  1.984E-11
1340.800  1.920E-11
1341.000  1.958E-11
1341.200  1.940E-11
1341.400  1.861E-11
1341.600  1.895E-11
1341.800  1.951E-11
1342.000  1.964E-11
1342.200  1.771E-11
1342.400  1.444E-11
1342.600  1.889E-11
1342.800  1.951E-11
1343.000  1.955E-11
1343.200  1.865E-11
1343.400  1.865E-11
1343.600  1.826E-11
1343.800  1.929E-11
1344.000  1.917E-11
1344.200  1.946E-11
1344.400  1.929E-11
1344.600  2.013E-11
1344.800  1.834E-11
1345.000  1.830E-11
1345.200  1.951E-11
1345.400  1.871E-11
1345.600  1.885E-11
1345.800  1.861E-11
1346.000  1.860E-11
1346.200  1.860E-11
1346.400  1.669E-11
1346.600  1.791E-11
1346.800  1.802E-11
1347.000  1.824E-11
1347.200  1.822E-11
1347.400  1.810E-11
1347.600  1.797E-11
1347.800  1.876E-11
1348.000  1.667E-11
1348.200  1.813E-11
1348.400  1.855E-11
1348.600  1.792E-11
1348.800  1.843E-11
1349.000  1.942E-11
1349.200  1.907E-11
1349.400  1.911E-11
1349.600  1.881E-11
1349.800  1.952E-11
1350.000  1.927E-11
1350.200  1.851E-11
1350.400  1.865E-11
1350.600  1.755E-11
