Index  TEMPERATURE   DENSITY    PRESSURE    DIFFUSION  
   1    2754.0      2.630E+21  9.998E+05    1.000E+10
   2    2732.0      2.564E+21  9.669E+05    1.000E+10
   3    2710.0      2.500E+21  9.352E+05    1.000E+10
   4    2688.0      2.437E+21  9.042E+05    1.000E+10
   5    2667.0      2.376E+21  8.747E+05    1.000E+10
   6    2645.0      2.317E+21  8.459E+05    1.000E+10
   7    2624.0      2.259E+21  8.182E+05    1.000E+10
   8    2603.0      2.202E+21  7.912E+05    1.000E+10
   9    2582.0      2.147E+21  7.652E+05    1.000E+10
  10    2561.0      2.093E+21  7.399E+05    1.000E+10
  11    2540.0      2.041E+21  7.156E+05    1.000E+10
  12    2520.0      1.990E+21  6.922E+05    1.000E+10
  13    2499.0      1.940E+21  6.692E+05    1.000E+10
  14    2479.0      1.892E+21  6.474E+05    1.000E+10
  15    2458.0      1.845E+21  6.260E+05    1.000E+10
  16    2438.0      1.799E+21  6.054E+05    1.000E+10
  17    2407.0      1.731E+21  5.751E+05    1.000E+10
  18    2377.0      1.667E+21  5.469E+05    1.000E+10
  19    2347.0      1.606E+21  5.203E+05    1.000E+10
  20    2316.0      1.547E+21  4.945E+05    1.000E+10
  21    2286.0      1.491E+21  4.705E+05    1.000E+10
  22    2255.0      1.437E+21  4.473E+05    1.000E+10
  23    2226.0      1.385E+21  4.255E+05    1.000E+10
  24    2197.0      1.335E+21  4.048E+05    1.000E+10
  25    2169.0      1.285E+21  3.847E+05    1.000E+10
  26    2142.0      1.238E+21  3.660E+05    1.000E+10
  27    2117.0      1.191E+21  3.480E+05    1.000E+10
  28    2095.0      1.145E+21  3.311E+05    1.000E+10
  29    2073.0      1.100E+21  3.147E+05    1.000E+10
  30    2054.0      1.056E+21  2.994E+05    2.185E+09
  31    2035.0      1.013E+21  2.845E+05    1.680E+09
  32    2018.0      9.720E+20  2.707E+05    1.290E+09
  33    2002.0      9.319E+20  2.575E+05    9.920E+08
  34    1987.0      8.931E+20  2.449E+05    7.624E+08
  35    1972.0      8.556E+20  2.329E+05    5.857E+08
  36    1959.0      8.195E+20  2.216E+05    4.501E+08
  37    1946.0      7.846E+20  2.107E+05    3.462E+08
  38    1934.0      7.509E+20  2.005E+05    2.661E+08
  39    1922.0      7.184E+20  1.906E+05    2.046E+08
  40    1912.0      6.870E+20  1.813E+05    2.694E+08
  41    1902.0      6.568E+20  1.724E+05    3.327E+08
  42    1893.0      6.277E+20  1.640E+05    3.958E+08
  43    1885.0      5.996E+20  1.560E+05    4.596E+08
  44    1878.0      5.725E+20  1.484E+05    5.222E+08
  45    1871.0      5.464E+20  1.411E+05    5.837E+08
  46    1866.0      5.214E+20  1.343E+05    5.876E+08
  47    1861.0      4.972E+20  1.277E+05    5.919E+08
  48    1857.0      4.740E+20  1.215E+05    5.963E+08
  49    1850.0      4.264E+20  1.089E+05    6.068E+08
  50    1847.0      3.865E+20  9.853E+04    6.230E+08
  51    1844.0      3.502E+20  8.914E+04    6.809E+08
  52    1842.0      3.173E+20  8.067E+04    7.388E+08
  53    1839.0      2.875E+20  7.298E+04    7.966E+08
  54    1837.0      2.605E+20  6.605E+04    8.529E+08
  55    1834.0      2.361E+20  5.977E+04    9.085E+08
  56    1832.0      2.138E+20  5.406E+04    9.647E+08
  57    1831.0      1.936E+20  4.893E+04    1.022E+09
  58    1831.0      1.752E+20  4.428E+04    1.081E+09
  59    1830.0      1.586E+20  4.006E+04    1.142E+09
  60    1830.0      1.435E+20  3.625E+04    1.202E+09
  61    1831.0      1.298E+20  3.280E+04    1.264E+09
  62    1831.0      1.175E+20  2.970E+04    1.327E+09
  63    1831.0      1.063E+20  2.687E+04    1.390E+09
  64    1832.0      9.616E+19  2.432E+04    1.459E+09
  65    1832.0      8.701E+19  2.200E+04    1.555E+09
  66    1831.0      7.876E+19  1.991E+04    1.651E+09
  67    1830.0      7.130E+19  1.801E+04    1.746E+09
  68    1829.0      6.455E+19  1.630E+04    1.803E+09
  69    1828.0      5.845E+19  1.475E+04    1.846E+09
  70    1827.0      5.292E+19  1.335E+04    1.889E+09
  71    1825.0      4.793E+19  1.207E+04    1.960E+09
  72    1823.0      4.342E+19  1.093E+04    2.108E+09
  73    1820.0      3.936E+19  9.888E+03    2.255E+09
  74    1816.0      3.569E+19  8.946E+03    2.400E+09
  75    1811.0      3.238E+19  8.094E+03    2.534E+09
  76    1805.0      2.940E+19  7.325E+03    2.663E+09
  77    1798.0      2.670E+19  6.626E+03    2.791E+09
  78    1790.0      2.426E+19  5.994E+03    2.950E+09
