Level      PRESSURE   K91    K92    K93    K94    K95    K96    K97    K98    K99    K100
   1  1.672E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   2  1.617E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   3  1.564E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   4  1.512E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   5  1.462E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   6  1.414E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   7  1.368E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   8  1.323E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   9  1.280E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  10  1.237E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  11  1.176E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  12  1.118E+06   0.000E+00  3.783E-38  0.000E+00  1.604E-38  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  13  1.064E+06   0.000E+00  1.060E-35  2.350E-36  4.497E-36  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  14  1.011E+06   0.000E+00  1.856E-33  4.115E-34  7.872E-34  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  15  9.616E+05   0.000E+00  1.143E-31  2.536E-32  4.851E-32  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.011E-37  3.011E-37
  16  9.148E+05   0.000E+00  1.552E-29  3.442E-30  6.584E-30  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.219E-34  1.219E-34
  17  8.697E+05   0.000E+00  1.042E-27  2.311E-28  4.422E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.082E-32  3.082E-32
  18  8.272E+05   0.000E+00  3.976E-26  8.834E-27  1.690E-26  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.864E-30  6.864E-30
  19  7.866E+05   0.000E+00  1.764E-24  3.917E-25  7.494E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.750E-28  9.750E-28
  20  7.480E+05   0.000E+00  6.421E-23  1.427E-23  2.731E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.035E-25  1.035E-25
  21  7.112E+05   0.000E+00  1.475E-21  3.287E-22  6.289E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.259E-24  8.259E-24
  22  6.763E+05   0.000E+00  2.397E-20  5.370E-21  1.028E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.970E-22  4.970E-22
  23  6.433E+05   0.000E+00  4.120E-19  9.219E-20  1.765E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.006E-20  2.006E-20
  24  6.117E+05   0.000E+00  4.931E-18  1.111E-18  2.130E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.184E-19  6.184E-19
  25  5.818E+05   0.000E+00  4.073E-17  9.318E-18  1.792E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.478E-17  1.478E-17
  26  5.533E+05   0.000E+00  3.657E-16  8.467E-17  1.636E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.764E-16  2.764E-16
  27  5.259E+05   0.000E+00  2.383E-15  5.617E-16  1.097E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.678E-15  3.678E-15
  28  5.001E+05   0.000E+00  1.376E-14  3.385E-15  6.729E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.343E-14  4.343E-14
  29  4.756E+05   0.000E+00  6.168E-14  1.621E-14  3.318E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.797E-13  3.797E-13
  30  4.523E+05   0.000E+00  2.638E-13  7.482E-14  1.585E-13  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.742E-12  2.742E-12
  31  4.302E+05   0.000E+00  9.578E-13  3.066E-13  6.795E-13  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.700E-11  1.700E-11
  32  4.092E+05   0.000E+00  2.774E-12  1.043E-12  2.420E-12  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.964E-11  7.964E-11
  33  3.891E+05   0.000E+00  8.428E-12  3.783E-12  9.120E-12  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.658E-10  3.658E-10
  34  3.701E+05   0.000E+00  2.143E-11  1.158E-11  2.873E-11  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.323E-09  1.323E-09
  35  3.520E+05   0.000E+00  4.960E-11  3.320E-11  8.419E-11  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.317E-09  4.317E-09
  36  3.346E+05   0.000E+00  1.088E-10  9.016E-11  2.315E-10  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.283E-08  1.283E-08
  37  3.184E+05   0.000E+00  2.262E-10  2.314E-10  5.966E-10  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.507E-08  3.507E-08
  38  3.028E+05   0.000E+00  4.418E-10  5.608E-10  1.445E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.896E-08  8.896E-08
  39  2.879E+05   0.000E+00  8.224E-10  1.290E-09  3.303E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.109E-07  2.109E-07
  40  2.738E+05   0.000E+00  1.424E-09  2.656E-09  6.736E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.410E-07  4.410E-07
  41  2.603E+05   0.000E+00  2.461E-09  5.525E-09  1.386E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.284E-07  9.284E-07
  42  2.478E+05   0.000E+00  3.950E-09  1.042E-08  2.579E-08  4.473E-38  0.000E+00  0.000E+00  0.000E+00  1.759E-06  1.759E-06
