Level  PRESSURE   K111    K112    K113    K114    K115    K116    K117    K118    K119    K120
   1  1.672E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   2  1.617E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   3  1.564E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   4  1.512E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   5  1.462E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   6  1.414E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   7  1.368E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   8  1.323E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   9  1.280E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  10  1.237E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  11  1.176E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  12  1.118E+06   0.000E+00  0.000E+00  0.000E+00  2.739E-37  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  13  1.064E+06   0.000E+00  0.000E+00  0.000E+00  7.666E-35  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.921E-36  0.000E+00
  14  1.011E+06   0.000E+00  0.000E+00  0.000E+00  1.340E-32  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.105E-34  0.000E+00
  15  9.616E+05   0.000E+00  0.000E+00  0.000E+00  8.245E-31  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.142E-32  0.000E+00
  16  9.148E+05   0.000E+00  0.000E+00  0.000E+00  1.117E-28  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.258E-30  0.000E+00
  17  8.697E+05   0.000E+00  0.000E+00  0.000E+00  7.491E-27  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.854E-28  0.000E+00
  18  8.272E+05   0.000E+00  0.000E+00  0.000E+00  2.854E-25  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.087E-26  0.000E+00
  19  7.866E+05   0.000E+00  0.000E+00  0.000E+00  1.265E-23  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.819E-25  0.000E+00
  20  7.480E+05   0.000E+00  0.000E+00  0.000E+00  4.598E-22  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.752E-23  0.000E+00
  21  7.112E+05   0.000E+00  0.000E+00  0.000E+00  1.053E-20  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.012E-22  0.000E+00
  22  6.763E+05   0.000E+00  0.000E+00  0.000E+00  1.706E-19  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.499E-21  0.000E+00
  23  6.433E+05   0.000E+00  0.000E+00  0.000E+00  2.933E-18  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.117E-19  0.000E+00
  24  6.117E+05   0.000E+00  0.000E+00  0.000E+00  3.497E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.332E-18  0.000E+00
  25  5.818E+05   0.000E+00  0.000E+00  0.000E+00  2.872E-16  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.093E-17  0.000E+00
  26  5.533E+05   0.000E+00  0.000E+00  0.000E+00  2.573E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.794E-17  0.000E+00
  27  5.259E+05   0.000E+00  0.000E+00  0.000E+00  1.674E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.370E-16  0.000E+00
  28  5.001E+05   0.000E+00  0.000E+00  0.000E+00  9.608E-14  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.655E-15  0.000E+00
  29  4.756E+05   0.000E+00  0.000E+00  0.000E+00  4.290E-13  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.631E-14  0.000E+00
  30  4.523E+05   0.000E+00  0.000E+00  0.000E+00  1.836E-12  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.977E-14  0.000E+00
  31  4.302E+05   0.000E+00  0.000E+00  0.000E+00  6.665E-12  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.531E-13  0.000E+00
  32  4.092E+05   0.000E+00  0.000E+00  0.000E+00  1.938E-11  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.350E-13  0.000E+00
  33  3.891E+05   0.000E+00  0.000E+00  0.000E+00  5.952E-11  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.255E-12  0.000E+00
  34  3.701E+05   0.000E+00  0.000E+00  0.000E+00  1.534E-10  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.806E-12  0.000E+00
  35  3.520E+05   0.000E+00  0.000E+00  0.000E+00  3.651E-10  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.378E-11  0.000E+00
  36  3.346E+05   0.000E+00  0.000E+00  0.000E+00  8.300E-10  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.127E-11  0.000E+00
  37  3.184E+05   0.000E+00  0.000E+00  0.000E+00  1.801E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.771E-11  0.000E+00
  38  3.028E+05   0.000E+00  0.000E+00  0.000E+00  3.738E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.401E-10  0.000E+00
  39  2.879E+05   0.000E+00  0.000E+00  0.000E+00  7.503E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.804E-10  0.000E+00
  40  2.738E+05   0.000E+00  0.000E+00  0.000E+00  1.396E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.202E-10  0.000E+00
  41  2.603E+05   0.000E+00  0.000E+00  0.000E+00  2.623E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.753E-10  0.000E+00
  42  2.478E+05   0.000E+00  0.000E+00  0.000E+00  4.642E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.721E-09  0.000E+00
