 Level  PRESSURE   K121    K122    K123    K124    K125    K126    K127    K128    K129    K130
   1  1.672E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   2  1.617E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   3  1.564E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   4  1.512E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   5  1.462E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   6  1.414E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   7  1.368E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   8  1.323E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   9  1.280E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  10  1.237E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  11  1.176E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  12  1.118E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.246E-36  0.000E+00
  13  1.064E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.286E-34  0.000E+00
  14  1.011E+06   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.099E-31  0.000E+00
  15  9.616E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.437E-37  0.000E+00  0.000E+00  6.762E-30  0.000E+00
  16  9.148E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.141E-34  0.000E+00  0.000E+00  9.165E-28  3.968E-38
  17  8.697E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.457E-33  0.000E+00  0.000E+00  6.144E-26  3.289E-36
  18  8.272E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.056E-31  0.000E+00  0.000E+00  2.342E-24  2.802E-34
  19  7.866E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.465E-29  0.000E+00  0.000E+00  1.038E-22  2.944E-32
  20  7.480E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.006E-27  0.000E+00  0.000E+00  3.773E-21  1.741E-30
  21  7.112E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.467E-25  0.000E+00  0.000E+00  8.652E-20  5.104E-29
  22  6.763E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.500E-24  0.000E+00  0.000E+00  1.404E-18  2.608E-27
  23  6.433E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.209E-22  0.000E+00  0.000E+00  2.413E-17  7.684E-26
  24  6.117E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.438E-21  0.000E+00  0.000E+00  2.885E-16  1.196E-24
  25  5.818E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.057E-20  0.000E+00  0.000E+00  2.386E-15  2.454E-23
  26  5.533E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.155E-18  0.000E+00  0.000E+00  2.153E-14  4.017E-22
  27  5.259E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.083E-17  0.000E+00  0.000E+00  1.418E-13  3.768E-21
  28  5.001E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.112E-16  0.000E+00  0.000E+00  8.372E-13  3.866E-20
  29  4.756E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.631E-16  0.000E+00  0.000E+00  3.914E-12  3.350E-19
  30  4.523E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.394E-15  0.000E+00  0.000E+00  1.774E-11  2.224E-18
  31  4.302E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.426E-14  0.000E+00  0.000E+00  7.073E-11  1.191E-17
  32  4.092E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.745E-13  0.000E+00  0.000E+00  2.321E-10  6.070E-17
  33  3.891E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.047E-13  0.000E+00  0.000E+00  8.164E-10  2.799E-16
  34  3.701E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.825E-12  0.000E+00  0.000E+00  2.429E-09  9.824E-16
  35  3.520E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.004E-11  0.000E+00  0.000E+00  6.744E-09  3.491E-15
  36  3.346E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.157E-11  0.000E+00  0.000E+00  1.779E-08  1.098E-14
  37  3.184E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.844E-11  0.000E+00  0.000E+00  4.445E-08  3.076E-14
  38  3.028E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.367E-10  0.000E+00  0.000E+00  1.049E-07  8.233E-14
  39  2.879E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.997E-10  0.000E+00  0.000E+00  2.352E-07  2.086E-13
  40  2.738E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.314E-09  0.000E+00  0.000E+00  4.737E-07  4.569E-13
  41  2.603E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.865E-09  0.000E+00  0.000E+00  9.638E-07  9.963E-13
  42  2.478E+05   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.797E-09  0.000E+00  0.000E+00  1.780E-06  2.016E-12
