Index   TEMPERATURE   DENSITY    PRESSURE    DIFFUSION  
   1     2600.0      4.658E+21  1.672E+06    1.000E+10
   2     2579.0      4.543E+21  1.617E+06    1.000E+10
   3     2557.0      4.430E+21  1.564E+06    1.000E+10
   4     2536.0      4.320E+21  1.512E+06    1.000E+10
   5     2515.0      4.212E+21  1.462E+06    1.000E+10
   6     2494.0      4.108E+21  1.414E+06    1.000E+10
   7     2474.0      4.006E+21  1.368E+06    1.000E+10
   8     2453.0      3.907E+21  1.323E+06    1.000E+10
   9     2433.0      3.810E+21  1.280E+06    1.000E+10
  10     2413.0      3.715E+21  1.237E+06    1.000E+10
  11     2382.0      3.576E+21  1.176E+06    1.000E+10
  12     2352.0      3.444E+21  1.118E+06    1.000E+10
  13     2323.0      3.317E+21  1.064E+06    1.000E+10
  14     2293.0      3.195E+21  1.011E+06    1.000E+10
  15     2264.0      3.077E+21  9.616E+05    1.000E+10
  16     2236.0      2.964E+21  9.148E+05    1.000E+10
  17     2207.0      2.855E+21  8.697E+05    1.000E+10
  18     2180.0      2.749E+21  8.272E+05    1.000E+10
  19     2152.0      2.648E+21  7.866E+05    1.000E+10
  20     2125.0      2.550E+21  7.480E+05    1.000E+10
  21     2098.0      2.456E+21  7.112E+05    1.000E+10
  22     2071.0      2.366E+21  6.763E+05    1.000E+10
  23     2044.0      2.280E+21  6.433E+05    1.000E+10
  24     2018.0      2.196E+21  6.117E+05    1.000E+10
  25     1992.0      2.116E+21  5.818E+05    1.000E+10
  26     1966.0      2.039E+21  5.533E+05    1.000E+10
  27     1940.0      1.964E+21  5.259E+05    1.000E+10
  28     1915.0      1.892E+21  5.001E+05    1.000E+10
  29     1890.0      1.823E+21  4.756E+05    1.000E+10
  30     1866.0      1.756E+21  4.523E+05    1.000E+10
  31     1843.0      1.691E+21  4.302E+05    1.000E+10
  32     1821.0      1.628E+21  4.092E+05    1.000E+10
  33     1799.0      1.567E+21  3.891E+05    1.000E+10
  34     1779.0      1.507E+21  3.701E+05    1.000E+10
  35     1761.0      1.448E+21  3.520E+05    1.000E+10
  36     1744.0      1.390E+21  3.346E+05    1.000E+10
  37     1729.0      1.334E+21  3.184E+05    1.000E+10
  38     1715.0      1.279E+21  3.028E+05    1.000E+10
  39     1701.0      1.226E+21  2.879E+05    6.965E+09
  40     1688.0      1.175E+21  2.738E+05    4.755E+09
  41     1675.0      1.126E+21  2.603E+05    3.247E+09
  42     1662.0      1.080E+21  2.478E+05    2.221E+09
  43     1649.0      1.035E+21  2.356E+05    1.513E+09
  44     1635.0      9.927E+20  2.240E+05    1.034E+09
  45     1622.0      9.518E+20  2.131E+05    7.051E+08
  46     1609.0      9.123E+20  2.026E+05    4.820E+08
  47     1598.0      8.740E+20  1.928E+05    3.294E+08
  48     1587.0      8.367E+20  1.833E+05    2.252E+08
  49     1570.0      7.557E+20  1.638E+05    9.536E+07
  50     1562.0      6.871E+20  1.481E+05    1.288E+08
  51     1558.0      6.233E+20  1.340E+05    1.435E+08
  52     1555.0      5.651E+20  1.213E+05    1.411E+08
  53     1550.0      5.129E+20  1.097E+05    1.387E+08
  54     1544.0      4.658E+20  9.927E+04    1.366E+08
  55     1538.0      4.231E+20  8.982E+04    1.432E+08
  56     1533.0      3.840E+20  8.125E+04    1.499E+08
  57     1530.0      3.482E+20  7.353E+04    1.567E+08
  58     1527.0      3.156E+20  6.652E+04    1.663E+08
  59     1525.0      2.860E+20  6.020E+04    1.781E+08
  60     1521.0      2.594E+20  5.446E+04    1.897E+08
  61     1518.0      2.351E+20  4.926E+04    2.007E+08
  62     1517.0      2.130E+20  4.460E+04    2.080E+08
  63     1518.0      1.926E+20  4.036E+04    2.158E+08
  64     1521.0      1.739E+20  3.651E+04    2.238E+08
  65     1525.0      1.569E+20  3.303E+04    2.375E+08
  66     1528.0      1.418E+20  2.991E+04    2.542E+08
  67     1527.0      1.283E+20  2.704E+04    2.705E+08
  68     1526.0      1.162E+20  2.448E+04    2.848E+08
  69     1527.0      1.051E+20  2.215E+04    2.880E+08
  70     1531.0      9.484E+19  2.004E+04    2.920E+08
  71     1540.0      8.538E+19  1.815E+04    2.967E+08
