Index   PRESSURE   H          HE         H2         C          CH         1CH2       3CH2       CH3        CH4        C2      
   1   1.672E+06   4.005E+18  7.551E+20  3.895E+21  4.362E+09  1.687E+11  4.684E+12  5.630E+13  3.213E+16  1.806E+18  6.780E+05
   2   1.617E+06   3.644E+18  7.364E+20  3.799E+21  3.378E+09  1.347E+11  3.929E+12  4.792E+13  2.947E+16  1.767E+18  5.098E+05
   3   1.564E+06   3.296E+18  7.181E+20  3.704E+21  2.569E+09  1.059E+11  3.258E+12  4.035E+13  2.692E+16  1.729E+18  3.752E+05
   4   1.512E+06   2.990E+18  7.003E+20  3.612E+21  1.970E+09  8.390E+10  2.716E+12  3.415E+13  2.463E+16  1.691E+18  2.789E+05
   5   1.462E+06   2.708E+18  6.828E+20  3.522E+21  1.503E+09  6.615E+10  2.257E+12  2.881E+13  2.250E+16  1.654E+18  2.060E+05
   6   1.414E+06   2.450E+18  6.659E+20  3.435E+21  1.141E+09  5.192E+10  1.869E+12  2.423E+13  2.053E+16  1.618E+18  1.511E+05
   7   1.368E+06   2.222E+18  6.494E+20  3.350E+21  8.737E+08  4.108E+10  1.557E+12  2.048E+13  1.877E+16  1.583E+18  1.120E+05
   8   1.323E+06   2.004E+18  6.333E+20  3.267E+21  6.559E+08  3.196E+10  1.281E+12  1.712E+13  1.708E+16  1.549E+18  8.113E+04
   9   1.280E+06   1.812E+18  6.176E+20  3.186E+21  4.972E+08  2.506E+10  1.060E+12  1.439E+13  1.557E+16  1.516E+18  5.942E+04
  10   1.237E+06   1.637E+18  6.022E+20  3.107E+21  3.750E+08  1.957E+10  8.741E+11  1.206E+13  1.418E+16  1.483E+18  4.325E+04
  11   1.176E+06   1.394E+18  5.797E+20  2.991E+21  2.395E+08  1.321E+10  6.442E+11  9.107E+12  1.223E+16  1.435E+18  2.604E+04
  12   1.118E+06   1.188E+18  5.583E+20  2.880E+21  1.532E+08  8.940E+09  4.755E+11  6.889E+12  1.056E+16  1.390E+18  1.571E+04
  13   1.064E+06   1.015E+18  5.377E+20  2.774E+21  9.839E+07  6.067E+09  3.518E+11  5.221E+12  9.128E+15  1.345E+18  9.511E+03
  14   1.011E+06   8.588E+17  5.179E+20  2.672E+21  6.133E+07  4.015E+09  2.554E+11  3.890E+12  7.825E+15  1.303E+18  5.553E+03
  15   9.616E+05   7.278E+17  4.988E+20  2.574E+21  3.836E+07  2.664E+09  1.858E+11  2.902E+12  6.711E+15  1.262E+18  3.255E+03
  16   9.148E+05   6.177E+17  4.805E+20  2.479E+21  2.409E+07  1.774E+09  1.355E+11  2.171E+12  5.762E+15  1.222E+18  1.915E+03
  17   8.697E+05   5.196E+17  4.628E+20  2.388E+21  1.465E+07  1.150E+09  9.686E+10  1.594E+12  4.905E+15  1.184E+18  1.085E+03
  18   8.272E+05   4.400E+17  4.456E+20  2.299E+21  9.122E+06  7.601E+08  7.020E+10  1.185E+12  4.197E+15  1.146E+18  6.313E+02
  19   7.866E+05   3.691E+17  4.292E+20  2.215E+21  5.495E+06  4.887E+08  4.987E+10  8.650E+11  3.561E+15  1.110E+18  3.530E+02
  20   7.480E+05   3.102E+17  4.134E+20  2.133E+21  3.327E+06  3.155E+08  3.552E+10  6.328E+11  3.025E+15  1.075E+18  1.985E+02
  21   7.112E+05   2.596E+17  3.981E+20  2.054E+21  1.985E+06  2.012E+08  2.507E+10  4.590E+11  2.558E+15  1.041E+18  1.096E+02
  22   6.763E+05   2.164E+17  3.835E+20  1.979E+21  1.167E+06  1.267E+08  1.752E+10  3.300E+11  2.155E+15  1.008E+18  5.937E+01
  23   6.433E+05   1.796E+17  3.696E+20  1.907E+21  6.746E+05  7.866E+07  1.213E+10  2.351E+11  1.807E+15  9.766E+17  3.151E+01
  24   6.117E+05   1.494E+17  3.560E+20  1.837E+21  3.926E+05  4.912E+07  8.423E+09  1.680E+11  1.517E+15  9.454E+17  1.686E+01
  25   5.818E+05   1.237E+17  3.430E+20  1.770E+21  2.248E+05  3.024E+07  5.791E+09  1.189E+11  1.268E+15  9.156E+17  8.832E+00
  26   5.533E+05   1.020E+17  3.305E+20  1.706E+21  1.266E+05  1.837E+07  3.940E+09  8.335E+10  1.055E+15  8.867E+17  4.534E+00
  27   5.259E+05   8.367E+16  3.184E+20  1.643E+21  7.012E+04  1.099E+07  2.651E+09  5.783E+10  8.731E+14  8.583E+17  2.280E+00
  28   5.001E+05   6.881E+16  3.067E+20  1.583E+21  3.911E+04  6.622E+06  1.791E+09  4.028E+10  7.239E+14  8.306E+17  1.156E+00
  29   4.756E+05   5.632E+16  2.955E+20  1.525E+21  2.143E+04  3.929E+06  1.197E+09  2.777E+10  5.971E+14  8.039E+17  5.728E-01
  30   4.523E+05   4.622E+16  2.846E+20  1.469E+21  1.185E+04  2.349E+06  8.045E+08  1.923E+10  4.934E+14  7.775E+17  2.870E-01
  31   4.302E+05   3.805E+16  2.741E+20  1.414E+21  6.622E+03  1.416E+06  5.439E+08  1.340E+10  4.088E+14  7.514E+17  1.456E-01
  32   4.092E+05   3.142E+16  2.639E+20  1.362E+21  3.743E+03  8.621E+05  3.703E+08  9.393E+09  3.394E+14  7.257E+17  7.483E-02
  33   3.891E+05   2.583E+16  2.540E+20  1.311E+21  2.084E+03  5.182E+05  2.496E+08  6.525E+09  2.806E+14  7.007E+17  3.775E-02
