Index PRESSURE   H          HE         H2         C          CH         CH2_1     CH2_3     CH3        CH4        C2      
   1  9.998E+05   5.286E+18  4.261E+20  2.198E+21  3.645E+10  7.883E+11  1.076E+13  1.170E+14  2.754E+16  6.910E+17  1.001E+07
   2  9.669E+05   4.835E+18  4.154E+20  2.143E+21  2.885E+10  6.412E+11  9.155E+12  1.009E+14  2.544E+16  6.761E+17  7.748E+06
   3  9.352E+05   4.416E+18  4.050E+20  2.089E+21  2.274E+10  5.198E+11  7.770E+12  8.684E+13  2.348E+16  6.622E+17  5.964E+06
   4  9.042E+05   4.029E+18  3.948E+20  2.037E+21  1.785E+10  4.199E+11  6.578E+12  7.457E+13  2.165E+16  6.483E+17  4.572E+06
   5  8.747E+05   3.684E+18  3.849E+20  1.986E+21  1.411E+10  3.412E+11  5.590E+12  6.425E+13  1.999E+16  6.346E+17  3.530E+06
   6  8.459E+05   3.353E+18  3.754E+20  1.937E+21  1.098E+10  2.737E+11  4.710E+12  5.492E+13  1.841E+16  6.222E+17  2.678E+06
   7  8.182E+05   3.058E+18  3.660E+20  1.888E+21  8.607E+09  2.208E+11  3.983E+12  4.709E+13  1.696E+16  6.095E+17  2.047E+06
   8  7.912E+05   2.786E+18  3.567E+20  1.841E+21  6.717E+09  1.775E+11  3.358E+12  4.029E+13  1.561E+16  5.969E+17  1.558E+06
   9  7.652E+05   2.534E+18  3.478E+20  1.795E+21  5.220E+09  1.422E+11  2.826E+12  3.439E+13  1.436E+16  5.851E+17  1.178E+06
  10  7.399E+05   2.302E+18  3.391E+20  1.750E+21  4.039E+09  1.135E+11  2.370E+12  2.927E+13  1.319E+16  5.736E+17  8.874E+05
  11  7.156E+05   2.089E+18  3.307E+20  1.706E+21  3.109E+09  9.025E+10  1.984E+12  2.487E+13  1.211E+16  5.629E+17  6.644E+05
  12  6.922E+05   1.900E+18  3.224E+20  1.664E+21  2.415E+09  7.225E+10  1.668E+12  2.121E+13  1.114E+16  5.518E+17  5.021E+05
  13  6.692E+05   1.719E+18  3.143E+20  1.622E+21  1.842E+09  5.698E+10  1.387E+12  1.792E+13  1.020E+16  5.416E+17  3.718E+05
  14  6.474E+05   1.560E+18  3.065E+20  1.582E+21  1.417E+09  4.527E+10  1.160E+12  1.521E+13  9.360E+15  5.315E+17  2.779E+05
  15  6.260E+05   1.407E+18  2.989E+20  1.543E+21  1.070E+09  3.541E+10  9.592E+11  1.278E+13  8.556E+15  5.223E+17  2.034E+05
  16  6.054E+05   1.273E+18  2.915E+20  1.504E+21  8.154E+08  2.791E+10  7.973E+11  1.078E+13  7.832E+15  5.129E+17  1.503E+05
  17  5.751E+05   1.087E+18  2.804E+20  1.447E+21  5.297E+08  1.914E+10  5.953E+11  8.250E+12  6.819E+15  4.994E+17  9.293E+04
  18  5.469E+05   9.298E+17  2.701E+20  1.394E+21  3.449E+08  1.315E+10  4.453E+11  6.323E+12  5.945E+15  4.867E+17  5.757E+04
  19  5.203E+05   7.924E+17  2.602E+20  1.343E+21  2.218E+08  8.948E+09  3.308E+11  4.814E+12  5.170E+15  4.750E+17  3.514E+04
  20  4.945E+05   6.696E+17  2.506E+20  1.294E+21  1.387E+08  5.945E+09  2.415E+11  3.607E+12  4.467E+15  4.645E+17  2.075E+04
  21  4.705E+05   5.664E+17  2.416E+20  1.247E+21  8.686E+07  3.958E+09  1.766E+11  2.706E+12  3.862E+15  4.543E+17  1.227E+04
  22  4.473E+05   4.749E+17  2.328E+20  1.202E+21  5.278E+07  2.567E+09  1.267E+11  1.995E+12  3.314E+15  4.453E+17  7.002E+03
  23  4.255E+05   4.005E+17  2.244E+20  1.158E+21  3.270E+07  1.693E+09  9.197E+10  1.487E+12  2.856E+15  4.356E+17  4.082E+03
  24  4.048E+05   3.365E+17  2.163E+20  1.116E+21  1.997E+07  1.103E+09  6.617E+10  1.099E+12  2.452E+15  4.265E+17  2.339E+03
