Index   PRESSURE   C2H        C2H2       C2H3       C2H4       C2H5       C2H6       C3H2       C3H3       CH3C2H     CH2CCH2 
   1   1.672E+06   3.104E+10  3.989E+14  2.960E+12  2.893E+14  1.902E+12  3.009E+13  1.303E+08  1.993E+10  4.378E+10  1.990E+10
   2   1.617E+06   2.520E+10  3.619E+14  2.584E+12  2.722E+14  1.717E+12  2.884E+13  1.088E+08  1.712E+10  3.935E+10  1.784E+10
   3   1.564E+06   2.014E+10  3.260E+14  2.236E+12  2.552E+14  1.542E+12  2.762E+13  8.951E+07  1.454E+10  3.511E+10  1.587E+10
   4   1.512E+06   1.621E+10  2.945E+14  1.942E+12  2.395E+14  1.388E+12  2.645E+13  7.412E+07  1.241E+10  3.142E+10  1.417E+10
   5   1.462E+06   1.299E+10  2.654E+14  1.682E+12  2.245E+14  1.247E+12  2.531E+13  6.110E+07  1.055E+10  2.804E+10  1.261E+10
   6   1.414E+06   1.035E+10  2.386E+14  1.452E+12  2.103E+14  1.118E+12  2.423E+13  5.012E+07  8.938E+09  2.496E+10  1.119E+10
   7   1.368E+06   8.320E+09  2.153E+14  1.260E+12  1.972E+14  1.005E+12  2.320E+13  4.140E+07  7.612E+09  2.230E+10  9.974E+09
   8   1.323E+06   6.570E+09  1.926E+14  1.082E+12  1.841E+14  8.986E+11  2.218E+13  3.365E+07  6.398E+09  1.974E+10  8.804E+09
   9   1.280E+06   5.230E+09  1.729E+14  9.329E+11  1.723E+14  8.053E+11  2.122E+13  2.755E+07  5.409E+09  1.755E+10  7.803E+09
  10   1.237E+06   4.145E+09  1.549E+14  8.025E+11  1.610E+14  7.205E+11  2.029E+13  2.247E+07  4.558E+09  1.556E+10  6.900E+09
  11   1.176E+06   2.859E+09  1.299E+14  6.315E+11  1.445E+14  6.045E+11  1.893E+13  1.619E+07  3.464E+09  1.283E+10  5.664E+09
  12   1.118E+06   1.974E+09  1.089E+14  4.971E+11  1.298E+14  5.075E+11  1.767E+13  1.167E+07  2.633E+09  1.058E+10  4.651E+09
  13   1.064E+06   1.367E+09  9.137E+13  3.920E+11  1.166E+14  4.265E+11  1.650E+13  8.428E+06  2.004E+09  8.733E+09  3.822E+09
  14   1.011E+06   9.215E+08  7.565E+13  3.042E+11  1.040E+14  3.551E+11  1.537E+13  5.934E+06  1.495E+09  7.104E+09  3.094E+09
  15   9.616E+05   6.228E+08  6.266E+13  2.363E+11  9.277E+13  2.957E+11  1.431E+13  4.185E+06  1.116E+09  5.781E+09  2.507E+09
  16   9.148E+05   4.221E+08  5.196E+13  1.837E+11  8.278E+13  2.464E+11  1.332E+13  2.958E+06  8.342E+08  4.708E+09  2.032E+09
  17   8.697E+05   2.782E+08  4.249E+13  1.406E+11  7.335E+13  2.033E+11  1.239E+13  2.037E+06  6.104E+08  3.777E+09  1.623E+09
  18   8.272E+05   1.869E+08  3.505E+13  1.087E+11  6.521E+13  1.687E+11  1.150E+13  1.426E+06  4.528E+08  3.057E+09  1.307E+09
  19   7.866E+05   1.220E+08  2.848E+13  8.258E+10  5.757E+13  1.386E+11  1.067E+13  9.712E+05  3.283E+08  2.436E+09  1.036E+09
  20   7.480E+05   7.993E+07  2.318E+13  6.285E+10  5.082E+13  1.140E+11  9.896E+12  6.634E+05  2.386E+08  1.943E+09  8.227E+08
  21   7.112E+05   5.165E+07  1.873E+13  4.744E+10  4.470E+13  9.323E+10  9.162E+12  4.472E+05  1.715E+08  1.537E+09  6.479E+08
  22   6.763E+05   3.292E+07  1.502E+13  3.551E+10  3.917E+13  7.590E+10  8.476E+12  2.974E+05  1.219E+08  1.207E+09  5.060E+08
  23   6.433E+05   2.067E+07  1.195E+13  2.633E+10  3.417E+13  6.145E+10  7.830E+12  1.947E+05  8.556E+07  9.387E+08  3.916E+08
  24   6.117E+05   1.305E+07  9.525E+12  1.958E+10  2.982E+13  4.979E+10  7.229E+12  1.281E+05  6.026E+07  7.315E+08  3.036E+08
  25   5.818E+05   8.106E+06  7.529E+12  1.441E+10  2.590E+13  4.011E+10  6.662E+12  8.296E+04  4.189E+07  5.646E+08  2.332E+08
  26   5.533E+05   4.962E+06  5.903E+12  1.051E+10  2.241E+13  3.213E+10  6.131E+12  5.294E+04  2.877E+07  4.321E+08  1.775E+08
  27   5.259E+05   2.991E+06  4.590E+12  7.592E+09  1.929E+13  2.557E+10  5.629E+12  3.327E+04  1.951E+07  3.275E+08  1.338E+08
  28   5.001E+05   1.813E+06  3.577E+12  5.501E+09  1.662E+13  2.039E+10  5.169E+12  2.101E+04  1.327E+07  2.489E+08  1.011E+08
  29   4.756E+05   1.081E+06  2.762E+12  3.944E+09  1.425E+13  1.615E+10  4.737E+12  1.304E+04  8.906E+06  1.871E+08  7.561E+07
  30   4.523E+05   6.493E+05  2.140E+12  2.839E+09  1.223E+13  1.283E+10  4.340E+12  8.156E+03  6.011E+06  1.412E+08  5.676E+07
  31   4.302E+05   3.934E+05  1.665E+12  2.054E+09  1.052E+13  1.021E+10  3.975E+12  5.140E+03  4.082E+06  1.070E+08  4.278E+07
  32   4.092E+05   2.408E+05  1.302E+12  1.495E+09  9.057E+12  8.152E+09  3.641E+12  3.268E+03  2.792E+06  8.147E+07  3.240E+07
  33   3.891E+05   1.453E+05  1.009E+12  1.078E+09  7.766E+12  6.471E+09  3.328E+12  2.050E+03  1.887E+06  6.148E+07  2.432E+07
  34   3.701E+05   9.121E+04  7.988E+11  7.953E+08  6.724E+12  5.205E+09  3.047E+12  1.335E+03  1.316E+06  4.741E+07  1.867E+07
  35   3.520E+05   5.968E+04  6.457E+11  6.019E+08  5.880E+12  4.246E+09  2.795E+12  9.044E+02  9.480E+05  3.740E+07  1.466E+07
  36   3.346E+05   3.979E+04  5.271E+11  4.605E+08  5.169E+12  3.486E+09  2.567E+12  6.246E+02  6.936E+05  2.983E+07  1.164E+07
  37   3.184E+05   2.779E+04  4.406E+11  3.623E+08  4.596E+12  2.910E+09  2.364E+12  4.508E+02  5.259E+05  2.439E+07  9.481E+06
  38   3.028E+05   1.984E+04  3.726E+11  2.889E+08  4.110E+12  2.446E+09  2.179E+12  3.327E+02  4.062E+05  2.021E+07  7.826E+06
  39   2.879E+05   1.408E+04  3.140E+11  2.294E+08  3.668E+12  2.051E+09  2.007E+12  2.438E+02  3.121E+05  1.668E+07  6.432E+06
  40   2.738E+05   1.022E+04  2.677E+11  1.847E+08  3.293E+12  1.734E+09  1.851E+12  1.827E+02  2.441E+05  1.393E+07  5.357E+06
  41   2.603E+05   7.370E+03  2.276E+11  1.481E+08  2.952E+12  1.462E+09  1.707E+12  1.361E+02  1.899E+05  1.161E+07  4.445E+06
  42   2.478E+05   5.276E+03  1.926E+11  1.183E+08  2.641E+12  1.231E+09  1.574E+12  1.006E+02  1.469E+05  9.622E+06  3.672E+06
  43   2.356E+05   3.757E+03  1.626E+11  9.412E+07  2.358E+12  1.033E+09  1.449E+12  7.399E+01  1.131E+05  7.952E+06  3.024E+06
