Index  PRESSURE   C2H        C2H2       C2H3       C2H4       C2H5       C2H6       C3H2       C3H3       CH3C2H     CH2CCH2 
   1  9.998E+05   1.872E+11  7.734E+14  5.155E+12  2.086E+14  1.256E+12  9.112E+12  6.475E+08  5.616E+10  6.234E+10  2.885E+10
   2  9.669E+05   1.553E+11  7.110E+14  4.566E+12  1.978E+14  1.144E+12  8.765E+12  5.532E+08  4.921E+10  5.691E+10  2.627E+10
   3  9.352E+05   1.285E+11  6.526E+14  4.037E+12  1.875E+14  1.043E+12  8.438E+12  4.712E+08  4.302E+10  5.189E+10  2.390E+10
   4  9.042E+05   1.059E+11  5.984E+14  3.565E+12  1.777E+14  9.485E+11  8.124E+12  4.003E+08  3.754E+10  4.725E+10  2.171E+10
   5  8.747E+05   8.770E+10  5.494E+14  3.154E+12  1.684E+14  8.638E+11  7.813E+12  3.413E+08  3.283E+10  4.308E+10  1.974E+10
   6  8.459E+05   7.179E+10  5.022E+14  2.774E+12  1.595E+14  7.852E+11  7.535E+12  2.882E+08  2.852E+10  3.915E+10  1.789E+10
   7  8.182E+05   5.905E+10  4.596E+14  2.445E+12  1.510E+14  7.137E+11  7.251E+12  2.442E+08  2.483E+10  3.558E+10  1.622E+10
   8  7.912E+05   4.841E+10  4.201E+14  2.151E+12  1.428E+14  6.480E+11  6.977E+12  2.063E+08  2.157E+10  3.230E+10  1.468E+10
   9  7.652E+05   3.953E+10  3.833E+14  1.888E+12  1.350E+14  5.880E+11  6.717E+12  1.737E+08  1.868E+10  2.926E+10  1.327E+10
  10  7.399E+05   3.217E+10  3.493E+14  1.655E+12  1.276E+14  5.330E+11  6.469E+12  1.458E+08  1.615E+10  2.649E+10  1.198E+10
  11  7.156E+05   2.609E+10  3.178E+14  1.447E+12  1.206E+14  4.830E+11  6.236E+12  1.220E+08  1.392E+10  2.395E+10  1.080E+10
  12  6.922E+05   2.128E+10  2.896E+14  1.270E+12  1.140E+14  4.380E+11  6.002E+12  1.026E+08  1.205E+10  2.168E+10  9.755E+09
  13  6.692E+05   1.711E+10  2.625E+14  1.105E+12  1.075E+14  3.957E+11  5.784E+12  8.518E+07  1.033E+10  1.952E+10  8.761E+09
  14  6.474E+05   1.385E+10  2.384E+14  9.655E+11  1.015E+14  3.583E+11  5.573E+12  7.112E+07  8.888E+09  1.762E+10  7.885E+09
  15  6.260E+05   1.105E+10  2.153E+14  8.367E+11  9.565E+13  3.231E+11  5.377E+12  5.865E+07  7.577E+09  1.582E+10  7.059E+09
  16  6.054E+05   8.872E+09  1.949E+14  7.277E+11  9.017E+13  2.918E+11  5.180E+12  4.861E+07  6.485E+09  1.423E+10  6.330E+09
  17  5.751E+05   6.262E+09  1.664E+14  5.834E+11  8.222E+13  2.489E+11  4.900E+12  3.607E+07  5.065E+09  1.203E+10  5.331E+09
  18  5.469E+05   4.425E+09  1.421E+14  4.685E+11  7.504E+13  2.126E+11  4.640E+12  2.679E+07  3.960E+09  1.018E+10  4.492E+09
  19  5.203E+05   3.095E+09  1.208E+14  3.740E+11  6.837E+13  1.811E+11  4.397E+12  1.970E+07  3.073E+09  8.577E+09  3.767E+09
  20  4.945E+05   2.114E+09  1.016E+14  2.946E+11  6.207E+13  1.533E+11  4.172E+12  1.419E+07  2.346E+09  7.154E+09  3.127E+09
  21  4.705E+05   1.446E+09  8.548E+13  2.322E+11  5.632E+13  1.298E+11  3.960E+12  1.022E+07  1.791E+09  5.964E+09  2.595E+09
  22  4.473E+05   9.634E+08  7.106E+13  1.804E+11  5.088E+13  1.091E+11  3.759E+12  7.197E+06  1.343E+09  4.915E+09  2.128E+09
  23  4.255E+05   6.518E+08  5.941E+13  1.413E+11  4.604E+13  9.199E+10  3.565E+12  5.131E+06  1.016E+09  4.072E+09  1.755E+09
  24  4.048E+05   4.354E+08  4.937E+13  1.098E+11  4.153E+13  7.727E+10  3.378E+12  3.613E+06  7.618E+08  3.351E+09  1.437E+09
  25  3.847E+05   2.918E+08  4.104E+13  8.536E+10  3.740E+13  6.479E+10  3.190E+12  2.550E+06  5.714E+08  2.756E+09  1.176E+09
  26  3.660E+05   1.960E+08  3.412E+13  6.644E+10  3.367E+13  5.439E+10  3.013E+12  1.801E+06  4.289E+08  2.266E+09  9.628E+08
  27  3.480E+05   1.345E+08  2.863E+13  5.228E+10  3.038E+13  4.582E+10  2.835E+12  1.296E+06  3.264E+08  1.878E+09  7.943E+08
  28  3.311E+05   9.593E+07  2.440E+13  4.198E+10  2.752E+13  3.896E+10  2.657E+12  9.640E+05  2.548E+08  1.579E+09  6.653E+08
  29  3.147E+05   6.791E+07  2.074E+13  3.355E+10  2.489E+13  3.303E+10  2.488E+12  7.122E+05  1.979E+08  1.323E+09  5.552E+08
  30  2.994E+05   5.022E+07  1.796E+13  2.746E+10  2.266E+13  2.832E+10  2.321E+12  5.469E+05  1.583E+08  1.129E+09  4.720E+08
  31  2.845E+05   3.690E+07  1.550E+13  2.238E+10  2.058E+13  2.420E+10  2.164E+12  4.175E+05  1.260E+08  9.601E+08  3.999E+08
  32  2.707E+05   2.793E+07  1.357E+13  1.855E+10  1.880E+13  2.088E+10  2.016E+12  3.273E+05  1.024E+08  8.271E+08  3.433E+08
  33  2.575E+05   2.141E+07  1.194E+13  1.547E+10  1.719E+13  1.805E+10  1.875E+12  2.594E+05  8.395E+07  7.161E+08  2.963E+08
  34  2.449E+05   1.665E+07  1.057E+13  1.301E+10  1.575E+13  1.566E+10  1.741E+12  2.082E+05  6.952E+07  6.238E+08  2.573E+08
  35  2.329E+05   1.289E+07  9.337E+12  1.091E+10  1.441E+13  1.357E+10  1.616E+12  1.665E+05  5.736E+07  5.418E+08  2.228E+08
  36  2.216E+05   1.033E+07  8.377E+12  9.319E+09  1.326E+13  1.187E+10  1.498E+12  1.372E+05  4.848E+07  4.780E+08  1.960E+08
  37  2.107E+05   8.245E+06  7.502E+12  7.946E+09  1.219E+13  1.036E+10  1.388E+12  1.128E+05  4.087E+07  4.208E+08  1.721E+08
  38  2.005E+05   6.692E+06  6.770E+12  6.836E+09  1.124E+13  9.086E+09  1.284E+12  9.402E+04  3.485E+07  3.732E+08  1.522E+08
  39  1.906E+05   5.415E+06  6.100E+12  5.869E+09  1.035E+13  7.957E+09  1.188E+12  7.820E+04  2.965E+07  3.304E+08  1.344E+08
  40  1.813E+05   4.550E+06  5.590E+12  5.145E+09  9.590E+12  7.039E+09  1.096E+12  6.724E+04  2.590E+07  2.972E+08  1.207E+08
  41  1.724E+05   3.812E+06  5.114E+12  4.502E+09  8.875E+12  6.220E+09  1.011E+12  5.767E+04  2.256E+07  2.669E+08  1.081E+08
  42  1.640E+05   3.252E+06  4.716E+12  3.977E+09  8.233E+12  5.518E+09  9.306E+11  5.024E+04  1.990E+07  2.414E+08  9.759E+07
  43  1.560E+05   2.827E+06  4.383E+12  3.548E+09  7.653E+12  4.917E+09  8.547E+11  4.447E+04  1.776E+07  2.199E+08  8.876E+07
  44  1.484E+05   2.504E+06  4.108E+12  3.198E+09  7.132E+12  4.401E+09  7.836E+11  4.005E+04  1.607E+07  2.019E+08  8.135E+07
  45  1.411E+05   2.213E+06  3.842E+12  2.877E+09  6.634E+12  3.931E+09  7.168E+11  3.597E+04  1.449E+07  1.848E+08  7.435E+07
  46  1.343E+05   2.036E+06  3.658E+12  2.644E+09  6.207E+12  3.547E+09  6.540E+11  3.344E+04  1.343E+07  1.719E+08  6.910E+07
  47  1.277E+05   1.871E+06  3.476E+12  2.426E+09  5.794E+12  3.194E+09  5.950E+11  3.102E+04  1.241E+07  1.596E+08  6.405E+07
  48  1.215E+05   1.750E+06  3.328E+12  2.246E+09  5.415E+12  2.885E+09  5.395E+11  2.923E+04  1.161E+07  1.489E+08  5.973E+07
  49  1.089E+05   1.561E+06  3.055E+12  1.924E+09  4.664E+12  2.315E+09  4.310E+11  2.625E+04  1.018E+07  1.288E+08  5.156E+07
  50  9.853E+04   1.493E+06  2.882E+12  1.716E+09  4.060E+12  1.905E+09  3.447E+11  2.492E+04  9.309E+06  1.141E+08  4.566E+07
  51  8.914E+04   1.414E+06  2.691E+12  1.514E+09  3.499E+12  1.550E+09  2.728E+11  2.331E+04  8.389E+06  9.954E+07  3.980E+07
  52  8.067E+04   1.352E+06  2.507E+12  1.337E+09  2.990E+12  1.255E+09  2.131E+11  2.182E+04  7.540E+06  8.611E+07  3.442E+07
  53  7.298E+04   1.254E+06  2.295E+12  1.156E+09  2.525E+12  1.001E+09  1.653E+11  1.980E+04  6.592E+06  7.291E+07  2.912E+07
  54  6.605E+04   1.173E+06  2.093E+12  9.991E+08  2.112E+12  7.929E+08  1.264E+11  1.794E+04  5.735E+06  6.107E+07  2.438E+07
  55  5.977E+04   1.066E+06  1.877E+12  8.470E+08  1.748E+12  6.202E+08  9.616E+10  1.578E+04  4.863E+06  5.016E+07  2.001E+07
  56  5.406E+04   9.759E+05  1.675E+12  7.158E+08  1.431E+12  4.802E+08  7.188E+10  1.385E+04  4.096E+06  4.065E+07  1.621E+07
  57  4.893E+04   8.989E+05  1.486E+12  6.028E+08  1.156E+12  3.685E+08  5.285E+10  1.211E+04  3.421E+06  3.250E+07  1.296E+07
  58  4.428E+04   8.324E+05  1.309E+12  5.052E+08  9.218E+11  2.795E+08  3.813E+10  1.052E+04  2.828E+06  2.556E+07  1.019E+07
  59  4.006E+04   7.487E+05  1.133E+12  4.152E+08  7.272E+11  2.092E+08  2.736E+10  8.871E+03  2.278E+06  1.970E+07  7.853E+06
  60  3.625E+04   6.761E+05  9.735E+11  3.393E+08  5.652E+11  1.547E+08  1.924E+10  7.424E+03  1.814E+06  1.492E+07  5.947E+06
  61  3.280E+04   6.122E+05  8.285E+11  2.753E+08  4.325E+11  1.129E+08  1.326E+10  6.158E+03  1.425E+06  1.109E+07  4.419E+06
  62  2.970E+04   5.394E+05  6.946E+11  2.196E+08  3.282E+11  8.150E+07  9.107E+09  4.968E+03  1.094E+06  8.096E+06  3.228E+06
  63  2.687E+04   4.693E+05  5.748E+11  1.728E+08  2.457E+11  5.804E+07  6.168E+09  3.932E+03  8.233E+05  5.797E+06  2.311E+06
  64  2.432E+04   4.098E+05  4.717E+11  1.352E+08  1.813E+11  4.082E+07  4.099E+09  3.087E+03  6.122E+05  4.076E+06  1.625E+06
  65  2.200E+04   3.486E+05  3.817E+11  1.041E+08  1.327E+11  2.844E+07  2.716E+09  2.362E+03  4.457E+05  2.823E+06  1.125E+06
  66  1.991E+04   2.895E+05  3.052E+11  7.901E+07  9.669E+10  1.966E+07  1.799E+09  1.768E+03  3.186E+05  1.931E+06  7.699E+05
  67  1.801E+04   2.385E+05  2.421E+11  5.949E+07  6.987E+10  1.348E+07  1.182E+09  1.306E+03  2.250E+05  1.305E+06  5.200E+05
  68  1.630E+04   1.949E+05  1.905E+11  4.444E+07  5.008E+10  9.171E+06  7.704E+08  9.540E+02  1.570E+05  8.713E+05  3.472E+05
  69  1.475E+04   1.581E+05  1.489E+11  3.296E+07  3.565E+10  6.195E+06  4.989E+08  6.891E+02  1.083E+05  5.755E+05  2.293E+05
  70  1.335E+04   1.274E+05  1.155E+11  2.428E+07  2.520E+10  4.157E+06  3.208E+08  4.928E+02  7.403E+04  3.764E+05  1.499E+05
  71  1.207E+04   1.008E+05  8.907E+10  1.773E+07  1.782E+10  2.783E+06  2.073E+08  3.473E+02  5.008E+04  2.451E+05  9.756E+04
