Index   PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
   1   1.672E+06   4.954E+09  3.574E+10  1.125E+08  1.246E+09  5.548E+02  1.082E+07  6.190E+06  1.785E+07  7.720E+05  1.443E+07
   2   1.617E+06   4.404E+09  3.310E+10  9.951E+07  1.169E+09  4.211E+02  9.099E+06  5.046E+06  1.553E+07  6.573E+05  1.301E+07
   3   1.564E+06   3.888E+09  3.054E+10  8.750E+07  1.096E+09  3.128E+02  7.540E+06  4.049E+06  1.336E+07  5.532E+05  1.164E+07
   4   1.512E+06   3.442E+09  2.821E+10  7.715E+07  1.027E+09  2.344E+02  6.285E+06  3.271E+06  1.155E+07  4.677E+05  1.045E+07
   5   1.462E+06   3.040E+09  2.602E+10  6.785E+07  9.618E+08  1.746E+02  5.216E+06  2.629E+06  9.949E+06  3.939E+05  9.350E+06
   6   1.414E+06   2.677E+09  2.397E+10  5.958E+07  9.005E+08  1.290E+02  4.304E+06  2.101E+06  8.535E+06  3.306E+05  8.347E+06
   7   1.368E+06   2.367E+09  2.211E+10  5.247E+07  8.435E+08  9.641E+01  3.578E+06  1.693E+06  7.360E+06  2.788E+05  7.475E+06
   8   1.323E+06   2.074E+09  2.030E+10  4.587E+07  7.883E+08  7.021E+01  2.922E+06  1.339E+06  6.263E+06  2.320E+05  6.637E+06
   9   1.280E+06   1.825E+09  1.868E+10  4.022E+07  7.375E+08  5.175E+01  2.406E+06  1.067E+06  5.361E+06  1.943E+05  5.914E+06
  10   1.237E+06   1.602E+09  1.716E+10  3.521E+07  6.894E+08  3.789E+01  1.972E+06  8.473E+05  4.573E+06  1.621E+05  5.258E+06
  11   1.176E+06   1.301E+09  1.500E+10  2.853E+07  6.205E+08  2.296E+01  1.430E+06  5.844E+05  3.541E+06  1.212E+05  4.355E+06
  12   1.118E+06   1.057E+09  1.311E+10  2.314E+07  5.587E+08  1.392E+01  1.036E+06  4.031E+05  2.740E+06  9.069E+04  3.605E+06
  13   1.064E+06   8.600E+08  1.146E+10  1.879E+07  5.032E+08  8.469E+00  7.526E+05  2.788E+05  2.123E+06  6.795E+04  2.986E+06
  14   1.011E+06   6.899E+08  9.938E+09  1.508E+07  4.515E+08  4.952E+00  5.317E+05  1.872E+05  1.611E+06  4.982E+04  2.439E+06
  15   9.616E+05   5.537E+08  8.616E+09  1.210E+07  4.048E+08  2.904E+00  3.763E+05  1.259E+05  1.223E+06  3.656E+04  1.992E+06
  16   9.148E+05   4.448E+08  7.470E+09  9.721E+06  3.629E+08  1.709E+00  2.666E+05  8.487E+04  9.299E+05  2.687E+04  1.627E+06
  17   8.697E+05   3.523E+08  6.424E+09  7.718E+06  3.242E+08  9.651E-01  1.837E+05  5.552E+04  6.918E+05  1.931E+04  1.311E+06
  18   8.272E+05   2.813E+08  5.543E+09  6.166E+06  2.896E+08  5.604E-01  1.288E+05  3.702E+04  5.213E+05  1.406E+04  1.063E+06
  19   7.866E+05   2.213E+08  4.744E+09  4.867E+06  2.579E+08  3.113E-01  8.765E+04  2.391E+04  3.839E+05  1.000E+04  8.498E+05
  20   7.480E+05   1.742E+08  4.060E+09  3.845E+06  2.294E+08  1.740E-01  5.984E+04  1.549E+04  2.833E+05  7.130E+03  6.796E+05
  21   7.112E+05   1.362E+08  3.457E+09  3.019E+06  2.036E+08  9.519E-02  4.023E+04  9.886E+03  2.067E+05  5.023E+03  5.390E+05
  22   6.763E+05   1.056E+08  2.931E+09  2.356E+06  1.804E+08  5.099E-02  2.665E+04  6.209E+03  1.490E+05  3.497E+03  4.242E+05
  23   6.433E+05   8.125E+07  2.470E+09  1.825E+06  1.594E+08  2.667E-02  1.735E+04  3.830E+03  1.060E+05  2.402E+03  3.307E+05
  24   6.117E+05   6.261E+07  2.084E+09  1.416E+06  1.407E+08  1.407E-02  1.135E+04  2.376E+03  7.570E+04  1.656E+03  2.582E+05
  25   5.818E+05   4.781E+07  1.747E+09  1.090E+06  1.238E+08  7.240E-03  7.297E+03  1.447E+03  5.328E+04  1.125E+03  1.995E+05
  26   5.533E+05   3.621E+07  1.457E+09  8.339E+05  1.087E+08  3.641E-03  4.615E+03  8.657E+02  3.705E+04  7.548E+02  1.529E+05
  27   5.259E+05   2.717E+07  1.208E+09  6.325E+05  9.498E+07  1.789E-03  2.870E+03  5.091E+02  2.541E+04  4.994E+02  1.160E+05
  28   5.001E+05   2.044E+07  1.002E+09  4.808E+05  8.308E+07  8.864E-04  1.794E+03  3.010E+02  1.749E+04  3.316E+02  8.820E+04
  29   4.756E+05   1.522E+07  8.261E+08  3.625E+05  7.237E+07  4.277E-04  1.100E+03  1.744E+02  1.186E+04  2.169E+02  6.632E+04
  30   4.523E+05   1.138E+07  6.823E+08  2.740E+05  6.307E+07  2.088E-04  6.797E+02  1.019E+02  8.087E+03  1.427E+02  5.005E+04
  31   4.302E+05   8.538E+06  5.644E+08  2.078E+05  5.500E+07  1.033E-04  4.235E+02  6.010E+01  5.547E+03  9.447E+01  3.791E+04
  32   4.092E+05   6.435E+06  4.678E+08  1.581E+05  4.795E+07  5.179E-05  2.664E+02  3.580E+01  3.831E+03  6.299E+01  2.883E+04
  33   3.891E+05   4.811E+06  3.857E+08  1.194E+05  4.168E+07  2.543E-05  1.650E+02  2.098E+01  2.614E+03  4.147E+01  2.172E+04
  34   3.701E+05   3.671E+06  3.219E+08  9.166E+04  3.641E+07  1.325E-05  1.066E+02  1.285E+01  1.840E+03  2.820E+01  1.673E+04
  35   3.520E+05   2.862E+06  2.719E+08  7.160E+04  3.196E+07  7.353E-06  7.191E+01  8.238E+00  1.340E+03  1.984E+01  1.316E+04
  36   3.346E+05   2.255E+06  2.311E+08  5.637E+04  2.813E+07  4.204E-06  4.957E+01  5.401E+00  9.911E+02  1.419E+01  1.048E+04
  37   3.184E+05   1.820E+06  1.994E+08  4.528E+04  2.492E+07  2.575E-06  3.585E+01  3.725E+00  7.604E+02  1.054E+01  8.548E+03
  38   3.028E+05   1.487E+06  1.732E+08  3.671E+04  2.214E+07  1.633E-06  2.658E+01  2.637E+00  5.945E+02  7.974E+00  7.065E+03
  39   2.879E+05   1.210E+06  1.501E+08  2.967E+04  1.964E+07  1.025E-06  1.957E+01  1.852E+00  4.623E+02  6.002E+00  5.815E+03
  40   2.738E+05   9.971E+05  1.310E+08  2.422E+04  1.749E+07  6.663E-07  1.476E+01  1.335E+00  3.663E+02  4.604E+00  4.848E+03
  41   2.603E+05   8.186E+05  1.141E+08  1.971E+04  1.555E+07  4.290E-07  1.106E+01  9.552E-01  2.886E+02  3.513E+00  4.027E+03
