index PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
   1  9.998E+05   5.252E+09  1.977E+10  5.873E+07  3.001E+08  1.107E+04  7.396E+07  3.608E+07  4.596E+07  1.595E+06  1.391E+07
   2  9.669E+05   4.738E+09  1.851E+10  5.262E+07  2.835E+08  8.707E+03  6.387E+07  3.023E+07  4.088E+07  1.388E+06  1.275E+07
   3  9.352E+05   4.271E+09  1.732E+10  4.711E+07  2.682E+08  6.815E+03  5.502E+07  2.527E+07  3.629E+07  1.205E+06  1.168E+07
   4  9.042E+05   3.846E+09  1.621E+10  4.214E+07  2.536E+08  5.311E+03  4.727E+07  2.105E+07  3.217E+07  1.045E+06  1.069E+07
   5  8.747E+05   3.466E+09  1.516E+10  3.772E+07  2.395E+08  4.164E+03  4.073E+07  1.761E+07  2.855E+07  9.080E+05  9.781E+06
   6  8.459E+05   3.114E+09  1.418E+10  3.371E+07  2.270E+08  3.212E+03  3.477E+07  1.457E+07  2.520E+07  7.841E+05  8.940E+06
   7  8.182E+05   2.799E+09  1.324E+10  3.012E+07  2.145E+08  2.493E+03  2.977E+07  1.210E+07  2.227E+07  6.781E+05  8.163E+06
   8  7.912E+05   2.512E+09  1.237E+10  2.687E+07  2.026E+08  1.926E+03  2.541E+07  1.002E+07  1.964E+07  5.850E+05  7.443E+06
   9  7.652E+05   2.252E+09  1.154E+10  2.396E+07  1.916E+08  1.479E+03  2.161E+07  8.260E+06  1.727E+07  5.034E+05  6.781E+06
  10  7.399E+05   2.016E+09  1.077E+10  2.134E+07  1.811E+08  1.131E+03  1.833E+07  6.790E+06  1.517E+07  4.324E+05  6.171E+06
  11  7.156E+05   1.803E+09  1.005E+10  1.901E+07  1.715E+08  8.605E+02  1.550E+07  5.563E+06  1.330E+07  3.707E+05  5.612E+06
  12  6.922E+05   1.615E+09  9.372E+09  1.694E+07  1.620E+08  6.597E+02  1.316E+07  4.580E+06  1.168E+07  3.186E+05  5.107E+06
  13  6.692E+05   1.439E+09  8.727E+09  1.503E+07  1.533E+08  4.959E+02  1.104E+07  3.721E+06  1.018E+07  2.715E+05  4.628E+06
  14  6.474E+05   1.285E+09  8.133E+09  1.337E+07  1.450E+08  3.760E+02  9.303E+06  3.040E+06  8.898E+06  2.322E+05  4.201E+06
  15  6.260E+05   1.141E+09  7.569E+09  1.185E+07  1.373E+08  2.793E+02  7.747E+06  2.450E+06  7.716E+06  1.969E+05  3.799E+06
  16  6.054E+05   1.016E+09  7.042E+09  1.052E+07  1.299E+08  2.093E+02  6.481E+06  1.986E+06  6.710E+06  1.675E+05  3.438E+06
  17  5.751E+05   8.461E+08  6.295E+09  8.724E+06  1.194E+08  1.322E+02  4.877E+06  1.422E+06  5.376E+06  1.297E+05  2.938E+06
