Index   PRESSURE   C4H8       C4H9       C4H10      C5H3       C5H4       C6H2       C6H3       C6H4       C6H5       LC6H6   
   1   1.672E+06   7.777E+05  4.162E+02  5.447E+04  1.152E+03  4.607E+02  1.889E-01  1.780E-05  1.633E-01  1.539E-02  3.095E-02
   2   1.617E+06   7.060E+05  3.588E+02  5.005E+04  9.196E+02  3.847E+02  1.464E-01  1.350E-05  1.312E-01  1.312E-02  2.560E-02
   3   1.564E+06   6.379E+05  3.071E+02  4.586E+04  7.207E+02  3.165E+02  1.109E-01  1.001E-05  1.035E-01  1.104E-02  2.086E-02
   4   1.512E+06   5.772E+05  2.637E+02  4.206E+04  5.692E+02  2.620E+02  8.485E-02  7.498E-06  8.234E-02  9.331E-03  1.710E-02
   5   1.462E+06   5.212E+05  2.257E+02  3.851E+04  4.470E+02  2.158E+02  6.444E-02  5.573E-06  6.505E-02  7.853E-03  1.395E-02
   6   1.414E+06   4.699E+05  1.929E+02  3.525E+04  3.486E+02  1.768E+02  4.854E-02  4.107E-06  5.106E-02  6.572E-03  1.131E-02
   7   1.368E+06   4.246E+05  1.654E+02  3.229E+04  2.744E+02  1.460E+02  3.697E-02  3.063E-06  4.045E-02  5.537E-03  9.242E-03
   8   1.323E+06   3.813E+05  1.406E+02  2.947E+04  2.113E+02  1.183E+02  2.741E-02  2.222E-06  3.132E-02  4.585E-03  7.412E-03
   9   1.280E+06   3.433E+05  1.200E+02  2.694E+04  1.643E+02  9.666E+01  2.057E-02  1.632E-06  2.450E-02  3.825E-03  5.994E-03
  10   1.237E+06   3.085E+05  1.021E+02  2.460E+04  1.271E+02  7.863E+01  1.534E-02  1.191E-06  1.906E-02  3.177E-03  4.826E-03
  11   1.176E+06   2.604E+05  7.920E+01  2.135E+04  8.398E+01  5.632E+01  9.532E-03  7.157E-07  1.269E-02  2.350E-03  3.400E-03
  12   1.118E+06   2.199E+05  6.150E+01  1.853E+04  5.547E+01  4.032E+01  5.919E-03  4.300E-07  8.450E-03  1.736E-03  2.394E-03
  13   1.064E+06   1.857E+05  4.782E+01  1.609E+04  3.673E+01  2.892E+01  3.686E-03  2.592E-07  5.638E-03  1.284E-03  1.689E-03
  14   1.011E+06   1.553E+05  3.667E+01  1.388E+04  2.351E+01  2.017E+01  2.201E-03  1.497E-07  3.631E-03  9.240E-04  1.157E-03
  15   9.616E+05   1.298E+05  2.813E+01  1.198E+04  1.507E+01  1.408E+01  1.318E-03  8.673E-08  2.343E-03  6.653E-04  7.935E-04
  16   9.148E+05   1.085E+05  2.160E+01  1.033E+04  9.684E+00  9.844E+00  7.908E-04  5.037E-08  1.514E-03  4.792E-04  5.448E-04
  17   8.697E+05   8.977E+04  1.635E+01  8.856E+03  6.006E+00  6.687E+00  4.545E-04  2.798E-08  9.438E-04  3.357E-04  3.631E-04
  18   8.272E+05   7.460E+04  1.248E+01  7.601E+03  3.810E+00  4.623E+00  2.686E-04  1.600E-08  6.016E-04  2.389E-04  2.463E-04
  19   7.866E+05   6.136E+04  9.383E+00  6.491E+03  2.327E+00  3.099E+00  1.515E-04  8.726E-09  3.689E-04  1.650E-04  1.619E-04
  20   7.480E+05   5.047E+04  7.062E+00  5.537E+03  1.427E+00  2.083E+00  8.590E-05  4.784E-09  2.271E-04  1.142E-04  1.067E-04
  21   7.112E+05   4.125E+04  5.276E+00  4.707E+03  8.592E-01  1.378E+00  4.760E-05  2.563E-09  1.371E-04  7.781E-05  6.913E-05
  22   6.763E+05   3.354E+04  3.914E+00  3.989E+03  5.076E-01  8.981E-01  2.577E-05  1.341E-09  8.120E-05  5.219E-05  4.410E-05
  23   6.433E+05   2.707E+04  2.878E+00  3.366E+03  2.936E-01  5.749E-01  1.359E-05  6.838E-10  4.702E-05  3.437E-05  2.760E-05
  24   6.117E+05   2.187E+04  2.120E+00  2.838E+03  1.709E-01  3.697E-01  7.229E-06  3.514E-10  2.741E-05  2.273E-05  1.736E-05
  25   5.818E+05   1.753E+04  1.548E+00  2.382E+03  9.730E-02  2.333E-01  3.739E-06  1.757E-10  1.560E-05  1.475E-05  1.071E-05
  26   5.533E+05   1.396E+04  1.121E+00  1.992E+03  5.428E-02  1.448E-01  1.887E-06  8.567E-11  8.697E-06  9.406E-06  6.488E-06
  27   5.259E+05   1.104E+04  8.033E-01  1.657E+03  2.966E-02  8.831E-02  9.289E-07  4.071E-11  4.744E-06  5.895E-06  3.858E-06
  28   5.001E+05   8.735E+03  5.776E-01  1.379E+03  1.631E-02  5.411E-02  4.604E-07  1.949E-11  2.603E-06  3.708E-06  2.305E-06
  29   4.756E+05   6.856E+03  4.110E-01  1.141E+03  8.756E-03  3.248E-02  2.217E-07  9.066E-12  1.393E-06  2.285E-06  1.348E-06
  30   4.523E+05   5.393E+03  2.935E-01  9.447E+02  4.748E-03  1.966E-02  1.081E-07  4.267E-12  7.530E-07  1.419E-06  7.950E-07
  31   4.302E+05   4.253E+03  2.104E-01  7.830E+02  2.601E-03  1.200E-02  5.337E-08  2.036E-12  4.114E-07  8.879E-07  4.728E-07
  32   4.092E+05   3.361E+03  1.515E-01  6.495E+02  1.442E-03  7.390E-03  2.674E-08  9.858E-13  2.274E-07  5.604E-07  2.837E-07
  33   3.891E+05   2.639E+03  1.081E-01  5.363E+02  7.848E-04  4.480E-03  1.309E-08  4.662E-13  1.232E-07  3.480E-07  1.674E-07
  34   3.701E+05   2.103E+03  7.870E-02  4.465E+02  4.497E-04  2.834E-03  6.831E-09  2.352E-13  7.043E-08  2.254E-07  1.033E-07
  35   3.520E+05   1.702E+03  5.851E-02  3.747E+02  2.722E-04  1.875E-03  3.814E-09  1.270E-13  4.260E-08  1.526E-07  6.670E-08
  36   3.346E+05   1.389E+03  4.393E-02  3.159E+02  1.692E-04  1.269E-03  2.201E-09  7.090E-14  2.648E-08  1.057E-07  4.410E-08
  37   3.184E+05   1.154E+03  3.380E-02  2.691E+02  1.117E-04  9.013E-04  1.366E-09  4.264E-14  1.751E-08  7.680E-08  3.067E-08
  38   3.028E+05   9.669E+02  2.630E-02  2.303E+02  7.602E-05  6.571E-04  8.815E-10  2.665E-14  1.196E-08  5.727E-08  2.192E-08
  39   2.879E+05   8.078E+02  2.039E-02  1.967E+02  5.130E-05  4.756E-04  5.629E-10  1.648E-14  8.090E-09  4.240E-08  1.554E-08
  40   2.738E+05   6.814E+02  1.600E-02  1.689E+02  3.567E-05  3.529E-04  3.728E-10  1.058E-14  5.646E-09  3.218E-08  1.130E-08
  41   2.603E+05   5.729E+02  1.251E-02  1.448E+02  2.460E-05  2.600E-04  2.445E-10  6.720E-15  3.908E-09  2.425E-08  8.163E-09
  42   2.478E+05   4.806E+02  9.755E-03  1.241E+02  1.678E-05  1.898E-04  1.581E-10  4.210E-15  2.672E-09  1.810E-08  5.839E-09
  43   2.356E+05   4.020E+02  7.576E-03  1.060E+02  1.138E-05  1.379E-04  1.015E-10  2.618E-15  1.817E-09  1.344E-08  4.154E-09
  44   2.240E+05   3.308E+02  5.762E-03  8.972E+01  7.315E-06  9.584E-05  6.104E-11  1.524E-15  1.169E-09  9.555E-09  2.824E-09
  45   2.131E+05   2.749E+02  4.440E-03  7.638E+01  4.857E-06  6.840E-05  3.819E-11  9.237E-16  7.774E-10  6.970E-09  1.973E-09
  46   2.026E+05   2.279E+02  3.410E-03  6.493E+01  3.201E-06  4.853E-05  2.369E-11  5.547E-16  5.133E-10  5.056E-09  1.370E-09
  47   1.928E+05   1.938E+02  2.705E-03  5.604E+01  2.284E-06  3.677E-05  1.619E-11  3.676E-16  3.678E-10  3.917E-09  1.019E-09
  48   1.833E+05   1.642E+02  2.137E-03  4.821E+01  1.621E-06  2.773E-05  1.100E-11  2.420E-16  2.621E-10  3.019E-09  7.534E-10
  49   1.638E+05   1.259E+02  1.444E-03  3.662E+01  1.054E-06  1.951E-05  7.007E-12  1.443E-16  1.742E-10  2.233E-09  5.137E-10
  50   1.481E+05   1.097E+02  1.158E-03  3.034E+01  9.966E-07  1.872E-05  7.016E-12  1.368E-16  1.699E-10  2.240E-09  4.842E-10
  51   1.340E+05   1.011E+02  9.977E-04  2.594E+01  1.134E-06  2.094E-05  8.822E-12  1.632E-16  2.006E-10  2.618E-09  5.349E-10
  52   1.213E+05   9.427E+01  8.738E-04  2.230E+01  1.348E-06  2.427E-05  1.171E-11  2.057E-16  2.479E-10  3.169E-09  6.132E-10
  53   1.097E+05   8.507E+01  7.343E-04  1.879E+01  1.450E-06  2.586E-05  1.374E-11  2.289E-16  2.757E-10  3.524E-09  6.436E-10
  54   9.927E+04   7.545E+01  6.037E-04  1.566E+01  1.478E-06  2.637E-05  1.511E-11  2.385E-16  2.903E-10  3.747E-09  6.450E-10
  55   8.982E+04   6.667E+01  4.944E-04  1.301E+01  1.498E-06  2.672E-05  1.647E-11  2.465E-16  3.033E-10  3.958E-09  6.419E-10
  56   8.125E+04   5.949E+01  4.106E-04  1.085E+01  1.583E-06  2.801E-05  1.893E-11  2.686E-16  3.308E-10  4.320E-09  6.612E-10
  57   7.353E+04   5.423E+01  3.515E-04  9.126E+00  1.824E-06  3.148E-05  2.418E-11  3.259E-16  3.938E-10  5.044E-09  7.310E-10
  58   6.652E+04   4.912E+01  2.988E-04  7.626E+00  2.086E-06  3.514E-05  3.065E-11  3.921E-16  4.649E-10  5.840E-09  8.011E-10
  59   6.020E+04   4.472E+01  2.565E-04  6.365E+00  2.472E-06  4.030E-05  4.057E-11  4.932E-16  5.680E-10  6.927E-09  9.011E-10
  60   5.446E+04   3.936E+01  2.110E-04  5.203E+00  2.643E-06  4.242E-05  4.734E-11  5.460E-16  6.234E-10  7.538E-09  9.266E-10
  61   4.926E+04   3.472E+01  1.746E-04  4.234E+00  2.923E-06  4.576E-05  5.759E-11  6.305E-16  7.065E-10  8.382E-09  9.754E-10
  62   4.460E+04   3.101E+01  1.478E-04  3.446E+00  3.482E-06  5.232E-05  7.681E-11  7.996E-16  8.616E-10  9.828E-09  1.087E-09
  63   4.036E+04   2.777E+01  1.264E-04  2.774E+00  4.442E-06  6.294E-05  1.116E-10  1.106E-15  1.122E-09  1.204E-08  1.269E-09
  64   3.651E+04   2.482E+01  1.089E-04  2.200E+00  6.020E-06  7.909E-05  1.749E-10  1.652E-15  1.545E-09  1.529E-08  1.539E-09
  65   3.303E+04   2.179E+01  9.261E-05  1.702E+00  8.228E-06  9.936E-05  2.775E-10  2.498E-15  2.132E-09  1.926E-08  1.856E-09
  66   2.991E+04   1.853E+01  7.593E-05  1.285E+00  1.043E-05  1.169E-04  4.012E-10  3.445E-15  2.711E-09  2.260E-08  2.082E-09
  67   2.704E+04   1.481E+01  5.744E-05  9.350E-01  1.087E-05  1.168E-04  4.561E-10  3.721E-15  2.814E-09  2.254E-08  1.971E-09
  68   2.448E+04   1.159E+01  4.257E-05  6.664E-01  1.099E-05  1.133E-04  4.997E-10  3.876E-15  2.818E-09  2.169E-08  1.803E-09
  69   2.215E+04   8.924E+00  3.133E-05  4.616E-01  1.160E-05  1.128E-04  5.779E-10  4.268E-15  2.922E-09  2.118E-08  1.677E-09
  70   2.004E+04   6.681E+00  2.271E-05  3.046E-01  1.297E-05  1.160E-04  7.204E-10  5.073E-15  3.169E-09  2.098E-08  1.590E-09
  71   1.815E+04   4.901E+00  1.648E-05  1.910E-01  1.641E-05  1.294E-04  1.048E-09  7.063E-15  3.830E-09  2.201E-08  1.610E-09
  72   1.642E+04   3.362E+00  1.123E-05  1.112E-01  1.964E-05  1.356E-04  1.430E-09  9.223E-15  4.301E-09  2.128E-08  1.504E-09
  73   1.487E+04   2.191E+00  7.268E-06  6.164E-02  2.196E-05  1.329E-04  1.797E-09  1.109E-14  4.454E-09  1.899E-08  1.296E-09
  74   1.346E+04   1.357E+00  4.427E-06  3.288E-02  2.165E-05  1.168E-04  1.936E-09  1.142E-14  4.033E-09  1.512E-08  9.944E-10
  75   1.217E+04   8.087E-01  2.563E-06  1.719E-02  1.864E-05  9.189E-05  1.765E-09  9.932E-15  3.177E-09  1.079E-08  6.800E-10
  76   1.102E+04   4.792E-01  1.469E-06  8.997E-03  1.542E-05  7.004E-05  1.531E-09  8.215E-15  2.404E-09  7.477E-09  4.510E-10
  77   9.969E+03   2.804E-01  8.210E-07  4.735E-03  1.153E-05  4.943E-05  1.172E-09  5.986E-15  1.650E-09  4.835E-09  2.778E-10
  78   9.020E+03   1.628E-01  4.515E-07  2.502E-03  8.053E-06  3.311E-05  8.240E-10  4.002E-15  1.060E-09  2.982E-09  1.627E-10
  79   8.164E+03   9.528E-02  2.504E-07  1.334E-03  5.679E-06  2.239E-05  5.860E-10  2.705E-15  6.885E-10  1.860E-09  9.647E-11
  80   7.385E+03   5.487E-02  1.360E-07  7.034E-04  3.819E-06  1.455E-05  3.931E-10  1.725E-15  4.256E-10  1.115E-09  5.482E-11
  81   6.685E+03   3.218E-02  7.589E-08  3.734E-04  2.777E-06  1.007E-05  2.903E-10  1.212E-15  2.845E-10  7.094E-10  3.318E-11
  82   6.047E+03   1.859E-02  4.153E-08  1.964E-04  1.930E-06  6.706E-06  2.030E-10  8.052E-16  1.816E-10  4.348E-10  1.931E-11
  83   5.474E+03   1.093E-02  2.323E-08  1.045E-04  1.407E-06  4.654E-06  1.505E-10  5.681E-16  1.219E-10  2.777E-10  1.173E-11
  84   4.951E+03   6.365E-03  1.276E-08  5.573E-05  9.604E-07  3.069E-06  1.028E-10  3.685E-16  7.669E-11  1.694E-10  6.788E-12
  85   4.481E+03   3.802E-03  7.190E-09  3.050E-05  6.743E-07  2.083E-06  7.259E-11  2.473E-16  4.994E-11  1.070E-10  4.066E-12
  86   4.055E+03   2.304E-03  4.093E-09  1.704E-05  4.683E-07  1.410E-06  5.053E-11  1.635E-16  3.234E-11  6.787E-11  2.443E-12
  87   3.667E+03   1.430E-03  2.376E-09  9.808E-06  3.261E-07  9.645E-07  3.525E-11  1.082E-16  2.118E-11  4.395E-11  1.496E-12
  88   3.316E+03   9.091E-04  1.407E-09  5.816E-06  2.270E-07  6.653E-07  2.455E-11  7.147E-17  1.398E-11  2.897E-11  9.302E-13
  89   3.001E+03   6.011E-04  8.660E-10  3.592E-06  1.653E-07  4.802E-07  1.803E-11  4.979E-17  9.740E-12  2.018E-11  6.117E-13
  90   2.716E+03   4.139E-04  5.553E-10  2.310E-06  1.266E-07  3.646E-07  1.407E-11  3.684E-17  7.210E-12  1.494E-11  4.275E-13
  91   2.457E+03   2.878E-04  3.562E-10  1.519E-06  9.237E-08  2.682E-07  1.032E-11  2.561E-17  5.118E-12  1.082E-11  2.913E-13
  92   2.222E+03   2.075E-04  2.370E-10  1.036E-06  7.055E-08  2.066E-07  8.005E-12  1.880E-17  3.839E-12  8.283E-12  2.098E-13
  93   2.011E+03   1.547E-04  1.630E-10  7.317E-07  5.585E-08  1.651E-07  6.473E-12  1.440E-17  3.008E-12  6.630E-12  1.580E-13
  94   1.819E+03   1.169E-04  1.131E-10  5.273E-07  4.365E-08  1.314E-07  5.147E-12  1.083E-17  2.340E-12  5.328E-12  1.192E-13
  95   1.646E+03   9.073E-05  8.055E-11  3.903E-07  3.514E-08  1.079E-07  4.239E-12  8.447E-18  1.888E-12  4.444E-12  9.337E-14
  96   1.489E+03   7.185E-05  5.852E-11  2.951E-07  2.894E-08  9.060E-08  3.586E-12  6.759E-18  1.566E-12  3.812E-12  7.521E-14
  97   1.347E+03   5.798E-05  4.330E-11  2.274E-07  2.434E-08  7.782E-08  3.110E-12  5.547E-18  1.333E-12  3.359E-12  6.221E-14
  98   1.219E+03   4.743E-05  3.247E-11  1.778E-07  2.077E-08  6.783E-08  2.740E-12  4.626E-18  1.154E-12  3.014E-12  5.240E-14
  99   1.102E+03   3.863E-05  2.412E-11  1.394E-07  1.706E-08  5.745E-08  2.301E-12  3.673E-18  9.631E-13  2.636E-12  4.292E-14
 100   9.972E+02   3.227E-05  1.846E-11  1.115E-07  1.486E-08  5.123E-08  2.076E-12  3.135E-18  8.557E-13  2.431E-12  3.714E-14
 101   9.018E+02   2.669E-05  1.391E-11  8.892E-08  1.238E-08  4.409E-08  1.768E-12  2.524E-18  7.262E-13  2.166E-12  3.099E-14
 102   8.161E+02   2.260E-05  1.078E-11  7.215E-08  1.092E-08  3.988E-08  1.615E-12  2.181E-18  6.550E-13  2.031E-12  2.725E-14
