Index  PRESSURE   C4H8       C4H9       C4H10      C5H3       C5H4       C6H2       C6H3       C6H4       C6H5       LC6H6   
   1  9.998E+05   3.405E+05  1.793E+02  1.048E+04  1.122E+04  2.276E+03  4.729E+00  3.555E-04  1.516E+00  6.563E-02  1.126E-01
   2  9.669E+05   3.133E+05  1.570E+02  9.721E+03  9.264E+03  1.956E+03  3.817E+00  2.810E-04  1.263E+00  5.770E-02  9.607E-02
   3  9.352E+05   2.882E+05  1.374E+02  9.027E+03  7.619E+03  1.677E+03  3.068E+00  2.212E-04  1.049E+00  5.064E-02  8.178E-02
   4  9.042E+05   2.651E+05  1.201E+02  8.380E+03  6.247E+03  1.435E+03  2.457E+00  1.734E-04  8.680E-01  4.435E-02  6.946E-02
   5  8.747E+05   2.436E+05  1.050E+02  7.770E+03  5.140E+03  1.230E+03  1.976E+00  1.366E-04  7.208E-01  3.888E-02  5.911E-02
   6  8.459E+05   2.241E+05  9.177E+01  7.229E+03  4.182E+03  1.046E+03  1.567E+00  1.060E-04  5.922E-01  3.389E-02  4.996E-02
   7  8.182E+05   2.058E+05  8.010E+01  6.703E+03  3.415E+03  8.915E+02  1.248E+00  8.268E-05  4.880E-01  2.955E-02  4.226E-02
   8  7.912E+05   1.887E+05  6.982E+01  6.215E+03  2.777E+03  7.574E+02  9.894E-01  6.417E-05  4.006E-01  2.570E-02  3.565E-02
   9  7.652E+05   1.731E+05  6.081E+01  5.767E+03  2.249E+03  6.414E+02  7.802E-01  4.954E-05  3.275E-01  2.229E-02  2.998E-02
  10  7.399E+05   1.587E+05  5.291E+01  5.351E+03  1.815E+03  5.417E+02  6.127E-01  3.808E-05  2.669E-01  1.929E-02  2.515E-02
  11  7.156E+05   1.456E+05  4.605E+01  4.972E+03  1.459E+03  4.563E+02  4.786E-01  2.911E-05  2.167E-01  1.665E-02  2.105E-02
  12  6.922E+05   1.334E+05  4.009E+01  4.612E+03  1.179E+03  3.857E+02  3.764E-01  2.242E-05  1.767E-01  1.440E-02  1.766E-02
  13  6.692E+05   1.220E+05  3.475E+01  4.279E+03  9.385E+02  3.223E+02  2.906E-01  1.694E-05  1.421E-01  1.234E-02  1.466E-02
  14  6.474E+05   1.117E+05  3.020E+01  3.972E+03  7.516E+02  2.706E+02  2.260E-01  1.290E-05  1.148E-01  1.061E-02  1.223E-02
  15  6.260E+05   1.021E+05  2.614E+01  3.691E+03  5.928E+02  2.246E+02  1.725E-01  9.628E-06  9.154E-02  9.035E-03  1.009E-02
  16  6.054E+05   9.337E+04  2.265E+01  3.424E+03  4.704E+02  1.872E+02  1.327E-01  7.247E-06  7.333E-02  7.717E-03  8.351E-03
  17  5.751E+05   8.121E+04  1.812E+01  3.055E+03  3.255E+02  1.401E+02  8.719E-02  4.607E-06  5.152E-02  6.005E-03  6.190E-03
  18  5.469E+05   7.073E+04  1.453E+01  2.731E+03  2.253E+02  1.049E+02  5.729E-02  2.930E-06  3.620E-02  4.670E-03  4.590E-03
  19  5.203E+05   6.152E+04  1.162E+01  2.443E+03  1.540E+02  7.774E+01  3.705E-02  1.834E-06  2.512E-02  3.598E-03  3.372E-03
  20  4.945E+05   5.325E+04  9.217E+00  2.185E+03  1.025E+02  5.647E+01  2.320E-02  1.111E-06  1.698E-02  2.723E-03  2.428E-03
  21  4.705E+05   4.609E+04  7.313E+00  1.954E+03  6.818E+01  4.097E+01  1.450E-02  6.715E-07  1.146E-02  2.056E-03  1.746E-03
  22  4.473E+05   3.965E+04  5.750E+00  1.746E+03  4.401E+01  2.904E+01  8.741E-03  3.913E-07  7.517E-03  1.519E-03  1.227E-03
  23  4.255E+05   3.417E+04  4.539E+00  1.558E+03  2.886E+01  2.082E+01  5.369E-03  2.325E-07  5.001E-03  1.133E-03  8.716E-04
  24  4.048E+05   2.931E+04  3.563E+00  1.387E+03  1.861E+01  1.472E+01  3.232E-03  1.354E-07  3.271E-03  8.343E-04  6.107E-04
  25  3.847E+05   2.506E+04  2.786E+00  1.228E+03  1.204E+01  1.043E+01  1.954E-03  7.912E-08  2.145E-03  6.144E-04  4.278E-04
  26  3.660E+05   2.141E+04  2.182E+00  1.088E+03  7.785E+00  7.380E+00  1.181E-03  4.624E-08  1.405E-03  4.515E-04  2.995E-04
  27  3.480E+05   1.832E+04  1.716E+00  9.601E+02  5.159E+00  5.319E+00  7.358E-04  2.788E-08  9.420E-04  3.372E-04  2.133E-04
  28  3.311E+05   1.574E+04  1.364E+00  8.445E+02  3.567E+00  3.957E+00  4.831E-04  1.773E-08  6.578E-04  2.589E-04  1.565E-04
  29  3.147E+05   1.349E+04  1.079E+00  7.414E+02  2.446E+00  2.925E+00  3.143E-04  1.116E-08  4.559E-04  1.976E-04  1.141E-04
  30  2.994E+05   1.165E+04  8.664E-01  6.504E+02  1.764E+00  2.247E+00  2.174E-04  7.483E-09  3.316E-04  1.561E-04  8.637E-05
  31  2.845E+05   1.002E+04  6.924E-01  5.690E+02  1.262E+00  1.715E+00  1.491E-04  4.973E-09  2.395E-04  1.226E-04  6.495E-05
  32  2.707E+05   8.687E+03  5.603E-01  4.990E+02  9.346E-01  1.345E+00  1.066E-04  3.448E-09  1.789E-04  9.871E-05  5.015E-05
  33  2.575E+05   7.534E+03  4.544E-01  4.366E+02  7.025E-01  1.066E+00  7.764E-05  2.436E-09  1.355E-04  8.022E-05  3.913E-05
  34  2.449E+05   6.554E+03  3.704E-01  3.820E+02  5.369E-01  8.565E-01  5.776E-05  1.758E-09  1.043E-04  6.599E-05  3.093E-05
  35  2.329E+05   5.689E+03  3.011E-01  3.338E+02  4.081E-01  6.850E-01  4.268E-05  1.260E-09  7.995E-05  5.405E-05  2.433E-05
  36  2.216E+05   4.975E+03  2.478E-01  2.920E+02  3.229E-01  5.650E-01  3.313E-05  9.493E-10  6.370E-05  4.554E-05  1.973E-05
  37  2.107E+05   4.344E+03  2.035E-01  2.551E+02  2.545E-01  4.646E-01  2.560E-05  7.118E-10  5.054E-05  3.827E-05  1.595E-05
  38  2.005E+05   3.804E+03  1.681E-01  2.229E+02  2.044E-01  3.878E-01  2.026E-05  5.470E-10  4.089E-05  3.259E-05  1.309E-05
  39  1.906E+05   3.326E+03  1.385E-01  1.944E+02  1.637E-01  3.228E-01  1.597E-05  4.185E-10  3.296E-05  2.769E-05  1.070E-05
  40  1.813E+05   2.931E+03  1.157E-01  1.697E+02  1.369E-01  2.780E-01  1.328E-05  3.382E-10  2.773E-05  2.426E-05  9.049E-06
  41  1.724E+05   2.577E+03  9.633E-02  1.478E+02  1.141E-01  2.386E-01  1.100E-05  2.721E-10  2.324E-05  2.119E-05  7.625E-06
  42  1.640E+05   2.271E+03  8.065E-02  1.286E+02  9.700E-02  2.079E-01  9.342E-06  2.246E-10  1.986E-05  1.875E-05  6.518E-06
  43  1.560E+05   2.005E+03  6.783E-02  1.117E+02  8.423E-02  1.841E-01  8.142E-06  1.903E-10  1.732E-05  1.683E-05  5.657E-06
  44  1.484E+05   1.775E+03  5.735E-02  9.690E+01  7.474E-02  1.657E-01  7.291E-06  1.657E-10  1.543E-05  1.534E-05  4.988E-06
  45  1.411E+05   1.565E+03  4.830E-02  8.371E+01  6.606E-02  1.485E-01  6.499E-06  1.437E-10  1.368E-05  1.391E-05  4.378E-06
  46  1.343E+05   1.389E+03  4.119E-02  7.223E+01  6.105E-02  1.378E-01  6.118E-06  1.317E-10  1.266E-05  1.300E-05  3.969E-06
  47  1.277E+05   1.227E+03  3.495E-02  6.201E+01  5.621E-02  1.273E-01  5.740E-06  1.202E-10  1.167E-05  1.209E-05  3.581E-06
  48  1.215E+05   1.084E+03  2.975E-02  5.303E+01  5.277E-02  1.193E-01  5.514E-06  1.124E-10  1.094E-05  1.138E-05  3.271E-06
  49  1.089E+05   8.200E+02  2.086E-02  3.707E+01  4.719E-02  1.051E-01  5.225E-06  1.006E-10  9.735E-06  1.006E-05  2.717E-06
  50  9.853E+04   6.269E+02  1.503E-02  2.598E+01  4.491E-02  9.687E-02  5.318E-06  9.726E-11  9.144E-06  9.184E-06  2.351E-06
