Index   PRESSURE   C6H6       O          O_1       O2         OH         H2O        CO         CO2        HCO        H2CO    
   1   1.672E+06   4.692E+00  5.387E+11  4.784E+07  1.926E+08  8.926E+14  3.425E+18  3.196E+17  4.329E+13  6.178E+13  1.807E+14
   2   1.617E+06   4.307E+00  4.489E+11  3.712E+07  1.608E+08  7.953E+14  3.344E+18  3.088E+17  4.223E+13  5.536E+13  1.689E+14
   3   1.564E+06   3.923E+00  3.696E+11  2.834E+07  1.328E+08  7.041E+14  3.264E+18  2.974E+17  4.110E+13  4.923E+13  1.573E+14
   4   1.512E+06   3.583E+00  3.061E+11  2.180E+07  1.103E+08  6.252E+14  3.186E+18  2.868E+17  4.003E+13  4.394E+13  1.466E+14
   5   1.462E+06   3.261E+00  2.527E+11  1.670E+07  9.131E+07  5.541E+14  3.110E+18  2.763E+17  3.896E+13  3.912E+13  1.366E+14
   6   1.414E+06   2.957E+00  2.079E+11  1.273E+07  7.534E+07  4.902E+14  3.037E+18  2.657E+17  3.786E+13  3.474E+13  1.270E+14
   7   1.368E+06   2.692E+00  1.721E+11  9.795E+06  6.255E+07  4.352E+14  2.965E+18  2.560E+17  3.686E+13  3.098E+13  1.184E+14
   8   1.323E+06   2.423E+00  1.407E+11  7.402E+06  5.131E+07  3.837E+14  2.896E+18  2.456E+17  3.576E+13  2.740E+13  1.098E+14
   9   1.280E+06   2.192E+00  1.158E+11  5.642E+06  4.233E+07  3.394E+14  2.828E+18  2.360E+17  3.473E+13  2.432E+13  1.021E+14
  10   1.237E+06   1.977E+00  9.492E+10  4.281E+06  3.481E+07  2.997E+14  2.761E+18  2.265E+17  3.371E+13  2.154E+13  9.478E+13
  11   1.176E+06   1.668E+00  6.934E+10  2.767E+06  2.556E+07  2.464E+14  2.664E+18  2.119E+17  3.210E+13  1.776E+13  8.428E+13
  12   1.118E+06   1.405E+00  5.075E+10  1.793E+06  1.880E+07  2.028E+14  2.571E+18  1.981E+17  3.056E+13  1.465E+13  7.497E+13
  13   1.064E+06   1.184E+00  3.725E+10  1.166E+06  1.387E+07  1.672E+14  2.482E+18  1.852E+17  2.909E+13  1.210E+13  6.671E+13
  14   1.011E+06   9.795E-01  2.683E+10  7.392E+05  1.005E+07  1.364E+14  2.397E+18  1.720E+17  2.755E+13  9.870E+12  5.896E+13
  15   9.616E+05   8.099E-01  1.937E+10  4.701E+05  7.290E+06  1.114E+14  2.315E+18  1.598E+17  2.608E+13  8.056E+12  5.210E+13
  16   9.148E+05   6.694E-01  1.403E+10  3.003E+05  5.309E+06  9.119E+13  2.235E+18  1.484E+17  2.470E+13  6.586E+12  4.609E+13
  17   8.697E+05   5.434E-01  9.960E+09  1.865E+05  3.789E+06  7.379E+13  2.159E+18  1.369E+17  2.325E+13  5.311E+12  4.045E+13
  18   8.272E+05   4.450E-01  7.179E+09  1.183E+05  2.745E+06  6.020E+13  2.084E+18  1.268E+17  2.195E+13  4.323E+12  3.567E+13
  19   7.866E+05   3.574E-01  5.067E+09  7.291E+04  1.949E+06  4.855E+13  2.013E+18  1.165E+17  2.061E+13  3.468E+12  3.121E+13
  20   7.480E+05   2.871E-01  3.589E+09  4.516E+04  1.388E+06  3.923E+13  1.944E+18  1.071E+17  1.934E+13  2.788E+12  2.732E+13
  21   7.112E+05   2.281E-01  2.520E+09  2.763E+04  9.802E+05  3.154E+13  1.877E+18  9.809E+16  1.810E+13  2.226E+12  2.383E+13
  22   6.763E+05   1.793E-01  1.753E+09  1.668E+04  6.854E+05  2.522E+13  1.813E+18  8.944E+16  1.687E+13  1.765E+12  2.070E+13
  23   6.433E+05   1.392E-01  1.207E+09  9.941E+03  4.751E+05  2.006E+13  1.752E+18  8.122E+16  1.568E+13  1.389E+12  1.791E+13
  24   6.117E+05   1.082E-01  8.348E+08  5.957E+03  3.303E+05  1.599E+13  1.692E+18  7.381E+16  1.457E+13  1.096E+12  1.550E+13
  25   5.818E+05   8.297E-02  5.719E+08  3.522E+03  2.276E+05  1.268E+13  1.635E+18  6.675E+16  1.349E+13  8.581E+11  1.336E+13
  26   5.533E+05   6.291E-02  3.878E+08  2.054E+03  1.552E+05  9.993E+12  1.580E+18  6.011E+16  1.245E+13  6.670E+11  1.147E+13
  27   5.259E+05   4.708E-02  2.601E+08  1.180E+03  1.047E+05  7.827E+12  1.526E+18  5.387E+16  1.143E+13  5.141E+11  9.796E+12
  28   5.001E+05   3.531E-02  1.753E+08  6.825E+02  7.099E+04  6.149E+12  1.473E+18  4.832E+16  1.051E+13  3.974E+11  8.377E+12
  29   4.756E+05   2.608E-02  1.169E+08  3.890E+02  4.762E+04  4.801E+12  1.423E+18  4.313E+16  9.618E+12  3.047E+11  7.129E+12
  30   4.523E+05   1.935E-02  7.842E+07  2.235E+02  3.211E+04  3.759E+12  1.374E+18  3.855E+16  8.810E+12  2.344E+11  6.077E+12
  31   4.302E+05   1.443E-02  5.295E+07  1.297E+02  2.179E+04  2.954E+12  1.325E+18  3.452E+16  8.082E+12  1.811E+11  5.189E+12
  32   4.092E+05   1.081E-02  3.603E+07  7.602E+01  1.490E+04  2.331E+12  1.278E+18  3.098E+16  7.428E+12  1.405E+11  4.442E+12
  33   3.891E+05   8.006E-03  2.428E+07  4.397E+01  1.009E+04  1.829E+12  1.233E+18  2.768E+16  6.801E+12  1.083E+11  3.786E+12
  34   3.701E+05   6.101E-03  1.681E+07  2.641E+01  7.017E+03  1.457E+12  1.187E+18  2.499E+16  6.280E+12  8.507E+10  3.260E+12
  35   3.520E+05   4.787E-03  1.199E+07  1.652E+01  5.022E+03  1.179E+12  1.142E+18  2.282E+16  5.852E+12  6.817E+10  2.838E+12
  36   3.346E+05   3.818E-03  8.652E+06  1.052E+01  3.638E+03  9.602E+11  1.097E+18  2.095E+16  5.481E+12  5.516E+10  2.484E+12
  37   3.184E+05   3.143E-03  6.453E+06  7.006E+00  2.721E+03  7.965E+11  1.053E+18  1.946E+16  5.182E+12  4.563E+10  2.201E+12
  38   3.028E+05   2.636E-03  4.885E+06  4.763E+00  2.066E+03  6.659E+11  1.010E+18  1.819E+16  4.926E+12  3.817E+10  1.961E+12
  39   2.879E+05   2.199E-03  3.681E+06  3.218E+00  1.560E+03  5.551E+11  9.690E+17  1.699E+16  4.677E+12  3.183E+10  1.745E+12
  40   2.738E+05   1.865E-03  2.817E+06  2.223E+00  1.198E+03  4.671E+11  9.290E+17  1.595E+16  4.462E+12  2.682E+10  1.561E+12
  41   2.603E+05   1.575E-03  2.148E+06  1.526E+00  9.153E+02  3.919E+11  8.906E+17  1.494E+16  4.250E+12  2.254E+10  1.395E+12
  42   2.478E+05   1.320E-03  1.631E+06  1.042E+00  6.968E+02  3.283E+11  8.546E+17  1.397E+16  4.042E+12  1.888E+10  1.244E+12
  43   2.356E+05   1.103E-03  1.233E+06  7.071E-01  5.281E+02  2.742E+11  8.193E+17  1.304E+16  3.838E+12  1.576E+10  1.107E+12
