Index  PRESSURE   C6H6       O          O(1D      O2         OH         H2O        CO         CO2        HCO        H2CO    
   1  9.998E+05   8.347E+00  1.579E+12  2.286E+08  4.651E+08  1.138E+15  1.611E+18  4.887E+17  5.209E+13  1.097E+14  1.657E+14
   2  9.669E+05   7.846E+00  1.332E+12  1.804E+08  3.932E+08  1.021E+15  1.572E+18  4.758E+17  5.112E+13  9.935E+13  1.559E+14
   3  9.352E+05   7.374E+00  1.120E+12  1.419E+08  3.316E+08  9.147E+14  1.534E+18  4.627E+17  5.015E+13  8.983E+13  1.466E+14
   4  9.042E+05   6.924E+00  9.399E+11  1.111E+08  2.788E+08  8.179E+14  1.497E+18  4.498E+17  4.919E+13  8.110E+13  1.377E+14
   5  8.747E+05   6.495E+00  7.925E+11  8.767E+07  2.357E+08  7.337E+14  1.460E+18  4.375E+17  4.826E+13  7.340E+13  1.295E+14
   6  8.459E+05   6.088E+00  6.613E+11  6.814E+07  1.972E+08  6.543E+14  1.426E+18  4.246E+17  4.730E+13  6.605E+13  1.216E+14
   7  8.182E+05   5.697E+00  5.547E+11  5.335E+07  1.659E+08  5.852E+14  1.392E+18  4.124E+17  4.638E+13  5.960E+13  1.142E+14
   8  7.912E+05   5.323E+00  4.639E+11  4.162E+07  1.391E+08  5.226E+14  1.359E+18  4.004E+17  4.545E+13  5.368E+13  1.071E+14
   9  7.652E+05   4.968E+00  3.870E+11  3.234E+07  1.164E+08  4.661E+14  1.327E+18  3.883E+17  4.454E+13  4.827E+13  1.005E+14
  10  7.399E+05   4.632E+00  3.219E+11  2.502E+07  9.718E+07  4.149E+14  1.296E+18  3.764E+17  4.362E+13  4.335E+13  9.414E+13
  11  7.156E+05   4.317E+00  2.670E+11  1.928E+07  8.088E+07  3.688E+14  1.266E+18  3.645E+17  4.271E+13  3.885E+13  8.817E+13
  12  6.922E+05   4.021E+00  2.227E+11  1.498E+07  6.769E+07  3.289E+14  1.237E+18  3.533E+17  4.183E+13  3.493E+13  8.267E+13
  13  6.692E+05   3.731E+00  1.836E+11  1.145E+07  5.605E+07  2.915E+14  1.208E+18  3.416E+17  4.093E+13  3.120E+13  7.728E+13
  14  6.474E+05   3.465E+00  1.523E+11  8.827E+06  4.666E+07  2.592E+14  1.181E+18  3.306E+17  4.006E+13  2.795E+13  7.235E+13
  15  6.260E+05   3.207E+00  1.248E+11  6.688E+06  3.841E+07  2.289E+14  1.155E+18  3.192E+17  3.917E+13  2.488E+13  6.754E+13
  16  6.054E+05   2.969E+00  1.029E+11  5.111E+06  3.180E+07  2.029E+14  1.129E+18  3.084E+17  3.830E+13  2.220E+13  6.312E+13
  17  5.751E+05   2.625E+00  7.580E+10  3.339E+06  2.360E+07  1.677E+14  1.091E+18  2.918E+17  3.696E+13  1.855E+13  5.676E+13
  18  5.469E+05   2.320E+00  5.599E+10  2.190E+06  1.756E+07  1.389E+14  1.056E+18  2.761E+17  3.568E+13  1.552E+13  5.109E+13
  19  5.203E+05   2.039E+00  4.105E+10  1.421E+06  1.298E+07  1.146E+14  1.023E+18  2.606E+17  3.439E+13  1.293E+13  4.589E+13
  20  4.945E+05   1.777E+00  2.955E+10  8.985E+05  9.428E+06  9.363E+13  9.911E+17  2.450E+17  3.307E+13  1.065E+13  4.102E+13
