Index   PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
   1   1.672E+06   7.999E+11  5.179E+10  9.022E+12  3.413E+09  4.316E+11  6.964E+09  5.351E+10  5.711E+07  1.405E+07  2.496E+08
   2   1.617E+06   7.108E+11  4.516E+10  8.457E+12  2.922E+09  3.959E+11  6.208E+09  4.971E+10  5.009E+07  1.151E+07  2.126E+08
   3   1.564E+06   6.275E+11  3.909E+10  7.910E+12  2.472E+09  3.609E+11  5.495E+09  4.601E+10  4.364E+07  9.311E+06  1.796E+08
   4   1.512E+06   5.557E+11  3.394E+10  7.407E+12  2.103E+09  3.298E+11  4.878E+09  4.265E+10  3.813E+07  7.576E+06  1.523E+08
   5   1.462E+06   4.909E+11  2.941E+10  6.927E+12  1.782E+09  3.008E+11  4.320E+09  3.946E+10  3.324E+07  6.145E+06  1.289E+08
   6   1.414E+06   4.331E+11  2.543E+10  6.478E+12  1.504E+09  2.736E+11  3.818E+09  3.647E+10  2.892E+07  4.970E+06  1.088E+08
   7   1.368E+06   3.832E+11  2.208E+10  6.063E+12  1.278E+09  2.498E+11  3.386E+09  3.378E+10  2.525E+07  4.044E+06  9.230E+07
   8   1.323E+06   3.368E+11  1.901E+10  5.664E+12  1.070E+09  2.263E+11  2.977E+09  3.113E+10  2.187E+07  3.250E+06  7.761E+07
   9   1.280E+06   2.968E+11  1.643E+10  5.293E+12  9.022E+08  2.057E+11  2.627E+09  2.875E+10  1.901E+07  2.628E+06  6.553E+07
  10   1.237E+06   2.612E+11  1.417E+10  4.945E+12  7.581E+08  1.866E+11  2.313E+09  2.652E+10  1.650E+07  2.118E+06  5.520E+07
  11   1.176E+06   2.134E+11  1.122E+10  4.448E+12  5.736E+08  1.595E+11  1.889E+09  2.333E+10  1.318E+07  1.507E+06  4.218E+07
  12   1.118E+06   1.747E+11  8.903E+09  4.005E+12  4.342E+08  1.364E+11  1.544E+09  2.053E+10  1.055E+07  1.075E+06  3.231E+07
  13   1.064E+06   1.431E+11  7.072E+09  3.607E+12  3.293E+08  1.167E+11  1.263E+09  1.808E+10  8.453E+06  7.691E+05  2.479E+07
  14   1.011E+06   1.160E+11  5.549E+09  3.237E+12  2.446E+08  9.868E+10  1.019E+09  1.580E+10  6.691E+06  5.401E+05  1.878E+07
  15   9.616E+05   9.402E+10  4.358E+09  2.903E+12  1.820E+08  8.345E+10  8.232E+08  1.380E+10  5.299E+06  3.800E+05  1.424E+07
  16   9.148E+05   7.637E+10  3.430E+09  2.607E+12  1.356E+08  7.062E+10  6.657E+08  1.206E+10  4.203E+06  2.685E+05  1.083E+07
  17   8.697E+05   6.131E+10  2.663E+09  2.331E+12  9.893E+07  5.902E+10  5.306E+08  1.046E+10  3.291E+06  1.857E+05  8.121E+06
  18   8.272E+05   4.958E+10  2.087E+09  2.088E+12  7.320E+07  4.970E+10  4.268E+08  9.109E+09  2.597E+06  1.305E+05  6.153E+06
  19   7.866E+05   3.963E+10  1.613E+09  1.863E+12  5.295E+07  4.131E+10  3.382E+08  7.869E+09  2.023E+06  8.979E+04  4.596E+06
  20   7.480E+05   3.172E+10  1.249E+09  1.663E+12  3.839E+07  3.435E+10  2.683E+08  6.797E+09  1.577E+06  6.198E+04  3.439E+06
  21   7.112E+05   2.525E+10  9.615E+08  1.481E+12  2.753E+07  2.839E+10  2.114E+08  5.847E+09  1.222E+06  4.242E+04  2.559E+06
  22   6.763E+05   1.998E+10  7.352E+08  1.316E+12  1.953E+07  2.330E+10  1.653E+08  5.008E+09  9.413E+05  2.875E+04  1.891E+06
  23   6.433E+05   1.572E+10  5.585E+08  1.168E+12  1.368E+07  1.898E+10  1.282E+08  4.268E+09  7.199E+05  1.931E+04  1.389E+06
  24   6.117E+05   1.239E+10  4.251E+08  1.036E+12  9.623E+06  1.548E+10  9.963E+07  3.640E+09  5.512E+05  1.301E+04  1.022E+06
  25   5.818E+05   9.700E+09  3.214E+08  9.167E+11  6.682E+06  1.253E+10  7.678E+07  3.088E+09  4.191E+05  8.686E+03  7.475E+05
  26   5.533E+05   7.550E+09  2.412E+08  8.097E+11  4.586E+06  1.007E+10  5.870E+07  2.608E+09  3.164E+05  5.740E+03  5.426E+05
  27   5.259E+05   5.833E+09  1.796E+08  7.124E+11  3.106E+06  8.025E+09  4.447E+07  2.189E+09  2.368E+05  3.750E+03  3.907E+05
  28   5.001E+05   4.518E+09  1.342E+08  6.275E+11  2.113E+06  6.409E+09  3.378E+07  1.840E+09  1.777E+05  2.463E+03  2.823E+05
  29   4.756E+05   3.475E+09  9.945E+07  5.513E+11  1.418E+06  5.074E+09  2.543E+07  1.538E+09  1.323E+05  1.600E+03  2.025E+05
  30   4.523E+05   2.681E+09  7.397E+07  4.845E+11  9.571E+05  4.030E+09  1.920E+07  1.287E+09  9.878E+04  1.045E+03  1.458E+05
  31   4.302E+05   2.075E+09  5.524E+07  4.261E+11  6.504E+05  3.212E+09  1.456E+07  1.079E+09  7.400E+04  6.873E+02  1.054E+05
  32   4.092E+05   1.612E+09  4.146E+07  3.752E+11  4.452E+05  2.570E+09  1.109E+07  9.073E+08  5.568E+04  4.556E+02  7.670E+04
  33   3.891E+05   1.244E+09  3.089E+07  3.294E+11  3.013E+05  2.042E+09  8.381E+06  7.587E+08  4.157E+04  2.988E+02  5.535E+04
  34   3.701E+05   9.752E+08  2.343E+07  2.906E+11  2.104E+05  1.652E+09  6.462E+06  6.417E+08  3.159E+04  2.014E+02  4.072E+04
  35   3.520E+05   7.773E+08  1.812E+07  2.577E+11  1.517E+05  1.362E+09  5.087E+06  5.492E+08  2.445E+04  1.398E+02  3.056E+04
  36   3.346E+05   6.241E+08  1.413E+07  2.290E+11  1.112E+05  1.134E+09  4.046E+06  4.727E+08  1.908E+04  9.820E+01  2.312E+04
  37   3.184E+05   5.106E+08  1.127E+07  2.049E+11  8.445E+04  9.637E+08  3.295E+06  4.124E+08  1.521E+04  7.130E+01  1.791E+04
  38   3.028E+05   4.213E+08  9.071E+06  1.837E+11  6.532E+04  8.283E+08  2.713E+06  3.621E+08  1.225E+04  5.254E+01  1.401E+04
  39   2.879E+05   3.466E+08  7.281E+06  1.645E+11  5.028E+04  7.098E+08  2.227E+06  3.174E+08  9.821E+03  3.852E+01  1.092E+04
  40   2.738E+05   2.878E+08  5.904E+06  1.478E+11  3.938E+04  6.145E+08  1.850E+06  2.799E+08  7.963E+03  2.871E+01  8.610E+03
  41   2.603E+05   2.384E+08  4.774E+06  1.327E+11  3.070E+04  5.304E+08  1.531E+06  2.464E+08  6.438E+03  2.130E+01  6.767E+03
  42   2.478E+05   1.970E+08  3.853E+06  1.191E+11  2.379E+04  4.563E+08  1.263E+06  2.166E+08  5.191E+03  1.575E+01  5.310E+03
  43   2.356E+05   1.623E+08  3.097E+06  1.067E+11  1.836E+04  3.914E+08  1.038E+06  1.899E+08  4.170E+03  1.158E+01  4.149E+03
  44   2.240E+05   1.316E+08  2.447E+06  9.510E+10  1.373E+04  3.296E+08  8.363E+05  1.646E+08  3.292E+03  8.298E+00  3.182E+03
  45   2.131E+05   1.078E+08  1.953E+06  8.503E+10  1.046E+04  2.806E+08  6.819E+05  1.436E+08  2.627E+03  6.046E+00  2.470E+03
  46   2.026E+05   8.804E+07  1.556E+06  7.594E+10  7.943E+03  2.383E+08  5.546E+05  1.252E+08  2.091E+03  4.385E+00  1.911E+03
  47   1.928E+05   7.372E+07  1.274E+06  6.844E+10  6.319E+03  2.082E+08  4.651E+05  1.110E+08  1.711E+03  3.317E+00  1.523E+03
  48   1.833E+05   6.155E+07  1.041E+06  6.155E+10  5.011E+03  1.815E+08  3.891E+05  9.834E+07  1.395E+03  2.498E+00  1.209E+03
  49   1.638E+05   4.547E+07  7.425E+05  5.029E+10  3.642E+03  1.506E+08  2.977E+05  8.093E+07  9.924E+02  1.570E+00  8.123E+02
  50   1.481E+05   3.829E+07  6.150E+05  4.343E+10  3.332E+03  1.434E+08  2.664E+05  7.327E+07  8.186E+02  1.225E+00  6.394E+02
  51   1.340E+05   3.408E+07  5.429E+05  3.819E+10  3.403E+03  1.458E+08  2.560E+05  6.911E+07  7.189E+02  1.051E+00  5.375E+02
  52   1.213E+05   3.073E+07  4.864E+05  3.371E+10  3.567E+03  1.504E+08  2.502E+05  6.576E+07  6.404E+02  9.227E-01  4.589E+02
  53   1.097E+05   2.689E+07  4.212E+05  2.943E+10  3.524E+03  1.497E+08  2.351E+05  6.112E+07  5.509E+02  7.707E-01  3.785E+02
  54   9.927E+04   2.316E+07  3.582E+05  2.553E+10  3.375E+03  1.462E+08  2.163E+05  5.609E+07  4.653E+02  6.270E-01  3.064E+02
  55   8.982E+04   1.991E+07  3.041E+05  2.213E+10  3.222E+03  1.424E+08  1.985E+05  5.137E+07  3.919E+02  5.091E-01  2.477E+02
  56   8.125E+04   1.733E+07  2.619E+05  1.924E+10  3.155E+03  1.406E+08  1.850E+05  4.742E+07  3.344E+02  4.228E-01  2.033E+02
  57   7.353E+04   1.548E+07  2.324E+05  1.684E+10  3.252E+03  1.429E+08  1.780E+05  4.445E+07  2.935E+02  3.682E-01  1.723E+02
  58   6.652E+04   1.379E+07  2.059E+05  1.470E+10  3.345E+03  1.448E+08  1.708E+05  4.158E+07  2.565E+02  3.201E-01  1.458E+02
