Index PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
   1  9.998E+05   7.153E+11  5.279E+10  3.862E+12  1.197E+10  6.503E+11  8.805E+09  3.525E+10  3.850E+07  2.686E+07  2.510E+08
   2  9.669E+05   6.413E+11  4.648E+10  3.634E+12  1.044E+10  6.038E+11  7.952E+09  3.302E+10  3.416E+07  2.226E+07  2.156E+08
   3  9.352E+05   5.744E+11  4.089E+10  3.420E+12  9.077E+09  5.602E+11  7.173E+09  3.094E+10  3.027E+07  1.840E+07  1.849E+08
   4  9.042E+05   5.135E+11  3.588E+10  3.216E+12  7.876E+09  5.191E+11  6.461E+09  2.897E+10  2.679E+07  1.517E+07  1.581E+08
   5  8.747E+05   4.602E+11  3.159E+10  3.025E+12  6.858E+09  4.816E+11  5.829E+09  2.712E+10  2.375E+07  1.257E+07  1.358E+08
   6  8.459E+05   4.106E+11  2.766E+10  2.847E+12  5.921E+09  4.452E+11  5.238E+09  2.538E+10  2.099E+07  1.031E+07  1.158E+08
   7  8.182E+05   3.671E+11  2.428E+10  2.678E+12  5.129E+09  4.121E+11  4.714E+09  2.375E+10  1.856E+07  8.498E+06  9.917E+07
   8  7.912E+05   3.277E+11  2.127E+10  2.517E+12  4.433E+09  3.809E+11  4.235E+09  2.220E+10  1.640E+07  6.988E+06  8.471E+07
   9  7.652E+05   2.922E+11  1.861E+10  2.367E+12  3.820E+09  3.516E+11  3.800E+09  2.075E+10  1.447E+07  5.732E+06  7.226E+07
  10  7.399E+05   2.601E+11  1.626E+10  2.224E+12  3.284E+09  3.243E+11  3.404E+09  1.938E+10  1.274E+07  4.687E+06  6.151E+07
  11  7.156E+05   2.313E+11  1.418E+10  2.092E+12  2.816E+09  2.986E+11  3.046E+09  1.810E+10  1.123E+07  3.823E+06  5.228E+07
  12  6.922E+05   2.062E+11  1.241E+10  1.967E+12  2.425E+09  2.755E+11  2.731E+09  1.691E+10  9.900E+06  3.137E+06  4.462E+07
  13  6.692E+05   1.828E+11  1.079E+10  1.848E+12  2.067E+09  2.530E+11  2.435E+09  1.577E+10  8.690E+06  2.545E+06  3.778E+07
  14  6.474E+05   1.625E+11  9.408E+09  1.737E+12  1.769E+09  2.328E+11  2.177E+09  1.472E+10  7.647E+06  2.077E+06  3.213E+07
  15  6.260E+05   1.437E+11  8.151E+09  1.632E+12  1.500E+09  2.132E+11  1.934E+09  1.371E+10  6.696E+06  1.675E+06  2.710E+07
  16  6.054E+05   1.274E+11  7.084E+09  1.533E+12  1.276E+09  1.956E+11  1.723E+09  1.277E+10  5.875E+06  1.359E+06  2.296E+07
  17  5.751E+05   1.054E+11  5.684E+09  1.393E+12  9.886E+08  1.706E+11  1.436E+09  1.144E+10  4.787E+06  9.773E+05  1.769E+07
  18  5.469E+05   8.740E+10  4.572E+09  1.267E+12  7.664E+08  1.489E+11  1.199E+09  1.026E+10  3.910E+06  7.056E+05  1.368E+07
  19  5.203E+05   7.223E+10  3.662E+09  1.153E+12  5.895E+08  1.295E+11  9.965E+08  9.192E+09  3.184E+06  5.057E+05  1.053E+07
  20  4.945E+05   5.915E+10  2.902E+09  1.047E+12  4.459E+08  1.117E+11  8.199E+08  8.198E+09  2.569E+06  3.561E+05  8.009E+06
  21  4.705E+05   4.849E+10  2.303E+09  9.513E+11  3.373E+08  9.624E+10  6.748E+08  7.311E+09  2.076E+06  2.513E+05  6.104E+06
  22  4.473E+05   3.937E+10  1.806E+09  8.627E+11  2.504E+08  8.219E+10  5.493E+08  6.489E+09  1.661E+06  1.742E+05  4.593E+06
  23  4.255E+05   3.214E+10  1.427E+09  7.829E+11  1.878E+08  7.048E+10  4.496E+08  5.769E+09  1.335E+06  1.221E+05  3.485E+06
  24  4.048E+05   2.611E+10  1.121E+09  7.098E+11  1.396E+08  6.011E+10  3.659E+08  5.114E+09  1.068E+06  8.500E+04  2.631E+06
  25  3.847E+05   2.120E+10  8.807E+08  6.418E+11  1.039E+08  5.127E+10  2.976E+08  4.524E+09  8.531E+05  5.923E+04  1.986E+06
  26  3.660E+05   1.725E+10  6.937E+08  5.810E+11  7.740E+07  4.373E+10  2.422E+08  4.004E+09  6.824E+05  4.147E+04  1.505E+06
  27  3.480E+05   1.412E+10  5.505E+08  5.255E+11  5.857E+07  3.754E+10  1.986E+08  3.548E+09  5.489E+05  2.945E+04  1.151E+06
  28  3.311E+05   1.172E+10  4.445E+08  4.762E+11  4.555E+07  3.265E+10  1.654E+08  3.162E+09  4.471E+05  2.156E+04  8.980E+05
  29  3.147E+05   9.686E+09  3.573E+08  4.307E+11  3.524E+07  2.831E+10  1.372E+08  2.812E+09  3.628E+05  1.568E+04  6.973E+05
  30  2.994E+05   8.136E+09  2.928E+08  3.905E+11  2.814E+07  2.493E+10  1.159E+08  2.518E+09  2.988E+05  1.177E+04  5.535E+05
  31  2.845E+05   6.809E+09  2.390E+08  3.533E+11  2.236E+07  2.189E+10  9.757E+07  2.250E+09  2.452E+05  8.798E+03  4.375E+05
  32  2.707E+05   5.766E+09  1.979E+08  3.208E+11  1.816E+07  1.943E+10  8.319E+07  2.022E+09  2.037E+05  6.723E+03  3.513E+05
  33  2.575E+05   4.902E+09  1.646E+08  2.911E+11  1.489E+07  1.733E+10  7.130E+07  1.820E+09  1.698E+05  5.187E+03  2.838E+05
  34  2.449E+05   4.188E+09  1.378E+08  2.643E+11  1.233E+07  1.553E+10  6.146E+07  1.642E+09  1.422E+05  4.043E+03  2.309E+05
  35  2.329E+05   3.571E+09  1.151E+08  2.399E+11  1.018E+07  1.389E+10  5.285E+07  1.480E+09  1.188E+05  3.141E+03  1.873E+05
  36  2.216E+05   3.085E+09  9.760E+07  2.181E+11  8.618E+06  1.259E+10  4.613E+07  1.342E+09  1.006E+05  2.501E+03  1.546E+05
  37  2.107E+05   2.659E+09  8.260E+07  1.983E+11  7.277E+06  1.139E+10  4.019E+07  1.215E+09  8.497E+04  1.987E+03  1.273E+05
  38  2.005E+05   2.305E+09  7.038E+07  1.803E+11  6.218E+06  1.036E+10  3.525E+07  1.104E+09  7.218E+04  1.597E+03  1.057E+05
  39  1.906E+05   1.996E+09  5.989E+07  1.639E+11  5.303E+06  9.421E+09  3.088E+07  1.002E+09  6.123E+04  1.281E+03  8.758E+04
  40  1.813E+05   1.752E+09  5.180E+07  1.493E+11  4.648E+06  8.682E+09  2.747E+07  9.148E+08  5.263E+04  1.055E+03  7.393E+04
  41  1.724E+05   1.535E+09  4.473E+07  1.359E+11  4.065E+06  7.988E+09  2.440E+07  8.344E+08  4.516E+04  8.681E+02  6.231E+04
  42  1.640E+05   1.354E+09  3.892E+07  1.237E+11  3.602E+06  7.395E+09  2.183E+07  7.630E+08  3.897E+04  7.235E+02  5.297E+04
  43  1.560E+05   1.202E+09  3.414E+07  1.127E+11  3.234E+06  6.889E+09  1.967E+07  6.994E+08  3.384E+04  6.114E+02  4.545E+04
  44  1.484E+05   1.074E+09  3.017E+07  1.028E+11  2.943E+06  6.458E+09  1.785E+07  6.427E+08  2.955E+04  5.236E+02  3.935E+04
  45  1.411E+05   9.573E+08  2.662E+07  9.354E+10  2.674E+06  6.045E+09  1.618E+07  5.895E+08  2.574E+04  4.480E+02  3.402E+04
  46  1.343E+05   8.665E+08  2.391E+07  8.534E+10  2.499E+06  5.735E+09  1.489E+07  5.438E+08  2.274E+04  3.949E+02  3.001E+04
  47  1.277E+05   7.824E+08  2.143E+07  7.766E+10  2.332E+06  5.430E+09  1.368E+07  5.005E+08  2.003E+04  3.476E+02  2.644E+04
  48  1.215E+05   7.113E+08  1.936E+07  7.070E+10  2.205E+06  5.168E+09  1.265E+07  4.613E+08  1.773E+04  3.106E+02  2.352E+04
  49  1.089E+05   5.814E+08  1.566E+07  5.733E+10  1.986E+06  4.663E+09  1.072E+07  3.846E+08  1.363E+04  2.482E+02  1.847E+04
  50  9.853E+04   4.921E+08  1.319E+07  4.710E+10  1.877E+06  4.295E+09  9.361E+06  3.249E+08  1.083E+04  2.124E+02  1.527E+04
  51  8.914E+04   4.138E+08  1.104E+07  3.844E+10  1.754E+06  3.911E+09  8.081E+06  2.712E+08  8.499E+03  1.812E+02  1.259E+04
