Index  PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
   1   1.672E+06   4.649E+11  1.531E+17  1.680E+13  1.431E+15  3.226E+17  5.538E+11  1.292E+10  2.034E+08  7.150E+08  2.846E+09
   2   1.617E+06   3.864E+11  1.508E+17  1.438E+13  1.289E+15  3.121E+17  4.882E+11  1.132E+10  1.723E+08  6.163E+08  2.529E+09
   3   1.564E+06   3.173E+11  1.484E+17  1.219E+13  1.155E+15  3.021E+17  4.272E+11  9.854E+09  1.446E+08  5.276E+08  2.238E+09
   4   1.512E+06   2.621E+11  1.460E+17  1.039E+13  1.037E+15  2.922E+17  3.751E+11  8.604E+09  1.219E+08  4.532E+08  1.985E+09
   5   1.462E+06   2.157E+11  1.436E+17  8.822E+12  9.300E+14  2.827E+17  3.286E+11  7.498E+09  1.025E+08  3.883E+08  1.757E+09
   6   1.414E+06   1.770E+11  1.413E+17  7.477E+12  8.330E+14  2.737E+17  2.874E+11  6.525E+09  8.603E+07  3.324E+08  1.556E+09
   7   1.368E+06   1.461E+11  1.389E+17  6.366E+12  7.479E+14  2.647E+17  2.523E+11  5.697E+09  7.250E+07  2.855E+08  1.379E+09
   8   1.323E+06   1.190E+11  1.366E+17  5.368E+12  6.680E+14  2.564E+17  2.197E+11  4.941E+09  6.056E+07  2.434E+08  1.218E+09
   9   1.280E+06   9.763E+10  1.342E+17  4.547E+12  5.983E+14  2.481E+17  1.920E+11  4.299E+09  5.081E+07  2.083E+08  1.078E+09
  10   1.237E+06   7.977E+10  1.319E+17  3.842E+12  5.348E+14  2.402E+17  1.675E+11  3.734E+09  4.253E+07  1.779E+08  9.531E+08
  11   1.176E+06   5.797E+10  1.283E+17  2.946E+12  4.489E+14  2.288E+17  1.351E+11  2.994E+09  3.217E+07  1.390E+08  7.874E+08
  12   1.118E+06   4.222E+10  1.249E+17  2.262E+12  3.774E+14  2.181E+17  1.091E+11  2.407E+09  2.439E+07  1.089E+08  6.520E+08
  13   1.064E+06   3.082E+10  1.214E+17  1.741E+12  3.175E+14  2.079E+17  8.826E+10  1.937E+09  1.854E+07  8.546E+07  5.405E+08
  14   1.011E+06   2.208E+10  1.180E+17  1.321E+12  2.652E+14  1.984E+17  7.063E+10  1.544E+09  1.390E+07  6.638E+07  4.456E+08
  15   9.616E+05   1.585E+10  1.146E+17  1.004E+12  2.216E+14  1.894E+17  5.656E+10  1.233E+09  1.044E+07  5.162E+07  3.676E+08
  16   9.148E+05   1.142E+10  1.114E+17  7.648E+11  1.855E+14  1.807E+17  4.540E+10  9.862E+08  7.868E+06  4.025E+07  3.038E+08
  17   8.697E+05   8.063E+09  1.081E+17  5.737E+11  1.539E+14  1.727E+17  3.600E+10  7.807E+08  5.843E+06  3.103E+07  2.495E+08
  18   8.272E+05   5.778E+09  1.049E+17  4.353E+11  1.285E+14  1.648E+17  2.879E+10  6.228E+08  4.386E+06  2.411E+07  2.058E+08
  19   7.866E+05   4.056E+09  1.017E+17  3.251E+11  1.064E+14  1.575E+17  2.276E+10  4.919E+08  3.246E+06  1.854E+07  1.689E+08
  20   7.480E+05   2.858E+09  9.857E+16  2.435E+11  8.825E+13  1.505E+17  1.802E+10  3.892E+08  2.409E+06  1.429E+07  1.387E+08
  21   7.112E+05   1.995E+09  9.550E+16  1.811E+11  7.292E+13  1.440E+17  1.419E+10  3.066E+08  1.777E+06  1.096E+07  1.137E+08
  22   6.763E+05   1.380E+09  9.249E+16  1.338E+11  6.005E+13  1.378E+17  1.113E+10  2.406E+08  1.304E+06  8.369E+06  9.301E+07
  23   6.433E+05   9.457E+08  8.954E+16  9.809E+10  4.926E+13  1.321E+17  8.674E+09  1.880E+08  9.502E+05  6.362E+06  7.592E+07
  24   6.117E+05   6.508E+08  8.663E+16  7.217E+10  4.048E+13  1.265E+17  6.774E+09  1.471E+08  6.944E+05  4.847E+06  6.204E+07
  25   5.818E+05   4.436E+08  8.380E+16  5.270E+10  3.313E+13  1.213E+17  5.265E+09  1.146E+08  5.046E+05  3.676E+06  5.061E+07
