Index PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
   1  9.998E+05   1.384E+12  1.189E+17  2.817E+13  1.168E+15  1.113E+17  6.353E+11  1.069E+10  2.126E+08  4.559E+08  1.017E+09
   2  9.669E+05   1.163E+12  1.168E+17  2.429E+13  1.055E+15  1.073E+17  5.615E+11  9.381E+09  1.807E+08  3.936E+08  9.019E+08
   3  9.352E+05   9.734E+11  1.146E+17  2.090E+13  9.513E+14  1.034E+17  4.957E+11  8.220E+09  1.533E+08  3.394E+08  7.995E+08
   4  9.042E+05   8.126E+11  1.124E+17  1.794E+13  8.569E+14  9.971E+16  4.366E+11  7.189E+09  1.298E+08  2.920E+08  7.078E+08
   5  8.747E+05   6.820E+11  1.103E+17  1.546E+13  7.736E+14  9.613E+16  3.858E+11  6.307E+09  1.103E+08  2.521E+08  6.279E+08
   6  8.459E+05   5.661E+11  1.082E+17  1.321E+13  6.954E+14  9.277E+16  3.389E+11  5.503E+09  9.301E+07  2.164E+08  5.555E+08
   7  8.182E+05   4.724E+11  1.061E+17  1.134E+13  6.262E+14  8.947E+16  2.985E+11  4.814E+09  7.874E+07  1.863E+08  4.920E+08
   8  7.912E+05   3.930E+11  1.040E+17  9.703E+12  5.632E+14  8.627E+16  2.623E+11  4.203E+09  6.650E+07  1.600E+08  4.352E+08
   9  7.652E+05   3.261E+11  1.020E+17  8.288E+12  5.060E+14  8.324E+16  2.302E+11  3.666E+09  5.607E+07  1.373E+08  3.849E+08
  10  7.399E+05   2.697E+11  9.998E+16  7.063E+12  4.541E+14  8.030E+16  2.017E+11  3.193E+09  4.717E+07  1.176E+08  3.400E+08
  11  7.156E+05   2.224E+11  9.800E+16  6.007E+12  4.071E+14  7.753E+16  1.764E+11  2.778E+09  3.962E+07  1.006E+08  3.003E+08
  12  6.922E+05   1.844E+11  9.605E+16  5.130E+12  3.658E+14  7.481E+16  1.548E+11  2.423E+09  3.341E+07  8.634E+07  2.656E+08
  13  6.692E+05   1.511E+11  9.410E+16  4.342E+12  3.270E+14  7.222E+16  1.349E+11  2.100E+09  2.793E+07  7.360E+07  2.341E+08
  14  6.474E+05   1.246E+11  9.220E+16  3.691E+12  2.931E+14  6.975E+16  1.180E+11  1.828E+09  2.347E+07  6.300E+07  2.068E+08
  15  6.260E+05   1.015E+11  9.031E+16  3.109E+12  2.614E+14  6.740E+16  1.025E+11  1.580E+09  1.955E+07  5.356E+07  1.821E+08
  16  6.054E+05   8.311E+10  8.845E+16  2.630E+12  2.337E+14  6.511E+16  8.926E+10  1.370E+09  1.635E+07  4.567E+07  1.606E+08
  17  5.751E+05   6.064E+10  8.566E+16  2.021E+12  1.961E+14  6.180E+16  7.189E+10  1.096E+09  1.235E+07  3.561E+07  1.321E+08
  18  5.469E+05   4.434E+10  8.299E+16  1.557E+12  1.649E+14  5.875E+16  5.803E+10  8.799E+08  9.363E+06  2.786E+07  1.090E+08
  19  5.203E+05   3.218E+10  8.039E+16  1.192E+12  1.383E+14  5.592E+16  4.664E+10  7.040E+08  7.066E+06  2.173E+07  8.996E+07
  20  4.945E+05   2.292E+10  7.783E+16  9.000E+11  1.151E+14  5.329E+16  3.709E+10  5.578E+08  5.262E+06  1.678E+07  7.378E+07
  21  4.705E+05   1.636E+10  7.537E+16  6.807E+11  9.590E+13  5.083E+16  2.955E+10  4.430E+08  3.930E+06  1.298E+07  6.066E+07
  22  4.473E+05   1.144E+10  7.294E+16  5.071E+11  7.927E+13  4.856E+16  2.328E+10  3.484E+08  2.895E+06  9.947E+06  4.960E+07
  23  4.255E+05   8.114E+09  7.059E+16  3.816E+11  6.591E+13  4.636E+16  1.848E+10  2.759E+08  2.154E+06  7.676E+06  4.074E+07
  24  4.048E+05   5.703E+09  6.831E+16  2.853E+11  5.460E+13  4.429E+16  1.459E+10  2.177E+08  1.593E+06  5.900E+06  3.339E+07
  25  3.847E+05   4.018E+09  6.602E+16  2.136E+11  4.521E+13  4.221E+16  1.153E+10  1.716E+08  1.179E+06  4.530E+06  2.731E+07
  26  3.660E+05   2.842E+09  6.385E+16  1.604E+11  3.753E+13  4.028E+16  9.133E+09  1.359E+08  8.758E+05  3.491E+06  2.241E+07
  27  3.480E+05   2.044E+09  6.169E+16  1.219E+11  3.131E+13  3.830E+16  7.293E+09  1.082E+08  6.571E+05  2.708E+06  1.842E+07
  28  3.311E+05   1.516E+09  5.960E+16  9.483E+10  2.644E+13  3.631E+16  5.921E+09  8.751E+07  5.035E+05  2.133E+06  1.525E+07
  29  3.147E+05   1.118E+09  5.754E+16  7.340E+10  2.225E+13  3.438E+16  4.788E+09  7.049E+07  3.838E+05  1.673E+06  1.259E+07
  30  2.994E+05   8.529E+08  5.554E+16  5.830E+10  1.897E+13  3.244E+16  3.943E+09  5.770E+07  2.994E+05  1.334E+06  1.048E+07
  31  2.845E+05   6.471E+08  5.358E+16  4.607E+10  1.612E+13  3.056E+16  3.236E+09  4.706E+07  2.323E+05  1.059E+06  8.679E+06
  32  2.707E+05   5.026E+08  5.171E+16  3.708E+10  1.384E+13  2.877E+16  2.690E+09  3.885E+07  1.834E+05  8.514E+05  7.249E+06
  33  2.575E+05   3.943E+08  4.987E+16  3.005E+10  1.191E+13  2.702E+16  2.247E+09  3.220E+07  1.456E+05  6.871E+05  6.059E+06
  34  2.449E+05   3.127E+08  4.809E+16  2.455E+10  1.029E+13  2.533E+16  1.887E+09  2.681E+07  1.164E+05  5.572E+05  5.073E+06
  35  2.329E+05   2.470E+08  4.634E+16  2.000E+10  8.873E+12  2.375E+16  1.581E+09  2.227E+07  9.272E+04  4.506E+05  4.239E+06
  36  2.216E+05   2.004E+08  4.466E+16  1.662E+10  7.733E+12  2.221E+16  1.344E+09  1.874E+07  7.523E+04  3.695E+05  3.567E+06
  37  2.107E+05   1.620E+08  4.302E+16  1.377E+10  6.728E+12  2.075E+16  1.140E+09  1.573E+07  6.086E+04  3.021E+05  2.995E+06
  38  2.005E+05   1.327E+08  4.143E+16  1.152E+10  5.879E+12  1.936E+16  9.728E+08  1.328E+07  4.964E+04  2.484E+05  2.521E+06
  39  1.906E+05   1.084E+08  3.988E+16  9.621E+09  5.130E+12  1.805E+16  8.288E+08  1.120E+07  4.040E+04  2.039E+05  2.118E+06
  40  1.813E+05   9.112E+07  3.839E+16  8.207E+09  4.525E+12  1.677E+16  7.171E+08  9.562E+06  3.350E+04  1.697E+05  1.792E+06
  41  1.724E+05   7.646E+07  3.693E+16  6.988E+09  3.987E+12  1.558E+16  6.195E+08  8.157E+06  2.774E+04  1.409E+05  1.513E+06
  42  1.640E+05   6.507E+07  3.552E+16  6.016E+09  3.532E+12  1.445E+16  5.392E+08  7.001E+06  2.317E+04  1.179E+05  1.282E+06
  43  1.560E+05   5.617E+07  3.414E+16  5.233E+09  3.145E+12  1.337E+16  4.727E+08  6.047E+06  1.953E+04  9.918E+04  1.088E+06
  44  1.484E+05   4.922E+07  3.281E+16  4.602E+09  2.815E+12  1.235E+16  4.175E+08  5.257E+06  1.662E+04  8.402E+04  9.265E+05
  45  1.411E+05   4.308E+07  3.151E+16  4.044E+09  2.517E+12  1.139E+16  3.684E+08  4.564E+06  1.412E+04  7.106E+04  7.875E+05
  46  1.343E+05   3.893E+07  3.027E+16  3.640E+09  2.280E+12  1.048E+16  3.307E+08  4.022E+06  1.225E+04  6.109E+04  6.750E+05
  47  1.277E+05   3.515E+07  2.905E+16  3.273E+09  2.062E+12  9.629E+15  2.964E+08  3.540E+06  1.061E+04  5.238E+04  5.768E+05
  48  1.215E+05   3.225E+07  2.786E+16  2.978E+09  1.876E+12  8.831E+15  2.679E+08  3.137E+06  9.289E+03  4.527E+04  4.949E+05
  49  1.089E+05   2.742E+07  2.540E+16  2.470E+09  1.539E+12  7.268E+15  2.175E+08  2.433E+06  7.049E+03  3.322E+04  3.546E+05
  50  9.853E+04   2.499E+07  2.330E+16  2.169E+09  1.310E+12  6.034E+15  1.849E+08  1.976E+06  5.668E+03  2.565E+04  2.640E+05
  51  8.914E+04   2.275E+07  2.134E+16  1.902E+09  1.113E+12  5.002E+15  1.569E+08  1.601E+06  4.550E+03  1.976E+04  1.960E+05
  52  8.067E+04   2.106E+07  1.953E+16  1.689E+09  9.530E+11  4.141E+15  1.342E+08  1.307E+06  3.689E+03  1.534E+04  1.461E+05
  53  7.298E+04   1.915E+07  1.786E+16  1.480E+09  8.093E+11  3.430E+15  1.136E+08  1.057E+06  2.955E+03  1.180E+04  1.083E+05
  54  6.605E+04   1.771E+07  1.632E+16  1.313E+09  6.920E+11  2.838E+15  9.704E+07  8.609E+05  2.392E+03  9.146E+03  8.066E+04
  55  5.977E+04   1.608E+07  1.490E+16  1.149E+09  5.873E+11  2.350E+15  8.208E+07  6.955E+05  1.914E+03  7.023E+03  5.970E+04
  56  5.406E+04   1.485E+07  1.359E+16  1.018E+09  5.013E+11  1.940E+15  6.992E+07  5.651E+05  1.545E+03  5.429E+03  4.432E+04
  57  4.893E+04   1.395E+07  1.238E+16  9.139E+08  4.307E+11  1.599E+15  6.009E+07  4.626E+05  1.261E+03  4.230E+03  3.301E+04
  58  4.428E+04   1.331E+07  1.127E+16  8.299E+08  3.721E+11  1.314E+15  5.204E+07  3.812E+05  1.039E+03  3.317E+03  2.463E+04
  59  4.006E+04   1.250E+07  1.026E+16  7.440E+08  3.193E+11  1.082E+15  4.465E+07  3.116E+05  8.464E+02  2.579E+03  1.831E+04
  60  3.625E+04   1.192E+07  9.328E+15  6.750E+08  2.756E+11  8.882E+14  3.862E+07  2.564E+05  6.964E+02  2.019E+03  1.364E+04
  61  3.280E+04   1.156E+07  8.476E+15  6.205E+08  2.394E+11  7.282E+14  3.369E+07  2.125E+05  5.791E+02  1.594E+03  1.020E+04
  62  2.970E+04   1.103E+07  7.704E+15  5.629E+08  2.067E+11  5.980E+14  2.913E+07  1.748E+05  4.765E+02  1.248E+03  7.602E+03
  63  2.687E+04   1.051E+07  6.996E+15  5.104E+08  1.783E+11  4.906E+14  2.516E+07  1.436E+05  3.915E+02  9.756E+02  5.655E+03
  64  2.432E+04   1.020E+07  6.351E+15  4.689E+08  1.548E+11  4.020E+14  2.192E+07  1.189E+05  3.252E+02  7.692E+02  4.227E+03
  65  2.200E+04   9.721E+06  5.764E+15  4.252E+08  1.336E+11  3.298E+14  1.893E+07  9.768E+04  2.671E+02  6.013E+02  3.145E+03
  66  1.991E+04   9.113E+06  5.232E+15  3.809E+08  1.145E+11  2.713E+14  1.620E+07  7.962E+04  2.170E+02  4.666E+02  2.333E+03
  67  1.801E+04   8.545E+06  4.749E+15  3.412E+08  9.819E+10  2.231E+14  1.386E+07  6.491E+04  1.763E+02  3.620E+02  1.731E+03
  68  1.630E+04   8.020E+06  4.309E+15  3.059E+08  8.431E+10  1.838E+14  1.186E+07  5.291E+04  1.432E+02  2.812E+02  1.288E+03
  69  1.475E+04   7.518E+06  3.910E+15  2.740E+08  7.230E+10  1.512E+14  1.014E+07  4.312E+04  1.164E+02  2.182E+02  9.557E+02
  70  1.335E+04   7.054E+06  3.547E+15  2.456E+08  6.205E+10  1.245E+14  8.674E+06  3.514E+04  9.450E+01  1.695E+02  7.104E+02
  71  1.207E+04   6.495E+06  3.218E+15  2.170E+08  5.282E+10  1.025E+14  7.353E+06  2.841E+04  7.589E+01  1.302E+02  5.243E+02
  72  1.093E+04   5.993E+06  2.920E+15  1.921E+08  4.507E+10  8.466E+13  6.233E+06  2.297E+04  6.099E+01  1.004E+02  3.888E+02
  73  9.888E+03   5.438E+06  2.650E+15  1.680E+08  3.823E+10  7.009E+13  5.238E+06  1.845E+04  4.850E+01  7.687E+01  2.877E+02
  74  8.946E+03   4.855E+06  2.406E+15  1.452E+08  3.226E+10  5.823E+13  4.363E+06  1.471E+04  3.814E+01  5.844E+01  2.126E+02
  75  8.094E+03   4.269E+06  2.185E+15  1.242E+08  2.711E+10  4.860E+13  3.601E+06  1.163E+04  2.968E+01  4.421E+01  1.573E+02
  76  7.325E+03   3.687E+06  1.986E+15  1.048E+08  2.264E+10  4.067E+13  2.947E+06  9.138E+03  2.285E+01  3.318E+01  1.160E+02
  77  6.626E+03   3.135E+06  1.805E+15  8.744E+07  1.882E+10  3.419E+13  2.388E+06  7.121E+03  1.739E+01  2.476E+01  8.566E+01
  78  5.994E+03   2.620E+06  1.642E+15  7.204E+07  1.556E+10  2.885E+13  1.917E+06  5.506E+03  1.308E+01  1.834E+01  6.317E+01
  79  5.423E+03   2.152E+06  1.494E+15  5.865E+07  1.280E+10  2.446E+13  1.525E+06  4.225E+03  9.735E+00  1.352E+01  4.664E+01
  80  4.906E+03   1.772E+06  1.359E+15  4.787E+07  1.057E+10  2.082E+13  1.211E+06  3.240E+03  7.239E+00  9.994E+00  3.467E+01
  81  4.439E+03   1.462E+06  1.236E+15  3.916E+07  8.750E+09  1.780E+13  9.617E+05  2.484E+03  5.377E+00  7.415E+00  2.595E+01
