Index   PRESSURE   CN         HCN        H2CN       CH2NH      CH3NH      CH2NH2     CH3NH2     CH2CN      CH3CN      C3N     
   1   1.672E+06   4.008E+11  7.024E+15  3.512E+12  1.973E+13  1.378E+10  1.912E+11  1.914E+12  1.597E+11  7.013E+11  1.767E+00
   2   1.617E+06   3.415E+11  6.603E+15  3.120E+12  1.829E+13  1.205E+10  1.698E+11  1.788E+12  1.416E+11  6.560E+11  1.487E+00
   3   1.564E+06   2.876E+11  6.177E+15  2.752E+12  1.689E+13  1.046E+10  1.498E+11  1.668E+12  1.244E+11  6.109E+11  1.232E+00
   4   1.512E+06   2.435E+11  5.791E+15  2.435E+12  1.562E+13  9.118E+09  1.325E+11  1.556E+12  1.096E+11  5.699E+11  1.027E+00
   5   1.462E+06   2.054E+11  5.419E+15  2.149E+12  1.443E+13  7.924E+09  1.170E+11  1.451E+12  9.640E+10  5.305E+11  8.518E-01
   6   1.414E+06   1.727E+11  5.065E+15  1.893E+12  1.332E+13  6.879E+09  1.032E+11  1.353E+12  8.451E+10  4.934E+11  7.024E-01
   7   1.368E+06   1.460E+11  4.743E+15  1.673E+12  1.231E+13  5.990E+09  9.127E+10  1.262E+12  7.440E+10  4.596E+11  5.833E-01
   8   1.323E+06   1.218E+11  4.419E+15  1.467E+12  1.133E+13  5.179E+09  8.023E+10  1.176E+12  6.484E+10  4.259E+11  4.757E-01
   9   1.280E+06   1.023E+11  4.126E+15  1.291E+12  1.045E+13  4.494E+09  7.071E+10  1.096E+12  5.677E+10  3.955E+11  3.909E-01
  10   1.237E+06   8.561E+10  3.847E+15  1.133E+12  9.625E+12  3.891E+09  6.222E+10  1.021E+12  4.957E+10  3.668E+11  3.197E-01
  11   1.176E+06   6.444E+10  3.440E+15  9.227E+11  8.460E+12  3.103E+09  5.090E+10  9.154E+11  3.990E+10  3.252E+11  2.308E-01
  12   1.118E+06   4.855E+10  3.077E+15  7.518E+11  7.442E+12  2.480E+09  4.171E+10  8.217E+11  3.213E+10  2.882E+11  1.665E-01
  13   1.064E+06   3.665E+10  2.752E+15  6.133E+11  6.550E+12  1.984E+09  3.421E+10  7.377E+11  2.591E+10  2.556E+11  1.203E-01
  14   1.011E+06   2.714E+10  2.444E+15  4.943E+11  5.728E+12  1.571E+09  2.781E+10  6.607E+11  2.057E+10  2.248E+11  8.445E-02
  15   9.616E+05   2.013E+10  2.170E+15  3.987E+11  5.011E+12  1.245E+09  2.262E+10  5.918E+11  1.634E+10  1.977E+11  5.932E-02
  16   9.148E+05   1.496E+10  1.928E+15  3.221E+11  4.386E+12  9.889E+08  1.842E+10  5.302E+11  1.300E+10  1.739E+11  4.172E-02
  17   8.697E+05   1.089E+10  1.698E+15  2.569E+11  3.815E+12  7.763E+08  1.486E+10  4.740E+11  1.018E+10  1.516E+11  2.849E-02
  18   8.272E+05   8.046E+09  1.504E+15  2.066E+11  3.331E+12  6.140E+08  1.206E+10  4.239E+11  8.047E+09  1.328E+11  1.981E-02
  19   7.866E+05   5.816E+09  1.320E+15  1.640E+11  2.889E+12  4.803E+08  9.694E+09  3.785E+11  6.258E+09  1.153E+11  1.334E-02
  20   7.480E+05   4.217E+09  1.160E+15  1.304E+11  2.507E+12  3.762E+08  7.801E+09  3.378E+11  4.874E+09  1.002E+11  9.010E-03
  21   7.112E+05   3.027E+09  1.015E+15  1.030E+11  2.168E+12  2.932E+08  6.249E+09  3.013E+11  3.766E+09  8.663E+10  5.990E-03
  22   6.763E+05   2.152E+09  8.846E+14  8.092E+10  1.870E+12  2.275E+08  4.984E+09  2.684E+11  2.885E+09  7.457E+10  3.919E-03
  23   6.433E+05   1.513E+09  7.672E+14  6.312E+10  1.607E+12  1.754E+08  3.957E+09  2.389E+11  2.191E+09  6.383E+10  2.518E-03
  24   6.117E+05   1.068E+09  6.662E+14  4.934E+10  1.383E+12  1.356E+08  3.145E+09  2.126E+11  1.668E+09  5.470E+10  1.626E-03
  25   5.818E+05   7.453E+08  5.755E+14  3.831E+10  1.185E+12  1.042E+08  2.488E+09  1.889E+11  1.257E+09  4.661E+10  1.030E-03
  26   5.533E+05   5.146E+08  4.950E+14  2.955E+10  1.012E+12  7.961E+07  1.958E+09  1.677E+11  9.395E+08  3.951E+10  6.419E-04
  27   5.259E+05   3.513E+08  4.237E+14  2.262E+10  8.607E+11  6.042E+07  1.532E+09  1.485E+11  6.955E+08  3.331E+10  3.930E-04
  28   5.001E+05   2.409E+08  3.632E+14  1.736E+10  7.329E+11  4.600E+07  1.202E+09  1.317E+11  5.164E+08  2.812E+10  2.416E-04
  29   4.756E+05   1.631E+08  3.095E+14  1.322E+10  6.213E+11  3.478E+07  9.368E+08  1.164E+11  3.792E+08  2.358E+10  1.455E-04
  30   4.523E+05   1.112E+08  2.644E+14  1.010E+10  5.279E+11  2.640E+07  7.325E+08  1.031E+11  2.799E+08  1.982E+10  8.836E-05
  31   4.302E+05   7.623E+07  2.264E+14  7.754E+09  4.492E+11  2.010E+07  5.743E+08  9.129E+10  2.075E+08  1.670E+10  5.408E-05
  32   4.092E+05   5.271E+07  1.946E+14  5.981E+09  3.834E+11  1.537E+07  4.522E+08  8.095E+10  1.548E+08  1.412E+10  3.345E-05
  33   3.891E+05   3.604E+07  1.663E+14  4.579E+09  3.256E+11  1.168E+07  3.537E+08  7.156E+10  1.144E+08  1.186E+10  2.033E-05
  34   3.701E+05   2.542E+07  1.441E+14  3.575E+09  2.796E+11  9.024E+06  2.809E+08  6.357E+10  8.668E+07  1.011E+10  1.292E-05
  35   3.520E+05   1.852E+07  1.267E+14  2.849E+09  2.428E+11  7.099E+06  2.265E+08  5.675E+10  6.745E+07  8.748E+09  8.601E-06
  36   3.346E+05   1.370E+07  1.121E+14  2.293E+09  2.119E+11  5.627E+06  1.839E+08  5.072E+10  5.312E+07  7.626E+09  5.856E-06
  37   3.184E+05   1.051E+07  1.008E+14  1.888E+09  1.873E+11  4.553E+06  1.521E+08  4.564E+10  4.309E+07  6.761E+09  4.198E-06
  38   3.028E+05   8.203E+06  9.143E+13  1.573E+09  1.667E+11  3.719E+06  1.268E+08  4.116E+10  3.549E+07  6.050E+09  3.091E-06
  39   2.879E+05   6.373E+06  8.271E+13  1.306E+09  1.480E+11  3.028E+06  1.054E+08  3.708E+10  2.910E+07  5.398E+09  2.259E-06
  40   2.738E+05   5.037E+06  7.538E+13  1.096E+09  1.322E+11  2.489E+06  8.833E+07  3.348E+10  2.420E+07  4.855E+09  1.692E-06
  41   2.603E+05   3.959E+06  6.850E+13  9.165E+08  1.178E+11  2.039E+06  7.380E+07  3.018E+10  2.002E+07  4.353E+09  1.257E-06
  42   2.478E+05   3.091E+06  6.203E+13  7.633E+08  1.047E+11  1.666E+06  6.150E+07  2.720E+10  1.648E+07  3.889E+09  9.245E-07
  43   2.356E+05   2.402E+06  5.602E+13  6.331E+08  9.278E+10  1.355E+06  5.106E+07  2.444E+10  1.350E+07  3.464E+09  6.754E-07
  44   2.240E+05   1.809E+06  4.987E+13  5.146E+08  8.130E+10  1.084E+06  4.175E+07  2.185E+10  1.078E+07  3.038E+09  4.708E-07
  45   2.131E+05   1.385E+06  4.466E+13  4.225E+08  7.156E+10  8.739E+05  3.438E+07  1.955E+10  8.723E+06  2.682E+09  3.367E-07
  46   2.026E+05   1.055E+06  3.990E+13  3.456E+08  6.284E+10  7.022E+05  2.822E+07  1.746E+10  7.028E+06  2.362E+09  2.390E-07
  47   1.928E+05   8.391E+05  3.628E+13  2.903E+08  5.592E+10  5.771E+05  2.362E+07  1.566E+10  5.863E+06  2.120E+09  1.810E-07
