Index	PRESSURE   HC3N       C2H2CN     C2H3CN     NO         NO2        N2O        HNO        HNO2       NCO        HNCO    
   1  1.672E+06   7.431E+07  1.235E+05  3.634E+07  3.628E+11  5.314E+03  5.340E+06  4.547E+09  6.760E+04  1.245E+09  1.544E+12
   2  1.617E+06   6.454E+07  1.031E+05  3.292E+07  3.179E+11  4.326E+03  4.623E+06  3.888E+09  5.642E+04  1.082E+09  1.451E+12
   3  1.564E+06   5.539E+07  8.491E+04  2.960E+07  2.763E+11  3.477E+03  3.966E+06  3.296E+09  4.658E+04  9.311E+08  1.358E+12
   4  1.512E+06   4.778E+07  7.033E+04  2.668E+07  2.410E+11  2.811E+03  3.417E+06  2.806E+09  3.867E+04  8.046E+08  1.273E+12
   5  1.462E+06   4.105E+07  5.799E+04  2.399E+07  2.098E+11  2.265E+03  2.936E+06  2.382E+09  3.199E+04  6.931E+08  1.192E+12
   6  1.414E+06   3.511E+07  4.761E+04  2.151E+07  1.822E+11  1.819E+03  2.517E+06  2.018E+09  2.641E+04  5.953E+08  1.114E+12
   7  1.368E+06   3.021E+07  3.934E+04  1.935E+07  1.589E+11  1.470E+03  2.168E+06  1.718E+09  2.191E+04  5.138E+08  1.043E+12
   8  1.323E+06   2.563E+07  3.199E+04  1.724E+07  1.373E+11  1.172E+03  1.849E+06  1.449E+09  1.798E+04  4.385E+08  9.725E+11
   9  1.280E+06   2.188E+07  2.620E+04  1.543E+07  1.192E+11  9.409E+02  1.585E+06  1.227E+09  1.484E+04  3.763E+08  9.085E+11
  10  1.237E+06   1.861E+07  2.137E+04  1.377E+07  1.032E+11  7.524E+02  1.354E+06  1.037E+09  1.221E+04  3.219E+08  8.474E+11
  11  1.176E+06   1.433E+07  1.541E+04  1.147E+07  8.220E+10  5.286E+02  1.057E+06  7.955E+08  8.980E+03  2.510E+08  7.585E+11
  12  1.118E+06   1.103E+07  1.112E+04  9.548E+06  6.558E+10  3.723E+02  8.268E+05  6.115E+08  6.622E+03  1.959E+08  6.789E+11
  13  1.064E+06   8.501E+06  8.038E+03  7.952E+06  5.240E+10  2.629E+02  6.476E+05  4.711E+08  4.893E+03  1.531E+08  6.079E+11
  14  1.011E+06   6.410E+06  5.667E+03  6.526E+06  4.133E+10  1.820E+02  5.004E+05  3.579E+08  3.558E+03  1.177E+08  5.404E+11
  15  9.616E+05   4.837E+06  4.002E+03  5.356E+06  3.263E+10  1.262E+02  3.871E+05  2.724E+08  2.591E+03  9.054E+07  4.803E+11
  16  9.148E+05   3.656E+06  2.831E+03  4.398E+06  2.583E+10  8.789E+01  3.004E+05  2.079E+08  1.894E+03  6.982E+07  4.273E+11
  17  8.697E+05   2.701E+06  1.952E+03  3.557E+06  2.015E+10  5.984E+01  2.295E+05  1.562E+08  1.359E+03  5.287E+07  3.769E+11
  18  8.272E+05   2.025E+06  1.369E+03  2.903E+06  1.589E+10  4.143E+01  1.773E+05  1.188E+08  9.889E+02  4.055E+07  3.342E+11
  19  7.866E+05   1.481E+06  9.333E+02  2.330E+06  1.234E+10  2.804E+01  1.349E+05  8.892E+07  7.066E+02  3.051E+07  2.938E+11
