#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    
0         	558       	6         	ok              	ok              	1.0000000000e+03	2.2865000000e+03	3.0361048536e+21	3.1677074881e+21	1.3430291168e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	558       	5         	ok              	ok              	4.1750000000e+02	1.8297000000e+03	1.5842250919e+21	1.6526955917e+21	1.3431909379e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	559       	5         	ok              	ok              	1.7430000000e+02	1.5792000000e+03	7.6554343701e+20	7.9942279686e+20	1.3418594925e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	560       	6         	ok              	ok              	7.2790000000e+01	1.5297000000e+03	3.2971643831e+20	3.4465273535e+20	1.3405178577e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	561       	8         	ok              	ok              	3.0390000000e+01	1.5275000000e+03	1.3771771875e+20	1.4410058971e+20	1.3391764254e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	561       	6         	ok              	ok              	1.2690000000e+01	1.5710000000e+03	5.5914498385e+19	5.8506176096e+19	1.3391722846e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	561       	4         	ok              	ok              	5.2980000000e+00	1.5723000000e+03	2.3324603480e+19	2.4405786989e+19	1.3391683810e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	561       	3         	ok              	ok              	2.2120000000e+00	1.5327000000e+03	9.9900054080e+18	1.0453079230e+19	1.3391684685e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	561       	3         	ok              	ok              	9.2370000000e-01	1.4621000000e+03	4.3731341539e+18	4.5758327622e+18	1.3391720937e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	561       	2         	ok              	ok              	3.8570000000e-01	1.3742000000e+03	1.9428524865e+18	2.0328997928e+18	1.3391757902e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	561       	2         	ok              	ok              	1.6100000000e-01	1.2709000000e+03	8.7691070726e+17	9.1755218398e+17	1.3391780840e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	561       	2         	ok              	ok              	6.7230000000e-02	1.1742000000e+03	3.9633475763e+17	4.1470312896e+17	1.3391788512e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	561       	2         	ok              	ok              	2.8070000000e-02	1.1146000000e+03	1.7432695714e+17	1.8240622306e+17	1.3391790067e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	561       	2         	ok              	ok              	1.1720000000e-02	1.0729000000e+03	7.5615278959e+16	7.9119702088e+16	1.3391790578e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	561       	2         	ok              	ok              	4.8940000000e-03	1.0462000000e+03	3.2381014140e+16	3.3881726020e+16	1.3391790722e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	561       	2         	ok              	ok              	2.0430000000e-03	1.0362000000e+03	1.3647904385e+16	1.4280422466e+16	1.3391790587e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	561       	2         	ok              	ok              	8.5320000000e-04	1.0258000000e+03	5.7574389262e+15	6.0242700117e+15	1.3391790437e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	561       	2         	ok              	ok              	3.5620000000e-04	1.0138000000e+03	2.4321077510e+15	2.5448248981e+15	1.3391790309e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	561       	2         	ok              	ok              	1.4870000000e-04	9.8900000000e+02	1.0407726412e+15	1.0890077084e+15	1.3391790523e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	561       	2         	ok              	ok              	6.2100000000e-05	9.5620000000e+02	4.4955627286e+14	4.7039114511e+14	1.3391790851e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	561       	2         	ok              	ok              	2.5930000000e-05	9.1710000000e+02	1.9571631645e+14	2.0478686625e+14	1.3391791126e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	561       	2         	ok              	ok              	1.0830000000e-05	8.8480000000e+02	8.4727532043e+13	8.8654262147e+13	1.3391791240e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	561       	2         	ok              	ok              	4.5200000000e-06	8.6600000000e+02	3.6129483860e+13	3.7803918632e+13	1.3391791266e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	561       	2         	ok              	ok              	1.8870000000e-06	8.6050000000e+02	1.5179666814e+13	1.5883174323e+13	1.3391791237e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	561       	2         	ok              	ok              	7.8800000000e-07	8.6580000000e+02	6.3001348577e+12	6.5921170931e+12	1.3391791121e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	561       	2         	ok              	ok              	3.2900000000e-07	8.8320000000e+02	2.5785646970e+12	2.6980693880e+12	1.3391790660e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	561       	2         	ok              	ok              	1.3740000000e-07	9.3310000000e+02	1.0192942677e+12	1.0665342833e+12	1.3391785837e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	561       	2         	ok              	ok              	5.7360000000e-08	1.0990000000e+03	3.6126980886e+11	3.7803127163e+11	1.3391143869e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	344       	1         	ok              	ok              	2.3950000000e-08	2.2220000000e+03	5.0471231057e+10	7.8068842466e+10	9.0589923223e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	599       	2         	ok              	ok              	1.0000000000e-08	6.0000000000e+03	6.0439199417e+09	1.2071605286e+10	7.0156418527e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
