# "Wavelength (nm)","σ (cm^2)"
20,4.4e-18
20.2,3.5700219662e-18
20.4,3.6703985237e-18
20.6,3.7251762537e-18
20.8,4.0766705752e-18
21,4.8e-18
21.2,4.007257375e-18
21.4,4.0931846136e-18
21.6,4.2234717209e-18
21.8,4.3955817775e-18
22,5.3e-18
22.2,4.5338312153e-18
22.4,4.6736580251e-18
22.6,4.841476544e-18
22.8,5.2991097323e-18
23,5.8e-18
23.2,5.1083481459e-18
23.4,5.2365039357e-18
23.6,5.3706832693e-18
23.8,5.5089649625e-18
24,6.5e-18
24.2,6.1341005594e-18
24.4,5.8727233681e-18
24.6,5.9391130498e-18
24.8,6.0062532505e-18
25,7.1e-18
25.2,6.7460861701e-18
25.4,6.508498424e-18
25.6,6.6150225967e-18
25.8,6.7232902435e-18
26,7.8e-18
26.2,7.4924905535e-18
26.4,7.197104448e-18
26.6,7.5155629524e-18
26.8,7.9926394323e-18
27,8.5e-18
27.2,7.6078273111e-18
27.4,7.7961321198e-18
27.6,7.9890977468e-18
27.8,8.6042787351e-18
28,9.3e-18
28.2,8.5601823191e-18
28.4,8.5127160462e-18
28.6,8.6435543579e-18
28.8,8.7764036216e-18
29,1.02e-17
29.2,9.9348128183e-18
29.4,9.67652017e-18
29.6,9.4723514624e-18
29.8,1.0253931014e-17
30,1.11e-17
30.2,1.0479315094e-17
30.4,1.0357503629e-17
30.6,1.0878369632e-17
30.8,1.1425429339e-17
31,1.2e-17
31.2,1.0781149111e-17
31.4,1.0933906285e-17
31.6,1.1088827862e-17
31.8,1.1245944509e-17
32,1.3e-17
32.2,1.2728477893e-17
32.4,1.2462626883e-17
32.6,1.2202328521e-17
32.8,1.2640467313e-17
33,1.41e-17
33.2,1.3698441161e-17
33.4,1.3308318456e-17
33.6,1.2929306193e-17
33.8,1.4018552376e-17
34,1.52e-17
34.2,1.4640574542e-17
34.4,1.4101738349e-17
34.6,1.4085526493e-17
34.8,1.5198770822e-17
35,1.64e-17
35.2,1.5695416689e-17
35.4,1.5021103965e-17
35.6,1.5058818609e-17
35.8,1.6326086162e-17
36,1.77e-17
36.2,1.6947696549e-17
36.4,1.6227368266e-17
36.6,1.5797259276e-17
36.8,1.714144167e-17
37,1.86e-17
37.2,1.8179285988e-17
37.4,1.7768088119e-17
37.6,1.7366191149e-17
37.8,1.8335658534e-17
38,2.05e-17
38.2,1.9952566392e-17
38.4,1.9419751494e-17
38.6,1.8901164927e-17
38.8,1.8396426736e-17
39,2.2e-17
39.2,2.2273133295e-17
39.4,2.2549657581e-17
39.6,2.2829614957e-17
39.8,2.3113048047e-17
40,2.34e-17
40.2,2.0264232723e-17
40.4,2.1313783182e-17
40.6,2.2417693269e-17
40.8,2.3578778448e-17
41,2.48e-17
41.2,2.3406690061e-17
41.4,2.2091658855e-17
41.6,2.272734596e-17
41.8,2.4401976644e-17
42,2.62e-17
42.2,2.3520833085e-17
42.4,2.3686922889e-17
42.6,2.3854185519e-17
42.8,2.4022629255e-17
43,2.77e-17
43.2,2.6748265393e-17
43.4,2.5829231103e-17
43.6,2.494177359e-17
43.8,2.6487648508e-17
44,2.92e-17
44.2,2.7874053041e-17
44.4,2.6608316195e-17
44.6,2.7521151756e-17
44.8,2.9019773323e-17
45,3.06e-17
45.2,2.8667723057e-17
45.4,2.8946824558e-17
45.6,2.9961873317e-17
45.8,3.1012515755e-17
46,3.21e-17
46.2,2.5849669538e-17
46.4,2.7024392814e-17
46.6,2.8252500709e-17
46.8,2.9536419257e-17
47,3.36e-17
47.2,3.1838550025e-17
47.4,3.0169442492e-17
47.6,2.8587836429e-17
47.8,3.029145315e-17
48,3.5e-17
48.2,3.4659177988e-17
48.4,3.4321674822e-17
48.6,3.3987458186e-17
48.8,3.3656496075e-17
49,3.62e-17
49.2,3.5972180637e-17
49.4,3.5745795021e-17
49.6,3.5520834129e-17
49.8,3.5288795994e-17
50,3.48315069e-17
50.2,3.5135198e-17
50.4,3.54637376e-17
50.6,3.57362572e-17
50.8,3.61989059e-17
51,3.65021768e-17
51.2,3.68395176e-17
51.4,3.71973824e-17
51.6,3.75264812e-17
51.8,3.78236309e-17
52,3.81801557e-17
52.2,3.85076233e-17
52.4,3.87911245e-17
52.6,3.91698508e-17
52.8,3.94800469e-17
53,3.97615e-17
53.2,4.00396511e-17
53.4,4.03463961e-17
53.6,4.06264133e-17
53.8,4.08977054e-17
54,4.1211101e-17
54.2,4.14690523e-17
54.4,4.17496948e-17
54.6,4.20279418e-17
54.8,4.22942741e-17
55,4.25448768e-17
55.2,4.27990131e-17
55.4,4.3070718799e-17
55.6,4.33439101e-17
55.8,4.36557671e-17
56,4.38200948e-17
56.2,4.40823143e-17
56.4,4.42991879e-17
56.6,4.4518844e-17
56.8,4.47300894e-17
57,4.49887058e-17
57.2,4.51822065e-17
57.4,4.54059456e-17
57.6,4.56348927e-17
57.8,4.58914411e-17
58,4.61583292e-17
58.2,4.64288636e-17
58.4,4.67253086e-17
58.6,4.70060107e-17
58.8,4.73603782e-17
59,4.767518e-17
59.2,4.80357215e-17
59.4,4.83543052e-17
59.6,4.86590848e-17
59.8,4.89816886e-17
60,4.93700499e-17
60.2,4.96558242e-17
60.4,4.99507836e-17
60.6,5.02406277e-17
60.8,5.0510497e-17
61,5.07723328e-17
61.2,5.10027588e-17
61.4,5.12505557e-17
61.6,5.15097345e-17
61.8,5.16917407e-17
62,5.19857736e-17
62.2,5.2189624e-17
62.4,5.24325372e-17
62.6,5.26256508e-17
62.8,5.28947823e-17
63,5.31405343e-17
63.2,5.33606305e-17
63.4,5.3570751e-17
63.6,5.37280046e-17
63.8,5.39677844e-17
64,5.40940519e-17
64.2,5.42313208e-17
64.4,5.43908046e-17
64.6,5.45708189e-17
64.8,5.47248863e-17
65,5.47554291e-17
65.2,5.50201434e-17
65.4,5.51018424e-17
65.6,5.51092705e-17
65.8,5.53844503e-17
66,5.53491429e-17
66.2,5.56652517e-17
66.4,5.58193058e-17
66.6,5.57450845e-17
66.8,5.62575395e-17
67,5.64471094e-17
67.2,5.63960757e-17
67.4,5.69109791e-17
67.6,5.68275265e-17
67.8,5.71179727e-17
68,5.75394974e-17
68.2,5.77150714e-17
68.4,5.81082601e-17
68.6,5.84350163e-17
68.8,5.83522056e-17
69,5.87774889e-17
69.2,5.94131144e-17
69.4,5.96919404e-17
69.6,6.00136938e-17
69.8,6.0141834e-17
70,6.02562364e-17
70.2,6.07213369e-17
70.4,6.10601435e-17
70.6,6.12907681e-17
70.8,6.17579133e-17
71,6.18307846e-17
71.2,6.19598711e-17
71.4,6.23476997e-17
71.6,6.2748975e-17
71.8,6.28993035e-17
72,6.31280288e-17
72.2,6.34331261e-17
72.4,6.32886805e-17
72.6,6.29783952e-17
72.8,6.26984574e-17
73,6.24610963e-17
73.2,6.21631789e-17
73.4,6.18204283e-17
73.6,6.1422442e-17
73.8,6.10340906e-17
74,6.07222964e-17
74.2,6.03111678e-17
74.4,5.98508054e-17
74.6,5.94882753e-17
74.8,5.89607988e-17
75,5.85700982e-17
75.2,5.81302962e-17
75.4,5.78181977e-17
75.6,5.75315366e-17
75.8,5.71303672e-17
76,5.67350146e-17
76.2,5.66458313e-17
76.4,5.63942228e-17
76.6,5.59515223e-17
76.8,5.58773606e-17
77,5.60484745e-17
77.2,5.59630301e-17
77.4,5.54057883e-17
77.6,5.55138379e-17
77.8,5.59809832e-17
78,5.56477287e-17
78.2,5.49945339e-17
78.4,5.56906494e-17
78.6,5.6270642e-17
78.8,5.56567946e-17
79,5.50449092e-17
79.2,5.62193965e-17
79.4,5.70156803e-17
79.6,5.57115142e-17
79.8,5.53325232e-17
80,5.69433913e-17
80.2,5.75105196e-17
80.4,5.60482297e-17
80.6,5.6140093e-17
80.8,5.74749574e-17
81,5.83598157e-17
81.2,5.75236089e-17
81.4,5.70667736e-17
81.6,5.78518077e-17
81.8,5.86069243e-17
82,5.84241174e-17
82.2,5.80614946e-17
82.4,5.8314731e-17
82.6,5.9257214e-17
82.8,5.96137156e-17
83,5.94301345e-17
83.2,5.89412376e-17
83.4,5.90432654e-17
83.6,5.91939181e-17
83.8,5.92807589e-17
84,5.8705114e-17
84.2,5.84059591e-17
84.4,5.88396731e-17
84.6,5.94120754e-17
84.8,5.9459185e-17
85,5.86824558e-17
85.2,5.85959129e-17
85.4,5.92032752e-17
85.6,6.00346314e-17
85.8,5.96754233e-17
86,5.89693419e-17
86.2,5.878228e-17
86.4,5.91207093e-17
86.6,5.87221539e-17
86.8,5.75674958e-17
87,5.66750076e-17
87.2,5.6689877e-17
87.4,5.6766368e-17
87.6,5.57284152e-17
87.8,5.39150765e-17
88,5.25907835e-17
88.2,5.23112891e-17
88.4,5.21899384e-17
88.6,5.14289289e-17
88.8,5.00999441e-17
89,4.9211529e-17
89.2,4.85276425e-17
89.4,4.7443351e-17
89.6,4.62637683e-17
89.8,4.52538933e-17
90,4.464038e-17
90.2,4.47873402e-17
90.4,4.49879779e-17
90.6,4.50004054e-17
90.8,4.4432536e-17
91,4.36624044e-17
91.2,4.29948597e-17
91.4,4.27813578e-17
91.6,4.26788304e-17
91.8,4.24205383e-17
92,4.2559187e-17
92.2,4.26278099e-17
92.4,4.2666244e-17
92.6,4.23204229e-17
92.8,4.19094895e-17
93,4.15240035e-17
93.2,4.13760871e-17
93.4,4.10538638e-17
93.6,4.08630134e-17
93.8,4.10531227e-17
94,4.12566025e-17
94.2,4.12971807e-17
94.4,4.12591039e-17
94.6,4.09347531e-17
94.8,4.020964e-17
95,3.99228069e-17
95.2,4.01455269e-17
95.4,4.0851959e-17
95.6,4.09559058e-17
95.8,4.10358578e-17
96,4.10216501e-17
96.2,4.14554567e-17
96.4,4.25738446e-17
96.6,4.3298971e-17
96.8,4.34647678e-17
97,4.30178487e-17
97.2,4.30160454e-17
97.4,4.39342623e-17
97.6,4.49476776e-17
97.8,4.5970996e-17
98,4.57127006e-17
98.2,4.52254184e-17
98.4,4.51709403e-17
98.6,4.61324947e-17
98.8,4.73814911e-17
99,4.79650571e-17
99.2,4.73989877e-17
99.4,4.66869473e-17
99.6,4.67996986e-17
99.8,4.77350711e-17
100,4.81602089e-17
100.2,4.77678275e-17
100.4,4.71980853e-17
100.6,4.65862662e-17
100.8,4.59686369e-17
101,4.62301914e-17
101.2,4.69201096e-17
101.4,4.73274299e-17
101.6,4.73461738e-17
101.8,4.73025549e-17
102,4.69073446e-17
102.2,4.66922478e-17
102.4,4.66189927e-17
102.6,4.63603598e-17
102.8,4.64748251e-17
103,4.64289463e-17
103.2,4.63302008e-17
103.4,4.68566483e-17
103.6,4.69497988e-17
103.8,4.69459441e-17
104,4.60540118e-17
104.2,4.5168558e-17
104.4,4.45669661e-17
104.6,4.43680755e-17
104.8,4.37507539e-17
105,3.25e-17
105.2,2.95e-17
105.4,3.26e-17
105.6,3.06e-17
105.8,3.25e-17
106,3.2e-17
106.2,3.04e-17
106.4,2.69e-17
106.6,2.94e-17
106.8,2.54e-17
107,2.13e-17
107.2,2.13e-17
107.4,2.25e-17
107.6,2.15e-17
107.8,1.93e-17
108,1.78e-17
108.2,1.6e-17
108.4,1.61e-17
108.6,1.56e-17
108.8,1.51e-17
109,1.49e-17
109.2,1.45e-17
109.4,1.49e-17
109.6,1.48e-17
109.8,1.42e-17
110,1.51e-17
110.2,1.45e-17
110.4,1.45e-17
110.6,1.41e-17
110.8,1.39e-17
111,1.42e-17
111.2,1.39e-17
111.4,1.34e-17
111.6,1.3e-17
111.8,1.23e-17
112,1.13e-17
112.2,1.1e-17
112.4,1.03e-17
112.6,1.03e-17
112.8,1.04e-17
113,1.04e-17
113.2,1.05e-17
113.4,1.06e-17
113.6,1.06e-17
113.8,1.06e-17
114,1.09e-17
114.2,1.11e-17
114.4,1.08e-17
114.6,1.12e-17
114.8,1.12e-17
115,1.1e-17
115.2,1.13e-17
115.4,1.16e-17
115.6,1.17e-17
115.8,1.22e-17
116,1.22e-17
116.2,1.3e-17
116.4,1.34e-17
116.6,1.36e-17
116.8,1.33e-17
117,1.36e-17
117.2,1.41e-17
117.4,1.44e-17
117.6,1.42e-17
117.8,1.44e-17
118,1.61e-17
118.2,1.58e-17
118.4,1.81e-17
118.6,1.79e-17
118.8,1.55e-17
119,1.66e-17
119.2,1.73e-17
119.4,1.76e-17
119.6,1.85e-17
119.8,1.98e-17
120,1.64e-17
120.2,2.19e-17
120.4,2.3e-17
120.6,1.85e-17
120.8,1.75e-17
121,1.86e-17
121.2,1.92e-17
121.4,1.94e-17
121.6,2.53e-17
121.8,2.09e-17
122,2.78e-17
122.2,2.42e-17
122.4,2.54e-17
122.6,1.7600000001e-17
122.8,2.03e-17
123,1.93e-17
123.2,2.24e-17
123.4,1.9e-17
123.6,2.11e-17
123.8,2.92e-17
124,2.31e-17
124.2,2.23e-17
124.4,2.74e-17
124.6,2.77e-17
124.8,2.09e-17
125,2.09e-17
125.2,2.18e-17
125.4,2.05e-17
125.6,2.23e-17
125.8,2.25e-17
126,2.28e-17
126.2,2.43e-17
126.4,2.66e-17
126.6,2.36e-17
126.8,2.44e-17
127,2.12e-17
127.2,2.19e-17
127.4,2.14e-17
127.6,2.59e-17
127.8,2.21e-17
128,2.19e-17
128.2,2.96e-17
128.4,2.07e-17
128.6,2.05e-17
128.8,2.0300000001e-17
129,1.34e-17
129.2,1.22e-17
129.4,1.36e-17
129.6,1.02e-17
129.8,1e-17
130,1.04e-17
130.2,1.4e-17
130.4,1.01e-17
130.6,9.2000000002e-18
130.8,8.8800000002e-18
131,8.3800000002e-18
131.2,9.3200000002e-18
131.4,1.02e-17
131.6,1.05e-17
131.8,1.21e-17
132,1.18e-17
132.2,1.19e-17
132.4,1.18e-17
132.6,1.23e-17
132.8,1.29e-17
133,1.33e-17
133.2,1.49e-17
133.4,1.74e-17
133.6,1.56e-17
133.8,1.69e-17
134,1.88e-17
134.2,1.73e-17
134.4,1.53e-17
134.6,1.43e-17
134.8,9.6100000003e-18
135,8.5200000002e-18
135.2,1.39e-17
135.4,2.43e-17
135.6,2.6e-17
135.8,2.41e-17
136,2.58e-17
136.2,2.68e-17
136.4,2.62e-17
136.6,2.03e-17
136.8,2.34e-17
137,1.1400000001e-17
137.2,8.1400000002e-18
137.4,5.7300000002e-18
137.6,4.6700000001e-18
137.8,1.08e-17
138,3.5199999999e-17
138.2,3.33e-17
138.4,2.0300000001e-17
138.6,2.0300000001e-17
138.8,2.31e-17
139,3.8899999999e-17
139.2,2.4600000001e-17
139.4,6.9400000005e-18
139.6,3.8900000002e-18
139.8,4.5800000001e-18
140,3.8200000001e-18
140.2,3.2800000001e-18
140.4,3.1200000001e-18
140.6,3.8900000001e-18
140.8,5.81e-18
141,6.2300000001e-18
141.2,6.7500000001e-18
141.4,4.9400000002e-18
141.6,3.9400000002e-18
141.8,4.1600000001e-18
142,4.3500000001e-18
142.2,4.2400000001e-18
142.4,5.1100000001e-18
142.6,8.27e-18
142.8,6.3400000003e-18
143,6.3100000001e-18
143.2,6.4300000001e-18
143.4,7.6600000001e-18
143.6,1.47e-17
143.8,1.16e-17
144,8.0200000004e-18
144.2,7.4100000002e-18
144.4,7.7000000002e-18
144.6,7.7000000002e-18
144.8,7.8800000002e-18
145,8.4100000002e-18
145.2,8.8500000001e-18
145.4,9.3600000002e-18
145.6,1.02e-17
145.8,1.04e-17
146,1.09e-17
146.2,1.09e-17
146.4,1.11e-17
146.6,1.14e-17
146.8,1.21e-17
147,1.24e-17
147.2,1.24e-17
147.4,1.23e-17
147.6,1.23e-17
147.8,1.26e-17
148,1.34e-17
148.2,1.42e-17
148.4,1.45e-17
148.6,1.49e-17
148.8,1.52e-17
149,1.52e-17
149.2,1.46e-17
149.4,1.47e-17
149.6,1.52e-17
149.8,1.64e-17
150,1.7e-17
150.2,1.64e-17
150.4,1.5e-17
150.6,1.44e-17
150.8,1.54e-17
151,1.62e-17
151.2,1.67e-17
151.4,1.7e-17
151.6,1.7e-17
151.8,1.77e-17
152,1.77e-17
152.2,1.74e-17
152.4,1.7e-17
152.6,1.7e-17
152.8,1.8e-17
153,1.85e-17
153.2,1.84e-17
153.4,1.82e-17
153.6,1.83e-17
153.8,1.81e-17
154,1.84e-17
154.2,1.89e-17
154.4,1.93e-17
154.6,2.04e-17
154.8,2.07e-17
155,2.1e-17
155.2,2.12e-17
155.4,2.09e-17
155.6,2.08e-17
155.8,2.07e-17
156,2.12e-17
156.2,2.23e-17
156.4,2.33e-17
156.6,2.43e-17
156.8,2.47e-17
157,2.37e-17
157.2,2.31e-17
157.4,2.22e-17
157.6,2.2e-17
157.8,2.26e-17
158,2.34e-17
158.2,2.65e-17
158.4,2.79e-17
158.6,2.74e-17
158.8,2.71e-17
159,2.6e-17
159.2,2.54e-17
159.4,2.6200000001e-17
159.6,2.7700000001e-17
159.8,2.7500000001e-17
160,2.6400000001e-17
160.2,2.3800000001e-17
160.4,2.2000000001e-17
160.6,2.2600000001e-17
160.8,2.2800000001e-17
161,2.5000000001e-17
161.2,2.6900000001e-17
161.4,3.37e-17
161.6,3.3100000001e-17
161.8,3.1500000001e-17
162,2.8400000001e-17
162.2,2.6700000001e-17
162.4,2.7300000001e-17
162.6,3.17e-17
162.8,3.2100000001e-17
163,3.4600000001e-17
163.2,3.3700000001e-17
163.4,3.2300000001e-17
163.6,2.9100000001e-17
163.8,2.6000000001e-17
164,2.4400000001e-17
164.2,2.5100000001e-17
164.4,2.5400000001e-17
164.6,2.74e-17
164.8,3.38e-17
165,4.18e-17
165.2,3.6200000001e-17
165.4,3.0200000001e-17
165.6,2.6500000001e-17
165.8,2.5600000001e-17
166,3.04e-17
166.2,3.85e-17
166.4,3.9000000001e-17
166.6,3.6700000001e-17
166.8,3.3100000001e-17
167,2.8600000001e-17
167.2,2.5000000001e-17
167.4,2.0500000001e-17
167.6,2.0100000001e-17
167.8,1.8400000001e-17
168,1.83e-17
168.2,1.92e-17
168.4,2.11e-17
168.6,3.6699999999e-17
168.8,4.8699999999e-17
169,3.6200000002e-17
169.2,2.9200000001e-17
169.4,2.4900000001e-17
169.6,2.5e-17
169.8,3.17e-17
170,4.9899999998e-17
170.2,4.93e-17
170.4,3.2400000002e-17
170.6,2.4900000001e-17
170.8,2.0100000001e-17
171,1.7000000001e-17
171.2,1.4200000001e-17
171.4,1.1600000001e-17
171.6,1e-17
171.8,9.2700000003e-18
172,9.2200000002e-18
172.2,9.7900000002e-18
172.4,1.1e-17
172.6,3.0099999998e-17
172.8,3.8399999999e-17
173,2.5900000002e-17
173.2,1.9600000001e-17
173.4,1.5700000001e-17
173.6,1.42e-17
173.8,1.6e-17
174,3.3799999998e-17
174.2,5.4699999997e-17
174.4,2.8300000002e-17
174.6,1.3200000002e-17
174.8,7.5200000007e-18
175,6.5700000003e-18
175.2,8.147216e-18
175.4,7.726099e-18
175.6,6.674635e-18
175.8,5.380005e-18
176,4.341562e-18
176.2,3.683937e-18
176.4,3.264353e-18
176.6,3.011957e-18
176.8,2.837497e-18
177,2.770245e-18
177.2,2.914946e-18
177.4,3.126606e-18
177.6,3.4117e-18
177.8,3.519855e-18
