# "Wavelength (nm)","σ (cm^2)"
211.4,8.1970340386e-19
211.6,8.3567465607e-19
211.8,8.519570951e-19
212,8.6855678418e-19
212.2,8.8547990465e-19
212.4,9.0273275833e-19
212.6,9.0360420399e-19
212.8,8.9652827554e-19
213,8.8950775714e-19
213.2,8.825422149e-19
213.4,8.7563121832e-19
213.6,8.589334175e-19
213.8,8.3356309767e-19
214,8.0894214107e-19
214.2,7.8504841377e-19
214.4,7.6186043559e-19
214.6,2.8889396334e-18
214.8,5.4e-18
215,6.2e-18
215.2,7.8e-18
215.4,9.1598688037e-18
215.6,1.27e-17
215.8,2.08e-17
216,3.3974752383e-17
216.2,3.6659967255e-17
216.4,3.9699874055e-17
216.6,3.9279877883e-17
216.8,2.7424691215e-17
217,1.8139600437e-17
217.2,1.19e-17
217.4,7.6e-18
217.6,4.7e-18
217.8,7.8317498319e-19
218,7.305845044e-19
218.2,6.8152549498e-19
218.4,6.3576081549e-19
218.6,5.9306925052e-19
218.8,5.494894419e-19
219,5.0792656573e-19
219.2,4.695074673e-19
219.4,4.3399435415e-19
219.6,4.0116742023e-19
219.8,3.7082348541e-19
