"Wavelength (nm)","σ (cm^2)"
20,1.130787175e-17
20.4,1.17781505e-17
20.8,1.204297725e-17
21.2,1.273089025e-17
21.6,1.27426335e-17
22,1.30688105e-17
22.4,1.339926775e-17
22.8,1.36421445e-17
23.2,1.39832475e-17
23.6,1.40293425e-17
24.2,1.441818675e-17
24.6,1.447613475e-17
25.2,1.4743376e-17
25.6,1.509556375e-17
26.2,1.554466075e-17
26.8,1.595293075e-17
27.4,1.662525925e-17
28,1.721264125e-17
28.8,1.812795625e-17
29.4,1.9137327e-17
30.2,1.95488895e-17
30.8,2.064145075e-17
31,2.0717288e-17
31.2,2.135394775e-17
31.6,2.1437687e-17
32,2.25345285e-17
32.4,2.290866625e-17
32.8,2.337685975e-17
33.4,2.341856475e-17
33.8,2.369293975e-17
34.2,2.378469075e-17
34.8,2.420371625e-17
35.2,2.38870875e-17
35.8,2.501740275e-17
36.4,2.430973475e-17
36.8,2.48563995e-17
37.4,2.49362975e-17
38,2.538330925e-17
38.6,2.499676975e-17
39.2,2.546584125e-17
40,2.565965975e-17
40.6,2.62961e-17
41.2,2.67401485e-17
42,2.7088934e-17
42.8,2.6806218e-17
43.6,2.74438655e-17
44.4,2.77458975e-17
45.2,2.83596195e-17
46,2.786585425e-17
46.8,2.905312975e-17
47.8,2.841811625e-17
48.8,2.873814725e-17
49.8,2.951649425e-17
50.8,3.028803675e-17
52,3.116603675e-17
53,3.20397565e-17
54.2,3.2875832e-17
55.4,3.434834775e-17
56.8,3.5071271e-17
58.2,3.53564015e-17
59.6,3.534992625e-17
61,3.5077417e-17
62.6,3.49648135e-17
64.4,3.442363625e-17
66,3.365319125e-17
68,3.322801975e-17
69.8,3.246876925e-17
72,3.201133125e-17
74.2,3.7123596e-17
76.4,3.599701225e-17
79,2.6706126e-17
81.6,2.337181125e-17
84.4,2.962734175e-17
87.6,4.4751221e-17
90.8,6.370142425e-17
94.4,5.776899775e-17
98.2,4.21916315e-17
102.4,3.442583125e-17
102.6,1.51e-17
103.2,1.42e-17
103.8,1.36e-17
104.2,1.449e-17
104.8,4.605e-17
105,4.605e-17
105.4,2.606e-17
106.2,2.28473684210526e-17
106.4,1.17285e-17
106.6,9.22025e-18
106.8,3.08425e-17
107,1.53275e-17
107.2,1.0717e-17
107.4,3.88375e-17
107.6,2.31775e-17
107.8,7.38325e-18
108,9.737e-18
108.2,1.8e-17
108.4,1.405775e-17
108.6,4.8315e-18
108.8,1.5258025e-16
109,2.99925e-17
109.2,1.443025e-17
109.4,8.12675e-18
109.6,5.04575e-18
109.8,5.57125e-18
110,6.0365e-18
110.2,1.066525e-17
110.4,1.074825e-17
110.6,9.848e-18
110.8,9.82425e-18
111,1.87625e-17
111.2,3.75025e-17
111.4,2.96975e-17
111.6,3.221e-17
111.8,4.23225e-17
112,8.65625e-17
112.2,1.5905e-16
112.4,5.32439024390244e-17
112.6,5.34225e-17
112.8,9.49725e-17
113,7.60475e-17
113.2,2.40325e-17
113.4,1.9165e-17
113.6,1.38455e-17
113.8,4.20325e-18
114,1.471875e-17
114.2,1.4963e-17
114.4,4.80875e-18
114.6,2.197e-18
114.8,3.41928571428571e-18
115,3.45952380952381e-18
115.2,1.251e-18
115.4,5.34761904761905e-19
115.6,2.9656e-18
115.8,2.21585e-18
116,5.22047619047619e-19
116.2,2.264e-19
116.4,5.16857142857143e-19
116.6,7.1065e-19
116.8,1.9895e-19
117,1.04733333333333e-19
117.2,1.3269e-19
117.4,3.53761904761905e-19
117.6,1.7358e-19
117.8,4.74952380952381e-20
118,3.5645e-20
118.2,5.8795e-20
118.4,9.77952380952381e-20
118.6,2.8105e-20
118.8,2.29e-20
120,4e-20
121.4,5.265e-20
125.6,1.829e-19
127.6,2.77e-19
132,5.37e-19
135.6,5.36e-19
140.6,4.78e-19
143.8,4.93e-19
150,4.12e-19
153.8,3.33e-19
160.8,1.191e-19
169,2.68e-20
172,1.209e-20
173.6,7.29e-21
174.6,6.99e-21
175.2,5.61e-21
175.8,4.76e-21
176.4,4.14e-21
176.6,4.59e-21
176.8,4.18e-21
177.4,3.48e-21
178.4,2.29e-21
180.6,1.05e-21
182.6,5e-22
184.4,3.12e-22
186.4,1.66e-22
188.4,9.74e-23
190.2,5.82e-23
192.6,2.615e-23
194.8,1.57e-23
195,1.4e-23
197.4,5.4e-24
197.6,5.27e-24
197.8,5.14e-24
198.2,5.49e-24
198.4,4.62e-24
198.8,3.21e-24
199,3.35e-24
199.6,2.4e-24
199.8,2.39e-24
200,2.695e-24
200.4,2.3e-24
200.8,1.69e-24
201,1.55e-24
201.4,1.26e-24
201.6,1.01e-24
201.8,8e-25
202.4,7.9e-25
203.2,7.8e-25
203.8,7.5e-25
215.4,6.6e-25
251.8,3.3e-25
270.2,2.3e-25
275,2.1e-25
300,1.46e-25
