# "Wavelength (nm)","σ (cm^2)"
20.4,6.2946015e-18
20.6,6.4930295e-18
21,6.84477825e-18
21.4,7.018293e-18
21.8,7.3266905e-18
22.2,7.49010825e-18
22.6,7.8350525e-18
23,8.09109925e-18
23.4,8.2960025e-18
23.8,8.73752675e-18
24.4,9.00729225e-18
24.8,9.23249925e-18
25,9.457377e-18
25.4,9.63747675e-18
25.6,9.565371e-18
25.8,9.76775e-18
26.2,9.64472025e-18
26.4,9.89012125e-18
26.6,9.96409275e-18
27,1.00528805e-17
27.2,1.051240375e-17
27.6,1.029553775e-17
27.8,1.0575071e-17
28.2,1.05239275e-17
28.6,1.0575949e-17
28.8,1.1049191e-17
29.2,1.08145455e-17
29.6,1.102800925e-17
29.8,1.138623325e-17
30.2,1.143540125e-17
30.6,1.167070525e-17
31,1.1781443e-17
31.4,1.182391625e-17
31.8,1.20459405e-17
32.2,1.21196925e-17
32.6,1.26385905e-17
33,1.266525975e-17
33.6,1.286873625e-17
34,1.334219775e-17
34.4,1.354315e-17
35,1.3698995e-17
35.4,1.36921905e-17
36,1.42062595e-17
36.4,1.43959075e-17
37,1.456810525e-17
37.6,1.4496658e-17
38.2,1.5014678e-17
38.8,1.5510748e-17
39.4,1.615157825e-17
40,1.65685185e-17
40.6,1.685880725e-17
41.4,1.733687825e-17
42,1.79816595e-17
42.8,1.816022275e-17
43.6,1.890696175e-17
44.2,1.93939225e-17
45,1.990107725e-17
46,2.002904575e-17
46.8,2.0442035e-17
47.6,2.07113615e-17
48.6,2.041119525e-17
49.6,2.0359942e-17
50.6,2.05752715e-17
51.6,2.084470775e-17
52.8,2.096653025e-17
54,2.118427425e-17
55.2,2.113378925e-17
56.4,2.16433585e-17
57.6,2.15630215e-17
59,2.15963855e-17
60.4,2.171765925e-17
62,2.1371837e-17
63.6,2.199357075e-17
65.2,2.217389e-17
67,2.2733615e-17
68.8,2.537650475e-17
70.8,2.62522e-17
73,2.618777675e-17
75.2,2.4474689e-17
77.4,2.476673375e-17
80,2.590001225e-17
82.6,2.763055025e-17
85.6,3.654839625e-17
88.6,4.30020255e-17
91.8,4.22706515e-17
95.4,2.885711625e-17
99.2,1.171372725e-17
103.4,1.4367153e-17
107.8,1.77257225e-17
112.8,6.69222575e-18
118,1.0428445e-18
124,2.29520175e-18
130.6,5.325509e-18
137.8,1.013991225e-17
145.8,1.2202444e-17
155,4.53300425e-18
165.4,3.702965e-19
206,2.623024e-22
206.2,5.1265765e-22
206.4,5.74003482587065e-22
206.6,3.19641e-22
206.8,1.695691e-22
207,1.11256218905473e-22
207.2,7.61777333333333e-23
