"Wavelength (nm)","σ (cm^2)"
20.4,5.0063898064e-18
20.6,5.0935788458e-18
20.8,5.1848127377e-18
21,5.2788922913e-18
21.2,5.4425605098e-18
21.4,5.5969598265e-18
21.6,5.6047991926e-18
21.8,5.6358493902e-18
22,5.7407932505e-18
22.2,5.842121808e-18
22.4,5.9320242998e-18
22.6,6.0292134574e-18
22.8,6.1429189839e-18
23,6.2503948935e-18
23.2,6.3257451232e-18
23.4,6.4028712856e-18
23.6,6.5061058921e-18
23.8,6.6110049681e-18
24,6.7256076337e-18
24.2,6.8444386904e-18
24.4,6.95290647e-18
24.6,7.0474537328e-18
24.8,7.1426248136e-18
25,7.1974374488e-18
25.2,7.2713337276e-18
25.4,7.386329467e-18
25.6,7.5334220348e-18
25.8,7.6511583821e-18
26,7.6851125348e-18
26.2,7.7759803997e-18
26.4,7.9251756263e-18
26.6,7.9081473082e-18
26.8,8.0137884993e-18
27,8.1317632108e-18
27.2,8.0970055257e-18
27.4,8.2489652534e-18
27.6,8.4399563649e-18
27.8,8.5486745343e-18
28,8.6501743696e-18
28.2,8.7536290096e-18
28.4,8.8967649188e-18
28.6,8.9992920657e-18
28.8,9.0579005392e-18
29,9.2184531585e-18
29.2,9.3865974357e-18
29.4,9.4537968429e-18
29.6,9.4332160161e-18
29.8,9.281980362e-18
30,9.3898027182e-18
30.2,9.6605784473e-18
30.4,9.7951847238e-18
30.6,9.8954490572e-18
30.8,1.0007473865e-17
31,1.0121478529e-17
31.2,1.0233411633e-17
31.4,1.033807341e-17
31.6,1.0305135381e-17
31.8,1.0284068393e-17
32,1.051015235e-17
32.2,1.0741206514e-17
32.4,1.0818798305e-17
32.6,1.0893974065e-17
32.8,1.0986184768e-17
33,1.1081823968e-17
33.2,1.1162248484e-17
33.4,1.1235925477e-17
33.6,1.1294757214e-17
33.8,1.1335374286e-17
34,1.1409508589e-17
34.2,1.1663926275e-17
34.4,1.1924017155e-17
34.6,1.1993024392e-17
34.8,1.2013345114e-17
35,1.2098246122e-17
35.2,1.2293151809e-17
35.4,1.2491197473e-17
35.6,1.2521209145e-17
35.8,1.252800752e-17
36,1.2579074211e-17
36.2,1.2728560338e-17
36.4,1.2879822916e-17
36.6,1.2947325382e-17
36.8,1.2973086102e-17
37,1.2998898077e-17
37.2,1.3098225921e-17
37.4,1.3202305594e-17
37.6,1.331581572e-17
37.8,1.3481515572e-17
38,1.3649277366e-17
38.2,1.3783084041e-17
38.4,1.38124604e-17
38.6,1.3841899369e-17
38.8,1.3891372541e-17
39,1.3994081556e-17
39.2,1.4097549973e-17
