# "Wavelength (nm)","σ (cm^2)"
20,2.52e-19
20.2,2.5509504841e-19
20.4,2.5822811001e-19
20.6,2.6139965168e-19
20.8,2.7528185124e-19
21,3.0159299052e-19
21.2,3.3041891981e-19
21.4,3.62e-19
21.6,3.5882243056e-19
21.8,3.5567275324e-19
22,3.525507232e-19
22.2,3.5882100284e-19
22.4,3.7498969572e-19
22.6,3.9188695974e-19
22.8,4.0954562477e-19
23,4.28e-19
23.2,4.3339705431e-19
23.4,4.3886216515e-19
23.6,4.4439619071e-19
23.8,4.5e-19
24,4.6444269244e-19
24.2,4.7934892125e-19
24.4,4.9473356356e-19
24.6,5.1061197401e-19
24.8,5.27e-19
25,5.529214684e-19
25.2,5.801179321e-19
25.4,6.086521041e-19
25.6,6.3858978206e-19
25.8,6.7e-19
26,6.7698221148e-19
26.2,6.8403718606e-19
26.4,6.9116568202e-19
26.6,6.9836846554e-19
26.8,7.0564631079e-19
27,7.13e-19
27.2,7.235982666e-19
27.4,7.3435406931e-19
27.6,7.4526974982e-19
27.8,7.563476846e-19
28,7.6759028544e-19
28.2,7.79e-19
28.4,7.9946230336e-19
28.6,8.204620982e-19
28.8,8.4201350302e-19
29,8.6413100718e-19
29.2,8.8682948062e-19
29.4,9.1012418392e-19
29.6,9.3234638839e-19
29.8,9.5338877962e-19
30,9.7490608256e-19
30.2,9.9690901564e-19
30.4,1.0194085392e-18
30.6,1.0424158609e-18
30.8,1.0659424414e-18
31,1.09e-18
31.2,1.1188354439e-18
31.4,1.148433716e-18
31.6,1.1788149967e-18
31.8,1.21e-18
32,1.2593925325e-18
32.2,1.3108012817e-18
32.4,1.3643085501e-18
32.6,1.42e-18
32.8,1.4244203021e-18
33,1.428854364e-18
33.2,1.4333022288e-18
33.4,1.4377639392e-18
33.6,1.4497326827e-18
33.8,1.4693958367e-18
34,1.4893256879e-18
34.2,1.5095258535e-18
34.4,1.53e-18
34.6,1.562582402e-18
34.8,1.5958586687e-18
35,1.6298435764e-18
35.2,1.664552216e-18
35.4,1.7e-18
35.6,1.7330651935e-18
35.8,1.7667735087e-18
36,1.8011374546e-18
36.2,1.836169783e-18
36.4,1.8718834943e-18
36.6,1.9073619767e-18
36.8,1.9425658686e-18
37,1.9784195134e-18
37.2,2.0149349035e-18
37.4,2.0521242526e-18
37.6,2.09e-18
37.8,2.1199285466e-18
38,2.1502856663e-18
38.2,2.1810774963e-18
38.4,2.2123102616e-18
38.6,2.2439902763e-18
38.8,2.2769117658e-18
39,2.3111159009e-18
39.2,2.345833856e-18
39.4,2.3810733498e-18
39.6,2.4168422169e-18
39.8,2.4531484097e-18
40,2.49e-18
40.2,2.5212113723e-18
40.4,2.5528139695e-18
40.6,2.5848126953e-18
40.8,2.6172125151e-18
41,2.6500184566e-18
41.2,2.6832356103e-18
41.4,2.7153719991e-18
41.6,2.7463790492e-18
41.8,2.7777401713e-18
42,2.8094594086e-18
42.2,2.8415408504e-18
42.4,2.8739886328e-18
42.6,2.906806939e-18
42.8,2.94e-18
43,2.9696749891e-18
43.2,2.9996495038e-18
43.4,3.0299265672e-18
43.6,3.0605092331e-18
43.8,3.0914005863e-18
44,3.1226037423e-18
44.2,3.1541218485e-18
44.4,3.1930717921e-18
44.6,3.2397203596e-18
44.8,3.2870504304e-18
45,3.3350719607e-18
45.2,3.3837950524e-18
45.4,3.4332299546e-18
45.6,3.4833870666e-18
45.8,3.5342769392e-18
46,3.5744877978e-18
46.2,3.6036405123e-18
46.4,3.6330309898e-18
46.6,3.6626611694e-18
46.8,3.6925330059e-18
47,3.7226484705e-18
47.2,3.75300955e-18
47.4,3.7836182475e-18
47.6,3.8144765827e-18
47.8,3.853404025e-18
48,3.9006419948e-18
48.2,3.9484590437e-18
48.4,3.9968622705e-18
48.6,4.045858861e-18
48.8,4.0954560891e-18
49,4.1456613179e-18
49.2,4.1964820008e-18
49.4,4.2479256824e-18
51.6,4.7843962581e-18
53.8,5.3716749986e-18
56.4,6.05e-18
59,5.76e-18
59.2,6.072796333e-18
59.4,6.4025790456e-18
59.6,6.5298657108e-18
59.8,6.6776210337e-18
60,6.8470795211e-18
60.2,6.9577159445e-18
60.4,6.8867889355e-18
60.6,6.8611363881e-18
60.8,6.9521483811e-18
61,7.1053406294e-18
61.2,7.1280468381e-18
61.4,7.1135223392e-18
61.6,7.3285950358e-18
61.8,7.449548231e-18
62,7.63e-18
62.2,7.4514834938e-18
62.4,7.4686869582e-18
62.6,7.5462191283e-18
62.8,7.5536289065e-18
63,7.5709696408e-18
63.2,7.8164943349e-18
63.4,7.8139600516e-18
63.6,7.96e-18
63.8,8.0994681706e-18
64,7.9813240539e-18
64.2,8.0256455991e-18
64.4,8.0782252352e-18
64.6,8.3070485559e-18
64.8,8.3986527367e-18
65,8.3415651644e-18
65.2,8.292707939e-18
65.4,8.4861895449e-18
65.6,8.7374942134e-18
65.8,8.774314996e-18
66,8.6278793167e-18
66.2,8.7010816016e-18
66.4,8.7200887756e-18
66.6,8.7587894392e-18
66.8,8.6968391456e-18
67,9.05e-18
67.2,9.104936787e-18
67.4,8.8626755803e-18
67.6,9.1254039264e-18
67.8,9.3251642523e-18
68,9.4265145038e-18
68.2,9.3225004767e-18
68.4,9.4108847626e-18
68.6,9.269457991e-18
68.8,9.636559362e-18
69,9.6618820245e-18
69.2,9.8948573922e-18
69.4,9.870008488e-18
69.6,9.8457140275e-18
69.8,1.0052316346e-17
70,1.0110810736e-17
70.2,1.0185297596e-17
70.4,1.0265370453e-17
70.6,1.0305340192e-17
70.8,1.05e-17
71,1.052134905e-17
71.2,1.0474448043e-17
71.4,1.0479439236e-17
71.6,1.0651856014e-17
71.8,1.0469886635e-17
72,1.0713547844e-17
72.2,1.0827531414e-17
72.4,1.0884514384e-17
72.6,1.122621919e-17
72.8,1.0728808124e-17
73,1.1174218353e-17
73.2,1.1355215758e-17
73.4,1.130374858e-17
73.6,1.0760193813e-17
73.8,1.2328785032e-17
74,1.1595635629e-17
74.2,1.0759125302e-17
74.4,1.2160222842e-17
74.6,1.2495764413e-17
74.8,1.0863577137e-17
75,1.1511104197e-17
75.2,1.2533462644e-17
75.4,1.205661142e-17
75.6,1.1583351264e-17
75.8,1.2219043637e-17
76,1.2206566736e-17
76.2,1.234746744e-17
76.4,1.275681738e-17
76.6,1.2616387375e-17
76.8,1.1162824426e-17
77,1.1495621636e-17
77.2,1.4399242672e-17
77.4,1.5993386114e-17
77.6,9.9445982043e-18
77.8,1.1841323672e-17
78,1.3788139071e-17
78.2,1.101231331e-17
78.4,1.8839715821e-17
78.6,1.4287736049e-17
78.8,9.1026433768e-18
79,9.0543551507e-18
79.2,1.1939872156e-17
79.4,2.3661075328e-17
79.6,1.7263054881e-17
79.8,8.1595284026e-18
80,1.38e-17
80.2,8.2724548199e-18
80.4,2.403175429e-17
80.6,2.3274850984e-17
80.8,1.2428820765e-17
81,7.9615729513e-18
81.2,6.3987034546e-18
81.4,1.7813299852e-17
81.6,1.6521284883e-17
81.8,1.9395162213e-17
82,1.5810737592e-17
