"Wavelength (nm)","σ (cm^2)"
62.8,3.1016313e-17
63,3.1712514e-17
63.2,2.9996211e-17
63.4,3.0703581e-17
63.6,3.0066948e-17
63.8,3.0122793e-17
64,2.9497329e-17
64.2,2.9962704e-17
64.4,2.9992488e-17
64.6,2.9977596e-17
64.8,2.8413936e-17
65,3.056583e-17
65.2,2.9806338e-17
65.4,3.0037164e-17
65.6,2.9609019e-17
65.8,3.0178638e-17
66,2.9992488e-17
66.2,2.9355855e-17
66.4,3.0889731e-17
66.6,3.0740811e-17
66.8,3.067752e-17
67,3.1131726e-17
67.2,3.1165233e-17
67.4,3.1068435e-17
67.6,3.1176402e-17
67.8,3.183165e-17
68,3.2185335e-17
68.2,3.2572527e-17
68.4,3.145935e-17
68.6,3.2408715e-17
68.8,3.1973124e-17
69,3.2598588e-17
69.2,3.3473493e-17
69.4,3.354423e-17
69.6,3.4069173e-17
69.8,3.4098957e-17
70,3.4422858e-17
70.2,3.4385628e-17
70.4,3.3950037e-17
70.6,3.5435514e-17
70.8,3.5476467e-17
71,3.6705057e-17
71.2,3.7646976e-17
71.4,3.8499543e-17
71.6,4.0536024e-17
71.8,3.8305947e-17
72,3.8380407e-17
72.2,3.8332008e-17
72.4,3.9623889e-17
72.6,3.9285096e-17
72.8,4.0107879e-17
73,3.9940344e-17
73.2,4.102746e-17
73.4,4.0212123e-17
73.6,4.151145e-17
73.8,3.9404232e-17
74,3.9973851e-17
74.2,4.0078095e-17
74.4,4.1701323e-17
74.6,4.0353597e-17
74.8,3.9635058e-17
75,4.024563e-17
75.2,3.9970128e-17
75.4,4.0107879e-17
75.6,3.9404232e-17
75.8,3.9772809e-17
76,3.9255312e-17
76.2,3.9236697e-17
76.4,3.9445185e-17
76.6,3.9448908e-17
76.8,3.9367002e-17
77,3.9385617e-17
77.2,4.1314131e-17
77.4,3.9787701e-17
77.6,4.2345402e-17
77.8,4.1180103e-17
78,4.0923216e-17
78.2,4.2297003e-17
78.4,4.4940333e-17
78.6,4.3510701e-17
78.8,4.3101171e-17
79,4.4329761e-17
79.2,4.6623129e-17
79.4,4.5215835e-17
79.6,4.5710994e-17
79.8,4.5617919e-17
80,4.5655149e-17
80.2,4.7427297e-17
80.4,4.6850232e-17
80.6,4.7148072e-17
80.8,4.7326776e-17
81,4.5617919e-17
81.2,4.6072125e-17
81.4,4.7862888e-17
81.6,4.523445e-17
81.8,4.5547182e-17
82,4.6072125e-17
82.2,4.4169672e-17
82.4,4.3760142e-17
82.6,4.3912785e-17
82.8,4.1861412e-17
83,4.1500281e-17
83.2,4.2713979e-17
83.4,4.0048311e-17
83.6,4.0424334e-17
83.8,3.9232974e-17
84,3.8216595e-17
84.2,3.8190534e-17
84.4,3.7680483e-17
84.6,3.5644002e-17
84.8,3.4646238e-17
85,3.4322337e-17
85.2,3.2754954e-17
85.4,3.3164484e-17
85.6,3.369315e-17
85.8,3.2237457e-17
86,3.0945576e-17
86.2,2.9973873e-17
86.4,2.9683479e-17
86.6,2.9084076e-17
86.8,3.0431802e-17
87,2.8119819e-17
87.2,2.9839845e-17
87.4,2.8205448e-17
87.6,3.0148854e-17
87.8,2.7658167e-17
88,2.7751242e-17
88.2,2.784804e-17
88.4,2.6597112e-17
88.6,2.7814533e-17
88.8,2.781081e-17
89,2.6928459e-17
89.2,2.8201725e-17
89.4,2.8142157e-17
89.6,2.9307456e-17
89.8,2.7218853e-17
90,2.5271724e-17
90.2,2.658222e-17
90.4,2.9851014e-17
90.6,2.8279908e-17
90.8,3.4914294e-17
91,2.3663388e-17
91.2,2.3812308e-17
91.4,1.8793704e-17
91.6,2.6265765e-17
91.8,3.4590393e-17
92,3.1425843e-17
92.2,2.1727428e-17
92.4,2.6332779e-17
92.6,2.2155573e-17
92.8,3.2468283e-17
93,1.97319e-17
93.2,1.7397579e-17
93.4,3.3525615e-17
93.6,1.7624682e-17
93.8,4.7386344e-17
94,1.6105698e-17
94.2,6.2773503e-17
94.4,2.7915054e-17
94.6,2.0532345e-17
94.8,1.8570324e-17
95,6.236025e-17
95.2,9.486204e-18
95.4,1.6950819e-17
95.6,2.6634342e-17
95.8,4.8566535e-17
96,2.3436285e-17
96.2,1.7215152e-17
96.4,1.9381938e-17
96.6,2.3819754e-17
96.8,1.559937e-17
97,3.5975349e-17
97.2,3.4731867e-17
97.4,9.0416778e-17
97.6,2.4188331e-17
97.8,2.6671572e-17
98,4.4143611e-17
98.2,1.7099739e-17
98.4,2.6786985e-17
98.6,4.1232225e-17
98.8,6.2188992e-17
99,3.5908335e-17
99.2,3.2058753e-17
99.4,3.7546455e-17
99.6,2.7163008e-17
99.8,1.392402e-17
100,1.7620959e-17
100.2,1.4642559e-17
100.4,3.2646987e-17
100.6,2.4061749e-17
100.8,4.2512937e-17
101,3.9746748e-17
101.2,5.3555355e-17
101.4,2.118387e-17
101.6,1.1526408e-17
101.8,1.7416194e-17
102,1.6798176e-17
102.2,2.1403527e-17
102.4,2.4501063e-17
102.6,2.4553185e-17
102.8,1.34054061e-16
103,2.874156e-17
103.2,2.6451915e-17
103.4,2.6660403e-17
103.6,3.0282882e-17
103.8,2.9947812e-17
104,5.0323791e-17
104.2,3.6422109e-17
104.4,2.3682003e-17
104.6,3.0923238e-17
