# "Wavelength (nm)","σ (cm^2)"
20.4,6.34497675e-18
20.6,6.58532925e-18
21,6.99491625e-18
21.4,7.1638215e-18
21.8,7.487584e-18
22.2,7.8359305e-18
22.6,8.19338625e-18
23,8.461725e-18
23.4,8.80776675e-18
23.8,9.22832875e-18
24.4,9.52970225e-18
24.8,9.66930425e-18
25.4,9.96431225e-18
25.8,1.012015725e-17
26.2,1.02161885e-17
26.4,1.028105075e-17
26.6,1.017854425e-17
27,1.0442054e-17
27.2,1.062632425e-17
27.6,1.063488475e-17
27.8,1.074156175e-17
28.2,1.076636525e-17
28.6,1.081443575e-17
28.8,1.10002425e-17
29.2,1.114544175e-17
29.6,1.114127125e-17
29.8,1.137898975e-17
30.2,1.1575991e-17
30.6,1.190535075e-17
31,1.18334645e-17
31.4,1.216831175e-17
31.8,1.235554525e-17
32.2,1.2907478e-17
32.6,1.346928825e-17
33,1.34999085e-17
33.6,1.366157025e-17
34,1.398291825e-17
34.4,1.47163775e-17
35,1.546234825e-17
35.4,1.560645e-17
36,1.6394016e-17
36.4,1.650585125e-17
37,1.725709e-17
37.6,1.7715406e-17
38.2,1.831628725e-17
38.8,1.888896275e-17
39.4,1.96296655e-17
40,2.014406375e-17
40.6,2.0671632e-17
41.4,2.2101016e-17
42,2.190028325e-17
42.8,2.256558775e-17
43.6,2.295849275e-17
44.2,2.34213085e-17
45,2.308865625e-17
46,2.32329775e-17
46.8,2.3132227e-17
47.6,2.367406275e-17
48.6,2.37733865e-17
49.6,2.380312875e-17
50.6,2.37299255e-17
51.6,2.48476195e-17
52.8,2.581396825e-17
54,2.529638725e-17
55.2,2.465610575e-17
56.4,2.34792565e-17
57.6,2.278816075e-17
59,2.28571935e-17
60.4,2.327588975e-17
62,2.3953596e-17
63.6,2.43208195e-17
65.2,2.471954125e-17
67,2.560171175e-17
68.8,2.5578774e-17
70.8,2.58617095e-17
73,2.638620475e-17
75.2,2.82187005e-17
77.4,2.916353825e-17
80,2.6497162e-17
82.6,2.3299047e-17
85.6,3.469208475e-17
88.6,4.7263618e-17
91.8,4.6112121e-17
95.4,5.393279625e-17
99.2,3.483058925e-17
103.4,5.5166935e-18
107.8,8.49465e-20
