"Wavelength (nm)","σ (cm^2)"
20.4,3.293755056e-18
20.6,3.4488257106e-18
20.8,3.4961338894e-18
21,3.4904548469e-18
21.2,3.5514231663e-18
21.4,3.6201819282e-18
21.6,3.7015367495e-18
21.8,3.7779256256e-18
22,3.8342436902e-18
22.2,3.892664641e-18
22.4,3.9549725285e-18
22.6,4.0515153473e-18
22.8,4.236186079e-18
23,4.4078624474e-18
23.2,4.4983525011e-18
23.4,4.5895003945e-18
23.6,4.6476153527e-18
23.8,4.7064661968e-18
24,4.8202190634e-18
24.2,4.9520739954e-18
24.4,5.0216591165e-18
24.6,5.0107315832e-18
24.8,5.0029779528e-18
25,5.1950228398e-18
25.2,5.394439584e-18
25.4,5.5888647616e-18
25.6,5.7764457877e-18
25.8,5.9703226614e-18
26,6.0912185324e-18
26.2,6.2003375666e-18
26.4,6.3070025452e-18
26.6,6.3761214227e-18
26.8,6.4459977787e-18
27,6.5378399961e-18
27.2,6.7016414568e-18
27.4,6.8695468599e-18
27.6,7.0370853207e-18
27.8,7.1938758227e-18
28,7.3541597117e-18
28.2,7.5161007237e-18
28.4,7.6656142952e-18
28.6,7.8181020563e-18
28.8,7.9736231707e-18
29,8.1184715292e-18
29.2,8.2631305605e-18
29.4,8.4103671996e-18
29.6,8.5541234409e-18
29.8,8.6910238611e-18
30,8.8301152392e-18
30.2,8.9714326395e-18
30.4,9.1035458468e-18
30.6,9.2346938916e-18
30.8,9.3677312892e-18
31,9.4930574179e-18
31.2,9.1482368088e-18
31.4,8.8664708923e-18
31.6,9.42951003e-18
31.8,9.987157453e-18
32,9.7114590683e-18
32.2,9.4433714176e-18
32.4,9.9162445451e-18
32.6,1.0427835455e-17
32.8,1.0253003274e-17
33,9.9740234472e-18
33.2,1.0358937557e-17
33.4,1.1083225191e-17
33.6,1.1239074357e-17
33.8,1.0684793802e-17
34,1.0277793484e-17
34.2,1.0521364888e-17
34.4,1.0770708644e-17
34.6,1.0957128236e-17
34.8,1.1129307422e-17
35,1.1290418364e-17
35.2,1.1430548739e-17
35.4,1.1572418335e-17
35.6,1.1705091659e-17
35.8,1.1837771613e-17
36,1.1970863648e-17
36.2,1.2103026233e-17
36.4,1.223664794e-17
36.6,1.2348045791e-17
36.8,1.2448711842e-17
37,1.2550198561e-17
37.2,1.5661031412e-17
37.4,1.9768439777e-17
