"Wavelength (nm)","σ (cm^2)"
20,1.130787175e-17
20.2,0
20.4,1.17781505e-17
20.6,0
20.8,1.204297725e-17
21,0
21.2,1.273089025e-17
21.4,0
21.6,1.27426335e-17
21.8,0
22,1.30688105e-17
22.2,0
22.4,1.339926775e-17
22.6,0
22.8,1.36421445e-17
23,0
23.2,1.39832475e-17
23.4,0
23.6,1.40293425e-17
23.8,0
24,0
24.2,1.441818675e-17
24.4,0
24.6,1.447613475e-17
24.8,0
25,0
25.2,1.4743376e-17
25.4,0
25.6,1.509556375e-17
25.8,0
26,0
26.2,1.554466075e-17
26.4,0
26.6,0
26.8,1.595293075e-17
27,0
27.2,0
27.4,1.662525925e-17
27.6,0
27.8,0
28,1.721264125e-17
28.2,0
28.4,0
28.6,0
28.8,1.812795625e-17
29,0
29.2,0
29.4,1.9137327e-17
29.6,0
29.8,0
30,0
30.2,1.95488895e-17
30.4,0
30.6,0
30.8,2.064145075e-17
31,2.0717288e-17
31.2,2.135394775e-17
31.4,0
31.6,2.1437687e-17
31.8,0
32,2.25345285e-17
32.2,0
32.4,2.290866625e-17
32.6,0
32.8,2.337685975e-17
33,0
33.2,0
33.4,2.341856475e-17
33.6,0
33.8,2.369293975e-17
34,0
34.2,2.378469075e-17
34.4,0
34.6,0
34.8,2.420371625e-17
35,0
35.2,2.38870875e-17
35.4,0
35.6,0
35.8,2.501740275e-17
36,0
36.2,0
36.4,2.430973475e-17
36.6,0
36.8,2.48563995e-17
37,0
37.2,0
37.4,2.49362975e-17
37.6,0
37.8,0
38,2.538330925e-17
38.2,0
38.4,0
38.6,2.499676975e-17
38.8,0
39,0
39.2,2.546584125e-17
39.4,0
39.6,0
39.8,0
40,2.565965975e-17
40.2,0
40.4,0
40.6,2.62961e-17
40.8,0
41,0
41.2,2.67401485e-17
41.4,0
41.6,0
41.8,0
42,2.7088934e-17
42.2,0
42.4,0
42.6,0
42.8,2.6806218e-17
43,0
43.2,0
43.4,0
43.6,2.74438655e-17
43.8,0
44,0
