Wavelength(nm)	sigma(cm^2)
0.10	0.00E+00
0.50	0.00E+00
1.00	0.00E+00
1.50	0.00E+00
2.00	0.00E+00
2.50	0.00E+00
3.00	0.00E+00
3.50	0.00E+00
4.10	0.00E+00
4.30	0.00E+00
5.00	0.00E+00
6.00	0.00E+00
7.00	0.00E+00
8.00	0.00E+00
9.00	0.00E+00
10.00	0.00E+00
12.00	0.00E+00
15.00	0.00E+00
20.00	0.00E+00
25.00	0.00E+00
30.00	0.00E+00
40.00	0.00E+00
50.00	0.00E+00
60.00	0.00E+00
62.00	0.00E+00
64.00	0.00E+00
66.00	0.00E+00
68.00	0.00E+00
69.70	0.00E+00
70.00	4.24E-20
72.00	3.35E-19
74.00	1.48E-18
76.00	3.56E-18
78.00	4.36E-18
80.00	3.40E-18
82.00	2.79E-18
84.00	2.16E-18
86.00	2.88E-18
88.00	3.25E-18
90.00	3.96E-18
92.00	3.90E-18
94.00	2.59E-18
96.00	1.95E-18
98.00	1.80E-18
100.00	1.96E-18
105.00	1.14E-19
106.00	5.24E-19
107.50	1.81E-18
108.50	1.66E-18
108.60	2.88E-18
108.70	3.51E-18
109.10	2.17E-18
109.40	2.76E-18
110.00	2.04E-18
110.10	1.66E-18
110.20	4.27E-18
110.60	2.92E-18
111.10	2.15E-18
111.40	1.06E-18
111.60	1.86E-18
112.00	5.08E-18
112.20	7.96E-19
112.60	4.37E-18
112.90	1.18E-18
113.20	9.24E-18
113.60	5.77E-19
114.20	3.55E-18
114.50	4.52E-19
114.90	1.78E-18
115.20	1.50E-18
115.60	1.06E-17
115.90	1.14E-18
116.20	8.82E-19
116.50	3.03E-19
116.70	1.10E-18
116.90	9.34E-19
117.10	7.34E-18
117.40	1.76E-18
117.70	1.58E-18
117.90	1.10E-17
118.40	4.97E-19
119.20	2.46E-18
119.80	9.45E-19
120.40	1.82E-17
121.10	3.13E-19
121.60	6.18E-18
121.90	1.70E-18
122.10	5.44E-18
122.40	4.75E-19
123.10	9.25E-19
123.60	4.28E-19
124.40	1.28E-17
124.70	3.20E-18
124.90	1.62E-17
125.20	1.43E-18
125.60	3.10E-18
125.80	1.80E-18
126.30	1.74E-18
126.60	1.26E-18
127.00	2.64E-18
127.60	2.99E-18
128.40	8.72E-18
128.70	3.20E-18
128.90	5.14E-18
129.40	3.13E-18
129.80	4.79E-18
130.10	3.85E-18
130.80	2.92E-17
131.00	1.43E-17
131.80	3.17E-18
132.00	9.24E-18
132.40	6.39E-18
132.80	3.81E-18
133.00	7.43E-18
133.30	4.32E-18
133.80	3.90E-17
134.00	1.20E-17
134.80	1.34E-18
135.20	4.13E-18
135.90	6.14E-19
136.20	2.09E-18
136.60	5.69E-19
137.40	3.98E-19
137.80	4.28E-19
138.80	2.82E-19
139.70	2.82E-19
140.20	6.48E-19
140.90	2.73E-19
142.80	3.32E-19
143.80	2.02E-18
144.40	7.02E-19
146.10	5.90E-19
147.80	6.11E-18
148.80	1.41E-18
150.40	9.68E-19
152.00	4.22E-17
152.90	3.51E-19
155.00	5.38E-20
155.10	5.58E-20
156.30	4.95E-20
157.60	6.18E-20
158.20	5.32E-20
159.10	7.14E-20
159.80	5.62E-20
160.80	8.56E-20
161.60	7.26E-20
163.00	9.97E-20
163.80	7.52E-20
165.00	1.17E-19
165.70	8.97E-20
166.80	1.47E-19
167.80	9.38E-20
168.60	1.76E-19
169.40	9.01E-20
170.00	9.79E-20
170.70	1.72E-19
171.40	1.18E-19
172.00	8.86E-20
172.80	1.68E-19
174.10	8.23E-20
174.90	1.42E-19
175.50	1.64E-19
176.50	8.00E-20
177.10	1.21E-19
177.60	1.48E-19
178.50	7.03E-20
178.90	7.85E-20
179.30	7.11E-20
180.20	1.14E-19
181.10	4.32E-20
182.40	8.23E-20
182.80	4.06E-20
183.60	5.51E-20
183.80	3.23E-20
184.40	3.64E-20
184.60	7.37E-20
185.10	0.00E+00
185.80	0.00E+00
186.30	0.00E+00
186.80	0.00E+00
187.40	0.00E+00
188.00	0.00E+00
188.50	0.00E+00
189.00	0.00E+00
189.30	0.00E+00
190.00	0.00E+00
190.70	0.00E+00
191.10	0.00E+00
191.80	0.00E+00
192.40	0.00E+00
192.70	0.00E+00
193.60	0.00E+00
194.60	0.00E+00
195.10	0.00E+00
195.80	0.00E+00
196.30	0.00E+00
197.10	0.00E+00
197.40	0.00E+00
197.80	0.00E+00
198.10	0.00E+00
199.00	0.00E+00
200.00	0.00E+00
201.10	0.00E+00
230.60	0.00E+00
