Wavelength(nm)	sigma(cm^2)
0.10	0.00E+00
2.36	0.00E+00
3.16	0.00E+00
3.98	0.00E+00
4.27	0.00E+00
4.00	0.00E+00
6.30	0.00E+00
10.00	0.00E+00
15.80	1.44E-34
25.00	0.00E+00
27.80	0.00E+00
30.37	4.44E-34
35.84	2.60E-33
36.30	1.09E-33
37.40	0.00E+00
41.88	0.00E+00
43.40	0.00E+00
45.20	0.00E+00
45.96	0.00E+00
47.50	0.00E+00
50.84	0.00E+00
52.58	0.00E+00
52.95	0.00E+00
53.36	2.35E-33
53.90	0.00E+00
55.50	0.00E+00
57.47	0.00E+00
58.07	3.10E-33
59.96	0.00E+00
60.42	0.00E+00
61.63	0.00E+00
62.93	0.00E+00
63.73	0.00E+00
66.03	0.00E+00
66.19	0.00E+00
67.14	4.20E-33
67.16	0.00E+00
67.94	0.00E+00
68.58	0.00E+00
68.84	0.00E+00
69.85	0.00E+00
71.85	4.66E-33
74.64	0.00E+00
76.40	0.00E+00
76.93	0.00E+00
77.30	2.31E-21
79.67	3.54E-19
80.60	4.30E-19
82.70	1.30E-18
83.30	1.50E-18
84.00	1.88E-18
84.38	2.24E-18
85.06	2.53E-18
85.83	2.96E-18
87.11	4.77E-18
87.55	3.82E-18
87.87	4.25E-18
88.31	4.24E-18
88.74	4.57E-18
90.60	5.22E-18
91.60	5.32E-18
91.98	6.07E-18
93.21	6.74E-18
94.50	9.15E-18
95.19	9.44E-18
95.48	9.47E-18
95.55	9.47E-18
95.85	1.02E-17
96.15	9.52E-18
97.70	7.58E-18
97.80	7.07E-18
97.98	7.08E-18
98.88	5.85E-18
98.98	6.62E-18
99.15	5.08E-18
102.50	5.93E-18
103.63	5.62E-18
103.70	5.35E-18
106.59	5.64E-18
107.18	5.72E-18
108.46	4.59E-18
108.49	4.45E-18
108.55	4.93E-18
113.44	2.38E-18
113.50	2.56E-18
115.20	2.28E-18
115.21	2.34E-18
117.55	2.47E-18
117.64	2.68E-18
117.65	1.82E-18
118.30	2.36E-18
118.45	2.03E-18
118.90	1.58E-18
119.95	1.73E-18
120.07	1.58E-18
120.07	1.72E-18
120.69	1.55E-18
121.55	1.40E-18
121.57	1.28E-18
121.76	1.63E-18
124.33	1.25E-18
127.51	1.03E-18
130.22	8.44E-19
130.49	8.39E-19
130.60	8.36E-19
132.40	7.07E-19
133.00	5.04E-19
133.60	3.72E-19
136.20	0.00E+00
137.00	0.00E+00
138.00	0.00E+00
139.00	0.00E+00
140.00	0.00E+00
141.00	0.00E+00
142.00	0.00E+00
143.00	0.00E+00
144.00	0.00E+00
145.00	0.00E+00
146.00	0.00E+00
147.00	0.00E+00
148.00	0.00E+00
149.00	0.00E+00
150.00	0.00E+00
151.00	0.00E+00
152.00	0.00E+00
153.00	0.00E+00
154.00	0.00E+00
155.00	0.00E+00
156.00	0.00E+00
157.00	0.00E+00
158.00	0.00E+00
159.00	0.00E+00
160.00	0.00E+00
185.00	4.44E-40
210.00	0.00E+00
237.30	0.00E+00
277.00	0.00E+00
