Wavelength(nm)	sigma(cm^2)
0.10	0.00E+00
0.40	0.00E+00
0.75	0.00E+00
1.25	0.00E+00
1.90	0.00E+00
2.69	0.00E+00
3.60	0.00E+00
5.15	0.00E+00
7.25	0.00E+00
9.30	0.00E+00
12.05	0.00E+00
15.15	0.00E+00
17.25	0.00E+00
18.50	0.00E+00
19.75	0.00E+00
21.25	0.00E+00
23.00	0.00E+00
25.00	0.00E+00
25.70	0.00E+00
27.00	0.00E+00
30.38	0.00E+00
43.50	0.00E+00
50.74	1.71E-19
50.77	1.76E-19
50.82	1.77E-19
52.22	4.12E-19
52.58	4.93E-19
53.70	6.89E-19
55.33	1.04E-18
55.41	9.51E-19
55.45	1.05E-18
55.53	1.08E-18
58.27	1.01E-18
58.52	1.01E-18
59.00	1.01E-18
60.50	1.01E-18
61.00	1.01E-18
61.50	1.01E-18
62.00	5.06E-19
62.50	8.73E-19
63.00	8.73E-19
63.69	7.42E-19
64.00	6.89E-19
65.00	5.07E-19
65.95	3.39E-19
66.50	8.73E-19
67.00	5.05E-19
67.50	3.40E-19
67.70	3.39E-19
68.00	6.89E-19
68.20	6.89E-19
68.30	8.74E-19
68.50	6.90E-19
68.60	1.20E-18
68.70	1.20E-18
68.87	1.70E-18
68.93	1.01E-18
68.96	1.38E-18
69.00	1.20E-18
69.04	1.89E-18
69.09	1.01E-18
69.15	1.70E-18
69.21	1.01E-18
69.24	1.01E-18
69.29	1.01E-18
69.32	6.91E-19
69.36	1.38E-18
69.41	2.39E-18
69.44	1.38E-18
69.48	1.70E-18
69.57	5.06E-19
69.62	8.74E-19
69.66	1.38E-18
69.70	6.90E-19
69.73	5.06E-19
69.78	1.89E-18
69.85	5.06E-19
69.90	5.06E-19
69.95	6.89E-19
70.00	1.01E-18
70.05	3.40E-18
70.14	6.89E-19
70.19	1.20E-18
70.23	2.76E-18
70.30	1.20E-18
70.36	8.74E-19
70.41	6.90E-19
70.46	1.01E-18
70.50	1.20E-18
70.58	8.74E-19
70.63	6.90E-19
70.70	9.79E-18
70.76	2.58E-18
70.80	1.20E-18
70.85	5.06E-19
70.90	1.01E-18
70.93	6.89E-19
70.98	1.70E-18
71.06	7.37E-18
71.14	2.21E-18
71.17	1.70E-18
71.20	1.38E-18
71.24	1.20E-18
71.29	1.38E-18
71.33	1.52E-18
71.36	1.20E-18
71.41	5.06E-19
71.46	1.52E-18
71.49	8.73E-19
71.55	8.74E-19
71.60	3.08E-18
71.63	2.21E-18
71.68	1.89E-18
71.75	4.97E-18
71.80	2.58E-18
71.90	3.59E-18
71.94	2.21E-18
71.99	1.70E-18
72.04	3.08E-18
72.08	2.21E-18
72.13	1.20E-18
72.18	4.09E-18
72.23	1.70E-18
72.28	1.52E-18
72.35	2.21E-18
72.40	1.70E-18
72.50	2.39E-18
72.55	2.90E-18
72.62	1.25E-17
72.72	3.27E-18
72.76	6.18E-18
72.80	2.07E-18
72.84	1.38E-18
72.89	1.20E-18
72.94	4.45E-18
73.01	1.89E-18
73.08	1.20E-18
73.16	8.74E-19
73.21	8.73E-19
73.31	8.74E-19
73.36	4.26E-18
73.41	1.38E-18
73.48	8.23E-18
73.51	3.58E-18
73.55	4.96E-18
73.58	1.20E-18
73.62	1.38E-18
73.73	6.90E-19
73.83	3.22E-19
73.91	5.06E-19
73.98	1.52E-18
74.02	5.07E-19
74.07	1.38E-18
74.10	1.70E-18
74.15	8.58E-18
74.20	3.27E-18
74.32	1.01E-18
74.48	8.74E-19
74.51	1.01E-18
74.56	2.90E-18
74.62	2.07E-18
74.70	1.38E-18
74.77	6.97E-18
74.85	3.78E-18
74.95	1.38E-18
75.05	1.01E-18
75.15	1.38E-17
75.25	5.10E-17
75.38	6.36E-18
75.42	5.47E-18
75.47	2.39E-18
75.55	1.01E-18
75.59	5.06E-19
75.70	1.01E-18
75.77	1.01E-18
75.82	1.20E-18
75.86	2.39E-18
75.93	2.58E-18
75.98	2.21E-18
76.05	3.40E-18
76.09	4.77E-18
76.18	4.96E-18
76.24	4.97E-18
76.27	4.95E-18
76.30	4.98E-18
76.34	4.10E-18
76.48	1.42E-17
76.63	5.96E-18
76.70	1.04E-17
76.75	6.67E-18
76.88	2.90E-18
76.93	2.07E-18
76.96	2.76E-18
77.06	3.27E-18
77.13	5.29E-18
77.25	3.08E-18
77.44	5.13E-18
77.55	4.09E-18
77.70	2.89E-18
77.77	4.78E-18
77.90	3.26E-18
78.01	9.06E-18
78.11	4.97E-18
78.30	3.77E-18
78.42	2.77E-18
78.47	2.90E-18
78.60	2.39E-18
78.72	4.95E-18
78.82	3.94E-18
78.92	3.95E-18
79.12	2.56E-18
79.33	2.77E-18
79.51	3.94E-18
79.91	2.38E-18
80.11	3.95E-18
80.30	2.90E-18
80.40	2.90E-18
80.58	2.39E-18
80.72	3.09E-18
80.84	2.76E-18
80.99	2.75E-18
81.23	2.21E-18
81.57	1.89E-18
81.67	1.90E-18
81.82	1.20E-18
81.92	1.20E-18
82.07	1.70E-18
82.18	1.38E-18
82.32	1.01E-18
82.41	8.76E-19
82.62	6.92E-19
82.99	5.07E-19
83.08	5.07E-19
83.32	5.07E-19
83.60	5.07E-19
84.20	6.91E-19
85.00	1.20E-18
85.60	1.38E-18
86.00	1.19E-18
86.60	1.51E-18
86.95	1.69E-18
87.40	2.74E-18
87.60	2.56E-18
88.00	4.57E-18
88.56	7.51E-18
88.63	8.80E-18
88.80	9.03E-18
88.89	9.01E-18
88.94	9.97E-18
88.99	1.11E-17
89.07	1.14E-17
89.12	1.50E-17
89.16	1.38E-17
89.21	1.50E-17
89.26	1.35E-17
89.36	1.81E-17
89.40	1.50E-17
89.50	1.79E-17
89.57	1.80E-17
89.62	1.71E-17
89.69	2.24E-17
89.74	1.98E-17
89.77	2.16E-17
89.81	2.14E-17
89.90	2.36E-17
90.03	2.81E-17
90.08	4.44E-17
90.11	4.07E-17
90.16	4.51E-17
90.19	3.46E-17
90.24	3.91E-17
90.29	3.59E-17
90.34	4.43E-17
90.37	3.29E-17
90.41	5.01E-17
90.46	4.26E-17
90.49	3.85E-17
90.52	4.74E-17
90.58	3.54E-17
90.61	3.49E-17
90.64	4.12E-17
90.73	3.82E-17
90.83	3.36E-17
90.87	3.88E-17
90.90	3.42E-17
90.94	4.10E-17
91.00	2.91E-17
91.15	4.73E-17
91.30	2.57E-17
91.40	3.25E-17
91.50	4.08E-17
91.60	4.09E-17
91.70	2.03E-17
91.80	4.13E-17
91.90	3.17E-17
92.00	4.80E-17
92.10	2.31E-17
92.20	5.43E-17
92.25	2.28E-17
92.32	6.94E-17
92.40	2.69E-17
92.45	3.69E-17
92.50	2.05E-17
92.60	4.48E-17
92.70	4.51E-17
92.80	2.40E-17
92.90	5.04E-17
93.00	4.42E-17
93.05	2.04E-17
93.15	4.13E-17
93.22	1.82E-17
93.30	4.00E-17
93.35	5.06E-17
93.40	4.06E-17
93.45	3.26E-17
93.50	4.34E-17
93.55	2.30E-17
93.65	4.21E-17
93.70	2.58E-17
93.80	5.19E-17
93.90	3.84E-17
94.00	4.44E-17
94.08	5.40E-17
94.15	2.76E-17
94.25	5.02E-17
94.30	4.43E-17
94.40	3.41E-17
94.50	3.96E-17
94.60	3.03E-17
94.65	4.80E-17
94.70	2.93E-17
94.75	3.34E-17
94.85	2.05E-17
94.95	3.94E-17
95.00	2.14E-17
95.10	3.99E-17
95.20	6.33E-17
95.30	6.25E-17
95.45	3.40E-17
95.55	6.22E-17
95.60	2.88E-17
95.70	5.01E-17
95.80	2.91E-17
95.87	5.57E-17
95.97	2.37E-17
96.10	7.98E-17
96.20	3.43E-17
96.30	5.43E-17
96.40	4.13E-17
96.50	2.75E-17
96.60	2.54E-17
96.80	2.11E-17
96.95	3.72E-17
97.15	2.60E-17
97.20	2.83E-17
97.40	1.46E-17
97.50	2.85E-17
97.60	2.63E-17
97.70	3.49E-17
97.75	2.87E-17
97.90	2.88E-17
97.95	3.82E-17
98.00	2.89E-17
98.06	2.19E-17
98.15	1.06E-16
98.25	7.69E-17
98.45	2.21E-17
98.60	1.82E-17
98.70	3.41E-17
98.80	1.99E-17
98.90	3.11E-17
99.00	2.08E-17
99.20	6.51E-17
99.30	4.52E-17
99.45	9.71E-17
99.60	4.79E-17
99.75	2.77E-17
99.90	2.62E-17
100.00	2.87E-17
100.10	3.53E-17
100.20	2.63E-17
100.30	3.38E-17
100.45	2.07E-17
100.50	3.06E-17
100.75	9.14E-17
101.00	2.09E-17
101.30	2.27E-17
101.40	3.11E-17
101.50	1.94E-17
101.80	2.03E-17
101.90	2.88E-17
102.05	1.11E-16
102.20	3.16E-17
102.40	2.32E-17
102.50	1.55E-17
102.60	2.33E-17
102.80	1.82E-17
103.05	1.05E-17
103.30	5.28E-17
103.50	6.03E-17
103.75	8.93E-18
103.90	1.26E-17
104.05	1.08E-17
104.10	1.72E-17
104.30	9.08E-18
104.40	1.00E-17
104.50	1.10E-17
104.75	4.79E-17
105.00	8.99E-18
105.20	1.07E-17
105.40	4.03E-17
105.50	1.41E-17
105.70	1.04E-17
105.90	1.90E-17
106.10	6.47E-17
106.20	1.14E-17
106.30	1.24E-17
106.50	7.47E-18
106.70	9.61E-18
106.75	4.71E-17
106.90	1.93E-17
107.00	2.13E-17
107.20	9.43E-18
107.35	3.12E-17
107.50	4.61E-17
107.75	9.58E-18
108.00	9.94E-18
108.20	1.30E-17
108.30	3.20E-17
108.60	8.60E-18
108.70	3.70E-17
108.80	2.44E-16
109.00	3.10E-17
109.10	1.70E-17
109.20	1.20E-17
109.30	2.00E-17
109.40	1.20E-17
109.50	6.70E-18
109.70	6.30E-18
109.80	5.40E-18
110.00	6.50E-18
110.20	1.00E-17
110.30	1.60E-17
110.45	8.20E-18
110.60	3.10E-17
110.70	8.90E-18
110.90	1.00E-17
111.15	4.30E-17
111.40	2.90E-17
111.70	3.70E-17
112.00	6.80E-17
112.25	2.00E-16
112.50	4.50E-17
112.70	5.40E-17
112.80	1.10E-16
112.90	1.20E-16
113.15	3.70E-17
113.25	2.30E-17
113.55	2.00E-17
113.70	1.20E-17
113.80	2.60E-18
114.00	2.00E-17
114.20	1.80E-17
114.50	3.70E-18
114.65	2.40E-18
114.80	5.20E-18
