Wavelength(nm)	sigma(cm^2)
0.1	0.00E+00
0.2	0.00E+00
0.4	0.00E+00
0.75	0.00E+00
1.25	0.00E+00
1.9	0.00E+00
2.69	0.00E+00
3.6	0.00E+00
5.15	0.00E+00
7.25	0.00E+00
8.96	0.00E+00
9.95	0.00E+00
10.94	0.00E+00
11.93	0.00E+00
12.92	0.00E+00
13.92	0.00E+00
14.92	0.00E+00
15.9	0.00E+00
16.89	0.00E+00
17.88	0.00E+00
18.87	0.00E+00
19.86	0.00E+00
20.85	0.00E+00
21.84	0.00E+00
22.84	0.00E+00
23.83	0.00E+00
24.82	0.00E+00
25.8	0.00E+00
26.8	0.00E+00
27.79	0.00E+00
28.78	0.00E+00
29.77	0.00E+00
30.76	0.00E+00
32.9	0.00E+00
33.73	0.00E+00
35.14	0.00E+00
36.3	0.00E+00
37.47	0.00E+00
38.14	0.00E+00
39	0.00E+00
40.54	0.00E+00
41	0.00E+00
41.59	0.00E+00
43.67	0.00E+00
44.22	0.00E+00
44.7	0.00E+00
44.97	0.00E+00
45.75	0.00E+00
45.93	0.00E+00
46.2	0.00E+00
46.54	0.00E+00
47.15	0.00E+00
47.53	0.00E+00
47.94	0.00E+00
48.66	0.00E+00
49.17	0.00E+00
49.59	0.00E+00
50.02	0.00E+00
50.85	0.00E+00
51.4	0.00E+00
51.94	0.00E+00
52.65	0.00E+00
53.85	0.00E+00
54.47	0.00E+00
54.89	0.00E+00
55.14	0.00E+00
55.55	0.00E+00
55.85	0.00E+00
56.45	0.00E+00
58.43	0.00E+00
59	0.00E+00
59.78	0.00E+00
59.96	0.00E+00
60	0.00E+00
60.84	0.00E+00
61	0.00E+00
61.08	0.00E+00
61.5	0.00E+00
61.7	0.00E+00
62	0.00E+00
62.46	0.00E+00
62.51	0.00E+00
62.59	0.00E+00
62.7	0.00E+00
62.97	0.00E+00
63	0.00E+00
63.85	0.00E+00
63.9	0.00E+00
64.12	0.00E+00
64.24	0.00E+00
64.3	0.00E+00
64.56	0.00E+00
64.75	0.00E+00
65	0.00E+00
65.35	0.00E+00
65.44	0.00E+00
65.5	0.00E+00
65.6	0.00E+00
65.78	0.00E+00
66	0.00E+00
66.37	0.00E+00
66.47	0.00E+00
66.8	0.00E+00
67.05	0.00E+00
67.22	0.00E+00
67.5	0.00E+00
67.6	0.00E+00
68	0.00E+00
68.1	0.00E+00
68.27	0.00E+00
68.7	0.00E+00
69.1	0.00E+00
69.25	0.00E+00
70	0.00E+00
70.5	0.00E+00
70.65	0.00E+00
70.8	0.00E+00
71	0.00E+00
71.2	0.00E+00
71.35	0.00E+00
71.65	0.00E+00
71.7	0.00E+00
71.9	0.00E+00
72.1	0.00E+00
72.3	0.00E+00
72.4	0.00E+00
72.59	0.00E+00
72.7	0.00E+00
72.75	0.00E+00
72.95	0.00E+00
73.02	0.00E+00
73.2	0.00E+00
73.25	0.00E+00
73.32	0.00E+00
73.4	0.00E+00
73.73	0.00E+00
73.83	0.00E+00
73.95	0.00E+00
74.04	0.00E+00
74.15	0.00E+00
74.45	0.00E+00
74.52	0.00E+00
74.62	0.00E+00
74.72	0.00E+00
74.83	0.00E+00
74.92	0.00E+00
74.95	0.00E+00
74.99	0.00E+00
75.12	0.00E+00
75.2	0.00E+00
75.3	0.00E+00
75.45	0.00E+00
75.52	0.00E+00
75.61	0.00E+00
75.72	0.00E+00
75.85	0.00E+00
75.87	0.00E+00
75.9	0.00E+00
75.94	0.00E+00
76.03	0.00E+00
76.04	0.00E+00
76.07	0.00E+00
76.11	0.00E+00
76.2	0.00E+00
76.3	0.00E+00
76.33	0.00E+00
76.38	0.00E+00
76.41	0.00E+00
76.44	0.00E+00
76.51	0.00E+00
76.65	0.00E+00
76.7	0.00E+00
76.75	0.00E+00
76.78	0.00E+00
77	0.00E+00
77.11	0.00E+00
77.16	0.00E+00
77.25	0.00E+00
77.31	0.00E+00
77.34	0.00E+00
77.42	0.00E+00
77.45	0.00E+00
77.46	0.00E+00
77.52	0.00E+00
77.64	0.00E+00
77.8	0.00E+00
77.95	0.00E+00
78	0.00E+00
78.05	0.00E+00
78.17	0.00E+00
78.21	0.00E+00
78.28	0.00E+00
78.44	0.00E+00
78.5	1.05E-19
78.61	1.00E-19
78.77	1.61E-19
78.9	1.57E-18
79.02	1.21E-19
79.06	1.21E-18
79.15	2.60E-18
79.32	9.36E-19
79.4	1.43E-18
79.51	8.52E-19
79.56	1.16E-18
79.6	1.37E-18
79.68	6.77E-18
79.73	5.59E-18
79.8	1.41E-17
79.9	2.75E-18
79.97	2.29E-18
80.07	3.75E-18
80.3	1.24E-18
80.47	2.15E-18
80.53	9.98E-18
80.62	3.07E-18
80.71	2.12E-17
80.85	2.71E-18
81.02	1.79E-18
81.1	2.53E-18
81.3	1.04E-18
81.44	6.42E-18
81.64	1.66E-18
81.7	2.23E-18
81.8	2.60E-17
81.85	3.34E-18
81.98	2.21E-18
82.1	1.69E-18
82.15	1.97E-18
82.3	1.52E-19
82.45	1.46E-17
82.54	5.58E-18
82.64	5.99E-18
82.7	2.87E-18
82.78	1.49E-17
82.9	1.10E-18
82.99	6.04E-18
83.08	3.78E-18
83.24	3.35E-18
83.35	7.20E-19
83.37	1.81E-18
83.45	1.14E-18
83.52	6.88E-19
83.62	8.45E-18
83.85	2.69E-18
84	1.07E-19
84.12	3.11E-18
84.3	1.52E-18
84.4	2.93E-18
84.5	9.28E-19
84.57	1.87E-18
84.63	1.32E-18
84.68	4.18E-19
84.8	4.95E-18
84.85	7.06E-18
84.9	4.64E-18
85.1	1.00E-17
85.19	8.40E-18
85.23	8.22E-18
85.27	8.04E-18
85.36	6.73E-18
85.42	6.53E-18
85.62	7.17E-18
85.72	6.75E-18
85.8	2.72E-18
85.83	1.77E-18
85.9	2.05E-18
86	6.22E-18
86.02	9.25E-18
86.12	6.86E-18
86.3	1.32E-17
86.35	1.36E-17
86.46	1.12E-17
86.55	1.82E-17
86.65	1.73E-17
86.7	1.94E-17
86.77	1.10E-17
86.9	1.00E-17
87	1.10E-17
87.07	9.51E-18
87.15	1.67E-17
87.23	7.63E-18
87.35	9.49E-18
87.4	8.49E-18
87.5	4.39E-18
87.6	1.05E-17
87.7	1.25E-17
87.75	1.75E-17
87.83	1.66E-17
88	1.27E-17
88.09	1.82E-17
88.12	2.53E-17
88.4	1.16E-17
88.45	7.44E-18
88.52	2.34E-17
88.7	2.77E-17
88.9	6.44E-17
89	5.92E-17
89.03	6.59E-17
89.3	2.29E-17
89.4	3.83E-17
89.5	2.90E-17
89.67	8.56E-17
89.88	2.27E-17
89.92	1.54E-17
90.02	3.76E-17
90.13	2.38E-17
90.2	3.24E-17
90.32	3.52E-17
90.42	2.21E-17
90.5	7.15E-17
90.58	3.46E-17
90.62	4.39E-17
90.71	3.72E-17
90.83	5.65E-17
90.88	5.51E-17
90.91	6.44E-17
91.03	1.71E-17
91.22	2.87E-17
91.35	6.44E-17
91.5	1.86E-17
91.56	4.35E-17
91.65	1.49E-17
91.75	6.62E-17
92.12	1.71E-17
92.2	6.17E-18
92.25	2.73E-17
92.31	2.49E-17
92.35	2.85E-17
92.37	1.37E-17
92.42	3.63E-17
92.43	9.40E-18
92.48	3.46E-17
92.72	1.25E-17
92.9	2.00E-17
93.05	3.35E-17
93.5	2.15E-17
93.59	2.92E-17
93.73	1.56E-17
94.4	1.20E-17
94.72	1.67E-17
94.82	3.50E-17
94.86	3.70E-17
95.35	5.58E-18
95.92	4.91E-18
96.1	2.79E-17
96.3	4.09E-18
96.5	2.94E-17
96.65	1.09E-17
97.12	3.54E-18
97.25	3.52E-18
97.7	2.80E-19
97.75	2.57E-17
97.9	2.03E-17
98.3	4.47E-18
98.98	2.45E-18
99.15	1.20E-18
99.58	2.03E-18
102.57	1.50E-20
103.76	1.50E-20
103.8	1.00E-35
111.78	1.00E-35
