Wavelength(nm)	sigma(cm^2)
0.10	2.50E-24
0.50	2.52E-22
1.00	1.72E-21
2.00	3.34E-21
2.25	1.44E-20
2.35	7.49E-22
10.00	3.56E-20
18.00	1.57E-19
20.00	1.82E-19
22.00	2.16E-19
24.00	2.54E-19
26.00	2.83E-19
28.00	3.34E-19
30.00	3.59E-19
32.00	3.84E-19
34.00	4.24E-19
36.00	4.62E-19
38.00	5.06E-19
40.00	5.58E-19
42.00	6.19E-19
44.00	6.95E-19
46.00	7.32E-19
48.00	7.40E-19
50.00	7.78E-19
52.00	8.21E-19
54.00	8.74E-19
56.00	9.23E-19
58.00	9.65E-19
60.00	1.01E-18
62.00	1.00E-18
64.00	9.76E-19
66.00	1.01E-18
68.00	1.70E-18
70.00	1.59E-18
72.00	1.62E-18
72.28	1.62E-18
73.45	1.60E-18
74.20	1.40E-18
75.00	1.65E-18
75.87	1.23E-18
76.66	1.28E-18
77.67	9.49E-19
78.40	8.26E-19
79.36	7.26E-19
80.00	6.53E-19
80.25	6.77E-19
80.86	7.78E-19
81.56	9.03E-19
82.22	1.03E-18
82.97	1.18E-18
83.37	1.20E-18
83.65	1.38E-18
84.42	1.65E-18
84.88	1.55E-18
85.11	1.93E-18
85.26	1.78E-18
85.52	1.82E-18
85.75	2.08E-18
85.92	2.07E-18
86.10	1.83E-18
86.25	2.01E-18
86.50	2.21E-18
86.68	2.20E-18
86.79	2.25E-18
87.02	2.52E-18
87.24	2.53E-18
87.41	2.56E-18
87.77	2.56E-18
87.90	2.63E-18
88.33	2.58E-18
88.58	3.10E-18
88.74	2.87E-18
89.14	2.89E-18
89.30	3.41E-18
89.44	3.33E-18
90.03	3.56E-18
90.30	2.84E-18
90.50	2.81E-18
90.81	3.77E-18
90.90	3.82E-18
91.00	3.74E-18
91.15	3.27E-18
91.55	3.51E-18
91.67	4.16E-18
91.75	3.90E-18
91.86	3.76E-18
92.38	3.49E-18
92.53	3.79E-18
92.62	4.27E-18
92.74	3.93E-18
93.00	3.07E-18
93.24	3.94E-18
93.38	3.94E-18
93.48	3.85E-18
93.63	3.61E-18
94.12	3.82E-18
94.26	3.95E-18
94.34	3.49E-18
94.53	3.30E-18
94.80	3.22E-18
94.94	3.40E-18
95.11	3.21E-18
95.21	3.21E-18
95.82	3.11E-18
95.98	3.22E-18
96.08	2.85E-18
96.33	2.95E-18
96.54	2.67E-18
96.73	2.90E-18
96.84	2.89E-18
97.00	2.13E-18
97.72	2.43E-18
97.80	2.48E-18
98.40	1.32E-18
100.00	8.00E-19
102.00	5.00E-19
104.00	3.00E-19
106.00	1.90E-19
106.50	3.35E-19
107.00	2.30E-19
107.50	1.05E-18
108.00	3.70E-19
108.50	5.20E-19
109.00	1.10E-18
109.50	4.10E-19
110.00	3.70E-19
110.50	2.40E-19
111.00	1.80E-18
111.20	1.90E-18
111.50	1.80E-18
111.80	3.00E-19
112.00	1.85E-18
112.50	1.80E-18
112.60	1.90E-18
113.00	7.40E-19
113.50	2.20E-19
114.00	1.70E-19
115.00	4.10E-19
116.00	1.85E-19
117.20	7.80E-19
118.00	2.60E-19
119.00	1.10E-18
120.00	6.00E-19
120.50	3.70E-19
121.00	7.40E-19
121.50	1.70E-18
121.80	1.85E-18
122.00	1.30E-18
122.50	3.70E-19
123.00	2.60E-19
123.50	7.40E-19
124.00	1.40E-18
124.50	5.60E-19
125.00	6.70E-19
130.00	7.00E-19
130.40	7.00E-19
130.41	1.75E-18
135.00	8.75E-19
140.00	2.00E-19
143.00	1.25E-19
145.00	0.00E+00
150.00	0.00E+00
155.00	0.00E+00
160.00	0.00E+00
165.00	0.00E+00
170.00	0.00E+00
175.00	0.00E+00
180.00	0.00E+00
185.00	0.00E+00
186.00	0.00E+00
186.05	0.00E+00
242.46	0.00E+00
