Wavelength(nm)	sigma(cm^2)
0.10	0.00E+00
1.00	0.00E+00
5.00	0.00E+00
10.00	0.00E+00
20.00	0.00E+00
20.93	0.00E+00
23.42	0.00E+00
23.96	0.00E+00
24.72	0.00E+00
26.05	0.00E+00
26.63	0.00E+00
28.35	0.00E+00
29.76	0.00E+00
30.31	0.00E+00
31.49	0.00E+00
32.36	0.00E+00
33.51	0.00E+00
34.51	0.00E+00
35.85	0.00E+00
36.29	0.00E+00
37.49	0.00E+00
38.74	0.00E+00
42.82	0.00E+00
43.43	0.00E+00
45.22	0.00E+00
50.00	0.00E+00
55.00	0.00E+00
58.40	0.00E+00
60.00	0.00E+00
65.00	0.00E+00
70.00	0.00E+00
75.00	0.00E+00
77.00	0.00E+00
77.15	0.00E+00
77.70	0.00E+00
77.83	0.00E+00
78.50	0.00E+00
78.61	0.00E+00
79.30	0.00E+00
79.46	0.00E+00
80.20	0.00E+00
80.41	0.00E+00
81.30	0.00E+00
81.47	0.00E+00
82.30	0.00E+00
82.64	0.00E+00
83.80	0.00E+00
83.92	0.00E+00
84.40	0.00E+00
84.48	0.00E+00
84.48	1.00E-35
92.99	1.00E-35
93.09	2.72E-17
93.19	1.00E-35
93.72	1.00E-35
93.82	3.41E-17
93.92	1.00E-35
94.48	1.00E-35
94.58	4.09E-17
94.68	1.00E-35
95.36	1.00E-35
95.46	4.95E-17
95.56	1.00E-35
96.22	1.00E-35
96.32	6.00E-17
96.42	1.00E-35
97.12	1.00E-35
97.22	5.45E-17
97.32	1.00E-35
98.07	1.00E-35
98.17	6.65E-17
98.27	1.00E-35
99.06	1.00E-35
99.16	7.94E-17
99.26	1.00E-35
100.11	1.00E-35
100.21	6.20E-17
100.31	1.00E-35
101.21	1.00E-35
101.31	5.00E-17
101.41	1.00E-35
102.37	1.00E-35
102.47	7.46E-18
102.57	1.00E-35
103.59	1.00E-35
103.69	4.05E-18
103.79	1.00E-35
104.87	1.00E-35
104.97	3.19E-19
105.07	1.00E-35
106.23	1.00E-35
106.33	1.96E-20
106.43	1.00E-35
107.66	1.00E-35
107.76	1.52E-21
107.86	1.00E-35
109.16	1.00E-35
109.26	3.96E-24
109.36	1.00E-35
110.76	1.00E-35
110.86	5.25E-26
110.96	1.00E-35
276.88	1.00E-35
