"Wavelength (nm)","σ (cm^2)"
0.1,4.00E-23
1.0,4.60E-20
4.1,1.30E-19
4.3,8.70E-20
5.0,1.40E-19
10.0,6.80E-19
18.0,4.50E-18
20.0,5.00E-18
25.0,7.50E-18
30.0,1.20E-17
35.0,1.75E-17
40.0,2.45E-17
45.0,3.20E-17
50.0,3.80E-17
55.0,4.12E-17
56.4,4.25E-17
62.0,4.95E-17
68.9,5.60E-17
70.6,5.75E-17
77.5,5.40E-17
83.8,5.95E-17
88.2,4.75E-17
88.6,4.70E-17
89.8,4.48E-17
91.8,4.10E-17
94.5,3.92E-17
96.4,3.80E-17
101.6,5.55E-17
103.3,5.45E-17
106.5,2.40E-17
106.6,2.42E-17
108.5,1.95E-17
109.6,1.74E-17
110.5,1.86E-17
111.5,1.83E-17
112.3,1.72E-17
112.7,1.35E-17
114.9,1.42E-17
115.0,1.52E-17
117.8,1.79E-17
118.0,1.87E-17
118.6,2.09E-17
119.1,1.96E-17
120.1,2.21E-17
120.3,2.05E-17
120.8,2.47E-17
121.3,2.10E-17
122.2,2.82E-17
122.4,2.78E-17
122.6,2.92E-17
122.8,3.05E-17
123.1,2.39E-17
124.1,3.05E-17
124.4,2.72E-17
124.8,3.48E-17
125.1,2.64E-17
125.4,2.54E-17
125.6,2.70E-17
126.3,2.71E-17
126.4,2.80E-17
127.1,2.79E-17
127.3,2.53E-17
127.6,2.93E-17
128.0,2.82E-17
128.4,3.29E-17
129.4,1.60E-17
129.8,1.42E-17
130.2,1.62E-17
131.2,1.20E-17
131.7,1.56E-17
132.3,1.50E-17
133.0,1.66E-17
133.5,2.05E-17
133.8,1.95E-17
134.2,2.20E-17
135.2,1.10E-17
135.6,2.99E-17
136.0,2.86E-17
136.4,3.00E-17
136.6,2.43E-17
137.0,2.56E-17
137.6,6.29E-18
138.3,3.58E-17
138.8,2.33E-17
139.0,3.15E-17
139.5,6.40E-18
140.1,6.33E-18
140.2,5.06E-18
140.8,4.73E-18
141.4,8.90E-18
142.1,6.25E-18
142.8,1.00E-17
143.3,8.23E-18
144.2,1.18E-17
144.5,9.90E-18
145.2,1.23E-17
146.0,1.26E-17
147.3,1.50E-17
147.6,1.47E-17
148.7,1.79E-17
149.5,1.74E-17
150.0,1.90E-17
150.9,1.81E-17
152.1,2.12E-17
152.6,2.01E-17
153.3,2.21E-17
153.6,2.15E-17
155.4,2.48E-17
155.9,2.26E-17
156.7,2.67E-17
157.5,2.27E-17
158.6,2.94E-17
159.2,2.67E-17
160.0,3.23E-17
160.9,2.69E-17
161.8,3.83E-17
162.6,3.04E-17
163.4,3.89E-17
164.4,2.76E-17
165.3,4.57E-17
166.0,2.93E-17
166.6,4.46E-17
167.6,2.26E-17
168.3,2.01E-17
169.1,5.00E-17
169.8,2.57E-17
170.4,5.65E-17
171.1,1.98E-17
172.2,1.08E-17
173.2,4.04E-17
173.8,1.58E-17
174.4,5.19E-17
175.2,8.71E-18
177.0,2.74E-18
177.9,3.42E-18
179.3,1.57E-18
180.2,1.63E-18
181.8,6.36E-19
182.7,8.93E-19
184.7,2.42E-19
185.5,4.16E-19
187.3,1.23E-19
188.1,1.49E-19
189.6,3.91E-20
190.7,5.29E-20
192.9,1.30E-20
193.9,2.38E-20
195.8,5.60E-20
197.3,8.60E-20
196.0,1.00E-35
720.0,1.00E-35
