"Wavelength (nm)","σ (cm^2)"
0.1,1.00E-21
0.4,1.20E-20
0.75,7.50E-20
1.25,2.70E-19
1.9,7.00E-19
2.69,9.00E-20
3.6,2.00E-19
5.15,4.40E-19
7.25,8.00E-19
9.3,1.40E-18
12.05,2.20E-18
15.15,4.20E-18
17.25,1.10E-17
18.5,1.90E-17
19.75,1.90E-17
21.25,1.90E-17
23.0,2.50E-17
25.0,2.60E-17
25.7,2.60E-17
27.0,2.60E-17
30.38,2.34E-17
43.5,2.76E-17
50.74,3.00E-17
50.77,3.00E-17
50.82,2.89E-17
52.22,2.98E-17
52.58,3.12E-17
53.7,3.14E-17
55.33,3.38E-17
55.41,3.04E-17
55.45,3.32E-17
55.53,3.39E-17
58.27,2.15E-17
58.52,2.26E-17
59.0,2.30E-17
60.5,2.41E-17
61.0,2.38E-17
61.5,2.49E-17
62.0,2.23E-17
62.5,2.20E-17
63.0,2.20E-17
63.69,2.17E-17
64.0,2.16E-17
65.0,2.12E-17
65.95,2.04E-17
66.5,2.20E-17
67.0,2.08E-17
67.5,2.15E-17
67.7,2.12E-17
68.0,2.01E-17
68.2,2.16E-17
68.3,2.42E-17
68.5,2.34E-17
68.6,2.19E-17
68.7,2.49E-17
68.87,2.60E-17
68.93,2.49E-17
68.96,2.64E-17
69.0,1.86E-17
69.04,2.90E-17
69.09,2.01E-17
69.15,2.90E-17
69.21,1.71E-17
69.24,2.93E-17
69.29,2.79E-17
69.32,2.05E-17
69.36,1.60E-17
69.41,4.13E-17
69.44,2.75E-17
69.48,3.35E-17
69.57,1.78E-17
69.62,2.01E-17
69.66,4.47E-17
69.7,2.27E-17
69.73,2.19E-17
69.78,2.42E-17
69.85,1.82E-17
69.9,1.60E-17
69.95,1.79E-17
70.0,1.97E-17
70.05,6.91E-17
70.14,2.01E-17
70.19,2.19E-17
70.23,3.98E-17
70.3,2.19E-17
70.36,2.09E-17
70.41,1.86E-17
70.46,2.19E-17
70.5,2.08E-17
70.58,1.79E-17
70.63,1.97E-17
70.7,8.44E-17
70.76,3.72E-17
70.8,2.19E-17
70.85,1.82E-17
70.9,2.45E-17
70.93,2.16E-17
70.98,2.79E-17
71.06,6.58E-17
71.14,2.97E-17
71.17,2.42E-17
71.2,2.09E-17
71.24,1.82E-17
71.29,1.86E-17
71.33,2.04E-17
71.36,1.82E-17
71.41,1.45E-17
71.46,2.49E-17
71.49,1.98E-17
71.55,1.86E-17
71.6,3.50E-17
71.63,2.67E-17
71.68,2.72E-17
71.75,5.17E-17
71.8,3.13E-17
71.9,3.98E-17
71.94,2.86E-17
71.99,2.45E-17
72.04,3.72E-17
72.08,3.01E-17
72.13,2.01E-17
72.18,4.09E-17
72.23,2.38E-17
72.28,1.78E-17
72.35,2.41E-17
72.4,2.08E-17
72.5,3.27E-17
72.55,4.16E-17
72.62,8.07E-17
72.72,3.80E-17
72.76,5.28E-17
72.8,2.87E-17
72.84,2.35E-17
72.89,1.97E-17
72.94,3.50E-17
73.01,2.23E-17
73.08,1.71E-17
73.16,1.38E-17
73.21,1.75E-17
73.31,1.53E-17
73.36,3.91E-17
73.41,2.12E-17
73.48,4.84E-17
73.51,3.35E-17
73.55,3.94E-17
73.58,2.23E-17
73.62,2.09E-17
73.73,1.49E-17
73.83,1.15E-17
73.91,1.23E-17
73.98,2.12E-17
74.02,1.49E-17
74.07,1.94E-17
74.1,1.93E-17
74.15,5.02E-17
74.2,2.46E-17
74.32,1.60E-17
74.48,1.27E-17
74.51,1.56E-17
74.56,2.90E-17
74.62,2.53E-17
74.7,1.90E-17
74.77,4.94E-17
74.85,2.72E-17
74.95,1.71E-17
75.05,1.30E-17
75.15,4.49E-17
75.25,3.17E-16
75.38,5.17E-17
75.42,6.47E-17
75.47,3.98E-17
75.55,3.27E-17
75.59,3.16E-17
75.7,2.30E-17
75.77,2.04E-17
75.82,2.34E-17
75.86,3.46E-17
75.93,3.16E-17
75.98,2.97E-17
76.05,4.72E-17
76.09,4.42E-17
76.18,4.17E-17
76.24,4.69E-17
76.27,4.46E-17
76.3,4.61E-17
76.34,3.87E-17
76.48,8.22E-17
76.63,5.09E-17
76.7,6.29E-17
76.75,4.80E-17
76.88,2.79E-17
76.93,2.53E-17
76.96,2.53E-17
77.06,2.87E-17
77.13,4.01E-17
77.25,2.57E-17
77.44,3.54E-17
77.55,2.86E-17
77.7,2.45E-17
77.77,3.49E-17
77.9,3.61E-17
78.01,5.06E-17
78.11,3.27E-17
78.3,2.31E-17
78.42,2.05E-17
78.47,2.34E-17
78.6,2.01E-17
78.72,4.06E-17
78.82,2.72E-17
78.92,2.53E-17
79.12,1.94E-17
79.33,2.05E-17
79.51,2.42E-17
79.91,1.86E-17
80.11,2.31E-17
80.3,1.93E-17
80.4,1.93E-17
80.58,1.71E-17
80.72,1.93E-17
80.84,1.83E-17
80.99,1.94E-17
81.23,1.71E-17
81.57,1.64E-17
81.67,1.79E-17
81.82,1.45E-17
81.92,1.52E-17
82.07,1.71E-17
82.18,1.53E-17
82.32,1.37E-17
82.41,1.49E-17
82.62,1.30E-17
82.99,1.26E-17
83.08,1.23E-17
83.32,1.34E-17
83.6,1.30E-17
84.2,1.41E-17
85.0,1.64E-17
85.6,1.79E-17
86.0,2.05E-17
86.6,2.52E-17
86.95,2.82E-17
87.4,3.31E-17
87.6,3.65E-17
88.0,4.27E-17
88.56,5.40E-17
88.63,5.87E-17
88.8,6.14E-17
88.89,6.17E-17
88.94,6.39E-17
88.99,6.14E-17
89.07,6.43E-17
89.12,7.21E-17
89.16,6.32E-17
89.21,6.95E-17
89.26,6.62E-17
89.36,8.11E-17
89.4,7.14E-17
89.5,8.15E-17
89.57,7.55E-17
89.62,7.74E-17
89.69,8.78E-17
89.74,7.84E-17
89.77,8.45E-17
89.81,8.00E-17
89.9,9.18E-17
90.03,8.29E-17
90.08,1.07E-16
90.11,9.29E-17
90.16,1.00E-16
90.19,7.70E-17
90.24,8.63E-17
90.29,7.84E-17
90.34,9.56E-17
90.37,7.10E-17
90.41,1.08E-16
90.46,9.19E-17
90.49,8.29E-17
90.52,1.02E-16
90.58,7.62E-17
90.61,7.51E-17
90.64,8.85E-17
90.73,8.18E-17
90.83,7.18E-17
90.87,8.29E-17
90.9,7.29E-17
90.94,8.74E-17
91.0,6.20E-17
91.15,1.00E-16
91.3,5.40E-17
91.4,6.80E-17
91.5,8.50E-17
91.6,8.50E-17
91.7,4.20E-17
91.8,8.50E-17
91.9,6.50E-17
92.0,9.80E-17
92.1,4.70E-17
92.2,1.10E-16
92.25,4.60E-17
92.32,1.40E-16
92.4,5.40E-17
92.45,7.40E-17
92.5,4.10E-17
92.6,8.90E-17
92.7,8.90E-17
92.8,4.70E-17
92.9,9.80E-17
93.0,8.50E-17
93.05,3.90E-17
93.15,7.80E-17
93.22,3.40E-17
93.3,7.40E-17
93.35,9.30E-17
93.4,7.40E-17
93.45,5.90E-17
93.5,7.80E-17
93.55,4.10E-17
93.65,7.40E-17
93.7,4.50E-17
93.8,8.90E-17
93.9,6.50E-17
94.0,7.40E-17
94.08,8.90E-17
94.15,4.50E-17
94.25,8.10E-17
94.3,7.10E-17
94.4,5.40E-17
94.5,6.20E-17
94.6,4.70E-17
94.65,7.40E-17
94.7,4.50E-17
94.75,5.10E-17
94.85,3.10E-17
94.95,5.90E-17
95.0,3.20E-17
95.1,5.90E-17
95.2,9.30E-17
95.3,9.10E-17
95.45,4.90E-17
95.55,8.90E-17
95.6,4.10E-17
95.7,7.10E-17
95.8,4.10E-17
95.87,7.80E-17
95.97,3.30E-17
96.1,1.10E-16
96.2,4.70E-17
96.3,7.40E-17
96.4,5.60E-17
96.5,3.70E-17
96.6,3.40E-17
96.8,2.80E-17
96.95,4.90E-17
97.15,3.40E-17
97.2,3.70E-17
97.4,1.90E-17
97.5,3.70E-17
97.6,3.40E-17
97.7,4.50E-17
97.75,3.70E-17
97.9,3.70E-17
97.95,4.90E-17
98.0,3.70E-17
98.06,2.80E-17
98.15,1.35E-16
98.25,9.80E-17
98.45,2.80E-17
98.6,2.30E-17
98.7,4.30E-17
98.8,2.50E-17
98.9,3.90E-17
99.0,2.60E-17
99.2,8.10E-17
99.3,5.60E-17
99.45,1.20E-16
99.6,5.90E-17
99.75,3.40E-17
99.9,3.20E-17
100.0,3.50E-17
100.1,4.30E-17
100.2,3.20E-17
100.3,4.10E-17
100.45,2.50E-17
100.5,3.70E-17
100.75,1.10E-16
101.0,2.50E-17
101.3,2.70E-17
101.4,3.70E-17
101.5,2.30E-17
101.8,2.40E-17
101.9,3.40E-17
102.05,1.30E-16
102.2,3.70E-17
102.4,2.70E-17
102.5,1.80E-17
102.6,2.70E-17
102.8,2.10E-17
103.05,1.20E-17
103.3,6.00E-17
103.5,6.81E-17
103.75,1.00E-17
103.9,1.40E-17
104.05,1.20E-17
104.1,1.91E-17
104.3,1.00E-17
104.4,1.10E-17
104.5,1.20E-17
104.75,5.20E-17
105.0,9.70E-18
105.2,1.15E-17
105.4,4.30E-17
105.5,1.50E-17
105.7,1.10E-17
105.9,2.00E-17
106.1,6.80E-17
106.2,1.20E-17
106.3,1.30E-17
106.5,7.80E-18
106.7,1.00E-17
106.75,4.90E-17
106.9,2.00E-17
107.0,2.20E-17
107.2,9.70E-18
107.35,3.20E-17
107.5,4.70E-17
107.75,9.70E-18
108.0,1.00E-17
108.2,1.30E-17
108.3,3.20E-17
108.6,8.60E-18
108.7,3.70E-17
108.8,2.44E-16
109.0,3.10E-17
109.1,1.70E-17
109.2,1.20E-17
109.3,2.00E-17
109.4,1.20E-17
109.5,6.70E-18
109.7,6.30E-18
109.8,5.40E-18
110.0,6.50E-18
110.2,1.00E-17
110.3,1.60E-17
110.45,8.20E-18
110.6,3.10E-17
110.7,8.90E-18
110.9,1.00E-17
111.15,4.30E-17
111.4,2.90E-17
111.7,3.70E-17
112.0,6.80E-17
112.25,2.00E-16
112.5,4.50E-17
112.7,5.40E-17
112.8,1.10E-16
112.9,1.20E-16
113.15,3.70E-17
113.25,2.30E-17
113.55,2.00E-17
113.7,1.20E-17
113.8,2.60E-18
114.0,2.00E-17
114.2,1.80E-17
114.5,3.70E-18
114.65,2.40E-18
114.8,5.20E-18
115.0,3.50E-18
115.4,4.70E-19
115.7,5.10E-18
116.3,2.00E-19
116.6,1.20E-18
117.0,8.00E-20
117.4,6.30E-19
118.0,5.00E-20
118.3,1.00E-19
118.8,3.00E-20
