"Wavelength (nm)","σ (cm^2)"
0.1,2.00E-22
0.2,2.00E-21
0.4,7.00E-21
0.75,5.00E-20
1.25,2.00E-19
1.9,4.00E-19
2.69,1.00E-18
3.6,7.00E-20
5.15,2.00E-19
7.25,4.00E-19
8.96,1.10E-18
9.95,1.43E-18
10.94,1.78E-18
11.93,2.18E-18
12.92,2.58E-18
13.92,3.00E-18
14.92,3.45E-18
15.9,3.88E-18
16.89,4.42E-18
17.88,4.96E-18
18.87,5.50E-18
19.86,6.20E-18
20.85,6.82E-18
21.84,7.51E-18
22.84,8.20E-18
23.83,8.90E-18
24.82,9.55E-18
25.8,1.00E-17
26.8,1.05E-17
27.79,1.08E-17
28.78,1.12E-17
29.77,1.16E-17
30.76,1.21E-17
32.9,1.29E-17
33.73,1.32E-17
35.14,1.36E-17
36.3,1.40E-17
37.47,1.46E-17
38.14,1.49E-17
39.0,1.55E-17
40.54,1.65E-17
41.0,1.68E-17
41.59,1.73E-17
43.67,1.88E-17
44.22,1.92E-17
44.7,1.94E-17
44.97,1.96E-17
45.75,2.00E-17
45.93,2.01E-17
46.2,2.02E-17
46.54,2.04E-17
47.15,2.06E-17
47.53,2.07E-17
47.94,2.08E-17
48.66,2.09E-17
49.17,2.09E-17
49.59,2.10E-17
50.02,2.10E-17
50.85,2.10E-17
51.4,2.11E-17
51.94,2.12E-17
52.65,2.13E-17
53.85,2.16E-17
54.47,2.17E-17
54.89,2.19E-17
55.14,2.19E-17
55.55,2.20E-17
55.85,2.20E-17
56.45,2.21E-17
58.43,2.26E-17
59.0,1.80E-17
59.78,2.22E-17
59.96,2.29E-17
60.0,1.84E-17
60.84,2.27E-17
61.0,2.17E-17
61.08,2.17E-17
61.5,1.70E-17
61.7,2.27E-17
62.0,1.82E-17
62.46,2.27E-17
62.51,2.26E-17
62.59,2.21E-17
62.7,1.70E-17
62.97,2.21E-17
63.0,1.86E-17
63.85,2.32E-17
63.9,2.49E-17
64.12,2.63E-17
64.24,2.20E-17
64.3,1.88E-17
64.56,2.59E-17
64.75,2.52E-17
65.0,1.84E-17
65.35,2.45E-17
65.44,2.71E-17
65.5,2.01E-17
65.6,1.96E-17
65.78,2.43E-17
66.0,1.84E-17
66.37,2.85E-17
66.47,2.57E-17
66.8,2.05E-17
67.05,3.61E-17
67.22,3.62E-17
67.5,2.14E-17
67.6,1.89E-17
68.0,1.98E-17
68.1,3.18E-17
68.27,3.19E-17
68.7,2.14E-17
69.1,2.81E-17
69.25,2.12E-17
70.0,2.27E-17
70.5,2.53E-17
70.65,2.18E-17
70.8,2.37E-17
71.0,2.25E-17
71.2,2.68E-17
71.35,2.37E-17
71.65,3.09E-17
71.7,2.34E-17
71.9,2.52E-17
72.1,3.27E-17
72.3,2.64E-17
72.4,3.01E-17
72.59,4.92E-17
72.7,2.68E-17
72.75,2.83E-17
72.95,2.57E-17
73.02,2.14E-17
73.2,2.81E-17
73.25,2.71E-17
73.32,3.16E-17
73.4,3.03E-17
73.73,2.41E-17
73.83,2.14E-17
73.95,2.49E-17
74.04,2.16E-17
74.15,3.20E-17
74.45,2.05E-17
74.52,2.16E-17
74.62,1.99E-17
74.72,3.27E-17
74.83,2.19E-17
74.92,3.16E-17
74.95,2.82E-17
74.99,2.83E-17
75.12,2.04E-17
75.2,2.23E-17
75.3,2.10E-17
75.45,2.00E-17
75.52,3.35E-17
75.61,2.86E-17
75.72,3.23E-17
75.85,2.76E-17
75.87,2.30E-17
75.9,2.68E-17
75.94,2.69E-17
76.03,1.60E-17
76.04,1.70E-17
76.07,1.71E-17
76.11,1.39E-17
76.2,1.54E-17
76.3,2.42E-17
76.33,2.34E-17
76.38,3.48E-17
76.41,4.24E-17
76.44,4.59E-17
76.51,2.04E-17
76.65,2.79E-17
76.7,2.80E-17
76.75,2.60E-17
76.78,2.62E-17
77.0,1.43E-17
77.11,2.12E-17
77.16,1.79E-17
77.25,3.47E-17
77.31,2.68E-17
77.34,2.91E-17
77.42,2.35E-17
77.45,2.52E-17
77.46,2.76E-17
77.52,3.07E-17
77.64,1.86E-17
77.8,1.19E-17
77.95,3.13E-17
78.0,3.90E-17
78.05,1.66E-17
78.17,3.87E-17
78.21,3.69E-17
78.28,3.75E-17
78.44,1.82E-17
78.5,2.10E-17
78.61,1.25E-17
78.77,1.61E-17
78.9,5.22E-17
79.02,2.01E-17
79.06,2.42E-17
79.15,3.72E-17
79.32,1.56E-17
79.4,2.04E-17
79.51,1.42E-17
79.56,1.65E-17
79.6,1.71E-17
79.68,5.21E-17
79.73,4.66E-17
79.8,5.62E-17
79.9,2.50E-17
79.97,2.29E-17
80.07,2.50E-17
80.3,1.55E-17
80.47,1.95E-17
80.53,3.44E-17
80.62,2.79E-17
80.71,7.56E-17
80.85,2.46E-17
81.02,1.79E-17
81.1,2.11E-17
81.3,1.30E-17
81.44,4.28E-17
81.64,2.08E-17
81.7,2.23E-17
81.8,5.77E-17
81.85,2.57E-17
81.98,2.46E-17
82.1,1.69E-17
82.15,1.88E-17
82.3,1.38E-17
82.45,3.24E-17
82.54,2.27E-17
82.64,2.76E-17
82.7,2.39E-17
82.78,3.63E-17
82.9,1.57E-17
82.99,2.12E-17
83.08,1.71E-17
83.24,2.16E-17
83.35,1.60E-17
83.37,1.81E-17
83.45,1.90E-17
83.52,1.86E-17
83.62,3.38E-17
83.85,2.38E-17
84.0,1.34E-17
84.12,1.71E-17
84.3,1.49E-17
84.4,2.44E-17
84.5,1.75E-17
84.57,2.15E-17
84.63,2.20E-17
84.68,1.90E-17
84.8,3.13E-17
84.85,2.98E-17
84.9,2.73E-17
85.1,2.84E-17
85.19,2.61E-17
85.23,2.61E-17
85.27,2.57E-17
85.36,2.53E-17
85.42,2.72E-17
85.62,2.09E-17
85.72,2.70E-17
85.8,2.09E-17
85.83,2.01E-17
85.9,1.86E-17
86.0,2.53E-17
86.02,2.57E-17
86.12,3.43E-17
86.3,3.05E-17
86.35,3.54E-17
86.46,3.20E-17
86.55,3.79E-17
86.65,4.09E-17
86.7,4.25E-17
86.77,3.58E-17
86.9,2.64E-17
87.0,4.17E-17
87.07,3.63E-17
87.15,5.02E-17
87.23,2.66E-17
87.35,2.36E-17
87.4,2.44E-17
87.5,2.24E-17
87.6,2.62E-17
87.7,2.53E-17
87.75,3.91E-17
87.83,3.39E-17
88.0,4.47E-17
88.09,4.46E-17
88.12,5.69E-17
88.4,2.67E-17
88.45,3.35E-17
88.52,2.34E-17
88.7,2.77E-17
88.9,6.44E-17
89.0,5.92E-17
89.03,6.59E-17
89.3,2.29E-17
89.4,3.83E-17
89.5,2.90E-17
89.67,8.56E-17
89.88,2.27E-17
89.92,1.54E-17
90.02,3.76E-17
90.13,2.38E-17
90.2,3.24E-17
90.32,3.52E-17
90.42,2.21E-17
90.5,7.15E-17
90.58,3.46E-17
90.62,4.39E-17
90.71,3.72E-17
90.83,5.65E-17
90.88,5.51E-17
90.91,6.44E-17
91.03,1.71E-17
91.22,2.87E-17
91.35,6.44E-17
91.5,1.86E-17
91.56,4.35E-17
91.65,1.49E-17
91.75,6.62E-17
92.12,1.71E-17
92.2,6.17E-18
92.25,2.73E-17
92.31,2.49E-17
92.35,2.85E-17
92.37,1.37E-17
92.42,3.63E-17
92.43,9.40E-18
92.48,3.46E-17
92.72,1.25E-17
92.9,2.00E-17
93.05,3.35E-17
93.5,2.15E-17
93.59,2.92E-17
93.73,1.56E-17
94.4,1.20E-17
94.72,1.67E-17
94.82,3.50E-17
94.86,3.70E-17
95.35,5.58E-18
95.92,4.91E-18
96.1,2.79E-17
96.3,4.09E-18
96.5,2.94E-17
96.65,1.09E-17
97.12,3.54E-18
97.25,3.52E-18
97.7,2.80E-19
97.75,2.57E-17
97.9,2.03E-17
98.3,4.47E-18
98.98,2.45E-18
99.15,1.20E-18
99.58,2.03E-18
102.57,1.50E-20
103.76,1.50E-20
103.8,1.00E-35
111.78,1.00E-35
