"Wavelength (nm)","σ (cm^2)"
0.1,9.00E-23
1.0,9.10E-20
2.25,7.60E-19
2.35,2.40E-19
4.1,1.10E-18
4.3,1.60E-19
5.0,2.50E-19
10.0,1.30E-18
20.0,5.90E-18
30.0,1.00E-17
40.0,1.42E-17
50.0,1.81E-17
60.0,2.50E-17
61.5,3.30E-17
62.4,3.10E-17
62.8,3.75E-17
63.4,3.50E-17
64.2,3.70E-17
66.0,3.40E-17
67.0,3.00E-17
68.0,3.60E-17
69.0,3.49E-17
70.4,3.49E-17
71.9,3.30E-17
72.1,3.70E-17
72.3,3.70E-17
72.5,3.00E-17
73.5,3.30E-17
73.7,2.71E-17
74.1,2.80E-17
74.4,3.50E-17
75.0,3.40E-17
75.2,3.09E-17
76.0,3.20E-17
77.0,3.70E-17
77.4,3.50E-17
77.8,4.40E-17
78.0,4.10E-17
78.5,4.80E-17
79.1,4.80E-17
79.3,4.09E-17
80.0,4.70E-17
80.1,3.51E-17
80.5,4.10E-17
80.7,3.30E-17
81.2,3.70E-17
81.3,4.80E-17
81.5,3.70E-17
83.0,4.10E-17
83.2,3.20E-17
83.8,4.70E-17
84.0,3.00E-17
84.4,4.10E-17
85.0,2.40E-17
85.3,3.60E-17
85.7,2.40E-17
86.0,2.80E-17
86.7,1.89E-17
87.0,2.49E-17
87.5,1.90E-17
87.9,2.89E-17
88.1,1.30E-17
88.2,1.38E-17
90.0,3.90E-17
90.6,3.60E-17
91.0,3.00E-17
91.5,4.60E-17
91.9,3.70E-17
92.7,5.00E-17
92.8,5.90E-17
93.0,5.20E-17
93.3,5.20E-17
93.5,7.10E-17
93.8,4.70E-17
94.4,6.70E-17
95.0,3.49E-17
95.6,5.80E-17
96.0,3.30E-17
96.5,2.40E-17
97.0,3.20E-17
97.2,2.01E-17
98.1,3.20E-17
99.0,1.50E-17
100.0,1.70E-17
104.3,1.62E-17
104.31,1.62E-17
110.0,1.51E-17
114.17,1.67E-17
115.0,1.70E-17
116.0,1.90E-17
116.4,1.10E-17
116.8,1.80E-17
117.2,9.30E-18
