"Wavelength (nm)","σ (cm^2)"
0.1,8.00E-23
0.99,4.20E-20
1.34,8.90E-20
2.9,1.40E-18
3.0,7.00E-20
4.46,1.80E-19
6.8,4.50E-19
10.0,8.50E-19
15.0,2.40E-18
20.93,6.50E-18
24.72,9.80E-18
30.38,1.20E-17
34.8,1.60E-17
39.5,1.85E-17
43.0,2.10E-17
43.5,2.37E-17
49.8,2.42E-17
50.75,2.43E-17
50.82,2.23E-17
51.04,2.30E-17
51.96,2.58E-17
52.22,2.36E-17
52.58,2.62E-17
53.7,2.52E-17
55.33,2.49E-17
55.41,2.53E-17
55.45,2.46E-17
55.53,2.48E-17
58.43,2.31E-17
59.78,2.34E-17
59.96,2.34E-17
60.0,2.74E-17
60.84,2.34E-17
60.98,2.60E-17
61.08,2.33E-17
61.7,2.37E-17
62.0,2.90E-17
62.46,2.40E-17
62.51,2.39E-17
62.58,2.40E-17
62.97,2.42E-17
63.0,2.92E-17
64.0,2.94E-17
65.0,2.94E-17
66.0,2.79E-17
67.0,2.21E-17
67.14,2.38E-17
67.41,2.16E-17
67.51,2.57E-17
67.97,2.16E-17
68.19,2.90E-17
68.5,2.43E-17
68.57,2.49E-17
68.63,2.41E-17
69.09,2.08E-17
69.49,3.54E-17
70.0,2.38E-17
71.0,2.53E-17
71.53,2.31E-17
72.13,2.68E-17
72.34,4.91E-17
72.6,2.57E-17
72.95,2.96E-17
73.3,2.62E-17
73.48,2.66E-17
73.59,2.20E-17
73.68,2.31E-17
73.74,1.75E-17
73.78,2.27E-17
73.84,1.71E-17
73.97,2.43E-17
74.05,1.56E-17
74.14,1.60E-17
74.26,1.53E-17
74.37,2.83E-17
74.47,2.53E-17
74.55,2.77E-17
74.65,2.53E-17
74.7,2.12E-17
74.76,2.53E-17
74.84,2.08E-17
74.93,2.79E-17
74.96,2.64E-17
75.08,3.24E-17
75.2,1.57E-17
75.25,2.08E-17
75.29,1.94E-17
75.43,5.17E-17
75.65,1.56E-17
75.73,3.57E-17
75.77,2.27E-17
75.85,3.24E-17
75.87,2.39E-17
75.94,1.16E-17
75.95,1.56E-17
76.03,1.98E-17
76.11,4.01E-17
76.15,3.87E-17
76.2,2.78E-17
76.27,1.28E-17
76.33,2.73E-17
76.36,2.90E-17
76.44,1.35E-17
76.45,2.31E-17
76.5,4.69E-17
76.51,8.54E-17
76.7,1.14E-17
76.85,2.90E-17
77.05,1.02E-17
77.15,6.33E-17
77.4,1.04E-17
77.45,3.40E-17
77.85,2.68E-17
77.99,1.28E-17
78.0,1.49E-17
78.1,4.47E-17
78.25,1.45E-17
78.35,8.56E-17
78.52,1.51E-17
78.62,2.98E-17
78.77,8.41E-18
78.8,7.44E-18
78.95,2.94E-17
79.02,2.27E-17
79.05,2.07E-17
79.2,5.17E-17
79.35,2.05E-17
79.5,4.24E-17
79.8,4.70E-18
80.1,5.51E-17
80.15,7.33E-17
80.22,4.17E-18
80.23,2.75E-17
80.37,1.30E-17
80.4,8.19E-18
80.45,3.35E-18
80.5,4.84E-18
80.58,3.54E-17
80.6,1.66E-17
80.63,1.51E-17
80.65,5.21E-17
80.66,9.53E-17
80.8,4.43E-18
80.88,1.49E-17
80.9,7.44E-18
81.0,1.56E-18
81.05,5.21E-18
81.15,1.86E-18
81.25,1.82E-17
81.35,4.84E-17
81.37,8.26E-17
81.5,4.84E-18
81.6,6.25E-18
81.75,7.80E-19
81.86,6.81E-17
81.9,4.24E-17
82.01,8.56E-18
82.03,4.35E-18
82.1,1.22E-17
82.12,2.08E-17
82.25,3.80E-19
82.26,1.12E-18
82.33,1.49E-18
82.45,1.19E-17
82.49,1.38E-17
82.52,1.49E-18
82.57,2.46E-17
82.6,1.67E-17
82.64,8.19E-18
82.8,7.56E-19
82.85,7.37E-18
82.86,4.84E-18
82.93,3.35E-18
83.15,3.01E-19
83.2,3.61E-18
83.3,5.50E-19
83.35,7.26E-18
83.41,5.58E-18
83.45,1.94E-18
83.5,1.84E-17
83.51,2.64E-17
83.65,1.09E-18
83.74,1.64E-17
83.75,1.64E-17
84.0,1.97E-18
84.08,2.16E-17
84.09,3.01E-17
84.15,1.30E-17
84.2,2.23E-17
84.22,2.94E-17
84.29,1.19E-17
84.35,1.12E-18
84.41,2.94E-17
84.42,2.12E-17
84.62,7.44E-19
84.69,5.51E-18
84.7,2.98E-18
84.82,4.09E-19
84.97,1.97E-17
85.0,2.85E-17
85.01,3.72E-17
85.25,1.15E-18
85.28,2.68E-18
85.35,3.35E-17
85.37,4.76E-17
85.5,1.86E-18
85.62,1.86E-17
85.63,2.46E-17
85.67,1.51E-18
85.71,2.20E-17
85.72,2.46E-17
85.9,3.31E-18
85.97,1.60E-18
85.98,5.54E-19
86.0,3.80E-19
86.08,8.84E-18
86.13,4.54E-19
86.2,5.81E-18
86.25,6.90E-19
86.33,7.44E-18
86.35,9.30E-18
86.42,5.99E-19
86.5,1.67E-17
86.54,2.87E-17
86.61,6.07E-19
86.65,2.34E-18
86.68,2.20E-17
86.7,3.80E-17
86.81,1.97E-17
87.0,5.29E-19
87.09,2.27E-17
87.15,3.13E-17
87.17,4.09E-17
87.32,2.62E-18
87.42,4.54E-19
87.5,2.75E-19
87.55,1.12E-17
87.62,4.17E-17
87.65,2.64E-17
87.74,1.34E-17
87.83,5.62E-18
87.9,1.82E-18
87.92,5.58E-18
87.96,6.70E-18
88.02,5.62E-19
88.1,4.47E-17
88.11,4.17E-17
88.2,8.19E-18
88.26,1.49E-17
88.27,2.16E-17
88.39,7.44E-18
88.5,3.57E-19
88.58,9.23E-18
88.6,2.20E-17
88.63,1.94E-17
88.64,7.52E-18
88.69,2.53E-17
88.7,1.67E-17
88.83,4.84E-19
88.89,1.08E-17
88.92,9.27E-18
89.05,4.17E-19
89.11,8.56E-18
89.22,1.23E-17
89.3,1.90E-18
89.32,4.32E-19
89.4,9.60E-18
89.55,4.39E-19
89.62,1.38E-17
89.72,3.30E-17
89.83,5.17E-18
89.9,9.30E-18
89.93,1.30E-17
89.98,8.93E-18
90.05,5.43E-19
90.08,1.90E-18
90.12,9.68E-18
90.13,1.19E-17
90.23,5.66E-19
90.25,1.34E-17
90.3,1.11E-17
90.36,1.67E-17
90.4,5.81E-19
90.47,1.67E-17
90.5,1.00E-17
90.7,6.18E-19
90.76,8.93E-18
90.8,7.44E-18
90.97,1.15E-18
91.0,6.14E-19
91.06,1.34E-17
91.08,5.58E-18
91.18,2.23E-18
91.2,7.63E-19
91.26,3.57E-17
91.27,6.92E-17
91.6,1.90E-19
91.64,1.97E-17
91.77,1.11E-17
91.92,1.08E-18
91.93,4.21E-19
92.0,2.81E-17
92.13,9.30E-18
92.2,1.30E-18
92.28,2.23E-17
92.3,1.11E-17
92.5,6.48E-19
92.61,8.56E-18
92.7,4.47E-18
92.77,2.61E-19
92.82,7.82E-19
92.87,3.35E-17
92.9,7.37E-17
93.15,5.95E-19
93.19,4.47E-18
93.25,3.72E-18
93.43,5.58E-20
93.45,5.21E-19
93.5,3.65E-18
93.53,3.35E-18
93.7,5.21E-20
93.79,1.08E-17
93.85,6.70E-17
93.88,9.16E-17
93.99,3.01E-17
94.05,3.80E-19
94.25,1.90E-17
94.55,8.20E-19
94.62,4.84E-18
94.67,5.58E-18
94.75,5.58E-19
94.8,7.63E-20
94.92,6.10E-18
95.0,5.77E-20
95.02,3.72E-19
95.12,4.76E-20
95.2,1.04E-19
95.3,2.08E-19
95.4,7.44E-20
95.45,4.17E-20
95.51,1.60E-17
95.55,1.86E-18
95.7,1.08E-18
95.8,1.86E-17
95.82,4.17E-17
95.88,3.01E-17
95.93,9.49E-20
96.0,2.94E-17
96.03,7.07E-17
96.35,1.60E-19
96.5,1.34E-18
96.55,4.84E-17
96.58,1.00E-16
97.0,5.21E-19
97.25,2.51E-16
97.6,9.49E-20
97.7,6.89E-20
