"Wavelength (nm)","σ (cm^2)"
0.1,1.00E-21
1.0,4.20E-20
3.0,7.20E-19
3.1,3.60E-20
5.0,1.10E-19
10.0,6.10E-19
15.0,1.40E-18
20.0,2.50E-18
25.0,4.00E-18
30.0,6.00E-18
35.0,8.00E-18
37.41,2.00E-17
37.43,1.70E-17
38.7,1.82E-17
50.37,2.90E-17
51.15,2.40E-17
53.83,2.80E-17
53.92,2.80E-17
53.94,2.60E-17
53.99,3.10E-17
55.51,2.70E-17
56.0,3.20E-17
58.04,3.32E-17
58.1,3.46E-17
58.22,3.49E-17
60.0,3.87E-17
62.5,4.41E-17
65.0,4.65E-17
67.5,4.80E-17
69.0,5.00E-17
70.0,5.09E-17
72.5,4.87E-17
75.0,4.45E-17
77.5,3.90E-17
80.0,3.22E-17
82.5,3.03E-17
85.0,2.72E-17
87.5,2.39E-17
90.0,2.06E-17
92.5,1.69E-17
94.0,1.57E-17
95.0,1.56E-17
96.0,1.68E-17
97.5,1.93E-17
98.5,2.15E-17
100.0,2.32E-17
100.5,2.41E-17
101.0,2.53E-17
101.4,2.46E-17
102.0,2.46E-17
102.7,2.46E-17
103.0,2.42E-17
103.3,2.45E-17
103.8,2.40E-17
104.0,2.52E-17
104.4,2.61E-17
105.0,2.46E-17
105.6,2.33E-17
106.0,2.49E-17
106.5,2.57E-17
107.0,2.58E-17
107.3,2.55E-17
107.7,2.36E-17
108.0,2.28E-17
108.4,2.29E-17
109.0,2.25E-17
109.3,2.28E-17
109.9,2.36E-17
110.5,2.26E-17
110.8,2.41E-17
111.1,2.33E-17
111.5,2.37E-17
112.0,2.16E-17
112.2,2.33E-17
112.5,2.03E-17
112.7,2.10E-17
113.0,1.92E-17
113.6,2.08E-17
114.0,1.84E-17
114.2,1.68E-17
114.5,1.71E-17
115.0,1.90E-17
115.2,2.06E-17
115.5,1.55E-17
115.7,1.46E-17
115.9,1.51E-17
116.0,1.33E-17
116.5,2.20E-17
117.0,1.21E-17
117.3,1.75E-17
117.6,1.36E-17
117.8,2.72E-17
118.0,2.25E-17
118.5,1.15E-17
118.7,1.86E-17
118.9,1.33E-17
119.05,1.30E-17
119.15,2.03E-17
119.25,2.78E-17
119.3,1.57E-17
119.4,2.25E-17
119.5,1.78E-17
119.6,1.82E-17
119.8,1.44E-17
120.0,9.10E-18
120.2,1.88E-17
120.35,8.60E-18
120.4,1.22E-17
120.5,1.22E-17
120.75,2.33E-17
120.85,1.59E-17
121.0,1.39E-17
121.05,1.94E-17
121.4,7.20E-18
121.5,7.20E-18
121.7,9.40E-18
121.8,2.20E-17
121.9,1.03E-17
122.0,9.50E-18
122.0,9.50E-18
122.15,2.19E-17
122.5,1.20E-17
122.65,1.49E-17
122.9,4.50E-18
123.0,4.70E-18
123.05,6.50E-18
123.15,6.30E-18
123.35,2.16E-17
123.7,8.60E-18
123.85,2.87E-17
124.0,1.30E-17
124.2,1.20E-17
124.4,3.20E-18
124.7,4.50E-18
124.95,2.72E-17
125.25,6.30E-18
125.4,2.57E-17
125.6,1.45E-17
126.0,2.20E-18
126.2,5.21E-18
126.5,2.23E-17
126.8,9.50E-18
127.0,1.30E-17
127.05,2.79E-17
127.15,2.75E-17
127.5,3.50E-18
127.75,3.00E-18
128.0,5.20E-18
128.1,2.23E-17
128.2,1.34E-17
128.3,1.23E-17
128.4,1.94E-17
128.6,9.70E-18
128.7,1.53E-17
128.8,1.08E-17
128.95,3.13E-17
129.4,3.70E-18
129.5,3.40E-18
129.6,5.60E-18
129.7,3.60E-18
129.8,1.39E-17
129.9,8.40E-18
130.0,1.60E-17
130.1,1.02E-17
130.3,1.67E-17
130.5,1.04E-17
130.6,9.30E-18
130.75,3.78E-17
131.0,7.10E-18
131.2,3.60E-18
131.4,7.60E-18
131.45,4.80E-18
131.5,9.70E-18
131.55,5.40E-18
131.65,8.40E-18
131.95,1.38E-17
132.0,1.17E-17
132.05,1.30E-17
132.25,7.40E-18
132.45,5.02E-17
132.8,5.20E-18
133.0,6.00E-18
133.25,2.90E-18
133.5,1.27E-17
133.75,1.67E-17
134.0,8.30E-18
134.1,8.10E-18
134.25,6.70E-17
134.5,1.49E-17
134.6,7.40E-18
134.9,3.30E-18
135.1,4.80E-17
135.4,1.34E-17
135.6,1.49E-17
135.85,6.70E-18
135.95,6.70E-18
136.05,4.47E-17
136.15,4.65E-17
136.3,8.70E-18
136.4,8.40E-18
136.65,3.30E-18
136.85,3.30E-18
137.0,6.00E-18
137.2,6.00E-18
137.25,1.08E-17
137.35,1.12E-17
137.4,1.41E-17
137.7,5.20E-18
137.9,5.21E-17
138.0,2.42E-17
138.4,4.80E-18
138.5,4.50E-18
138.6,2.80E-18
138.9,3.20E-18
139.3,9.70E-18
139.6,3.30E-18
139.75,4.47E-17
139.85,1.30E-17
140.0,9.30E-18
140.1,5.20E-18
140.3,4.80E-18
140.7,2.20E-18
141.05,6.00E-18
141.2,3.70E-18
141.4,2.20E-18
141.55,1.86E-17
141.65,3.31E-18
141.75,2.70E-18
142.0,4.10E-18
142.1,2.60E-18
142.4,1.70E-18
142.5,4.10E-18
142.7,1.61E-18
142.8,2.60E-18
143.1,1.50E-18
143.3,3.71E-18
143.4,4.10E-18
143.7,1.50E-18
143.8,2.50E-18
144.0,1.90E-18
144.1,1.50E-18
144.4,1.00E-18
144.5,3.00E-18
144.65,3.70E-18
144.85,1.90E-18
145.0,1.00E-18
145.3,1.30E-18
145.5,6.00E-19
145.7,1.20E-18
146.35,1.20E-18
146.6,5.00E-19
146.7,6.00E-18
146.8,1.90E-18
147.0,4.80E-18
147.1,1.70E-18
147.2,1.70E-18
147.35,7.00E-19
147.4,1.00E-18
147.5,4.00E-19
147.8,4.00E-19
148.0,1.00E-18
148.2,7.00E-19
148.4,1.00E-18
148.5,7.01E-19
148.6,4.00E-19
148.8,2.01E-19
149.0,4.00E-19
149.1,5.50E-18
149.2,3.00E-18
149.3,4.10E-18
149.6,3.50E-19
149.7,8.20E-19
149.8,3.00E-19
150.0,2.80E-19
150.1,6.30E-19
150.2,1.10E-18
150.4,7.40E-19
150.5,5.60E-19
151.0,1.80E-19
151.3,2.20E-19
151.4,1.04E-17
151.5,6.70E-18
151.6,7.41E-18
152.0,2.20E-19
152.3,8.90E-18
152.4,4.10E-18
152.5,8.40E-18
152.6,3.71E-19
152.8,5.20E-19
152.9,4.50E-19
153.0,4.50E-19
153.4,1.91E-19
153.5,1.10E-19
153.8,7.44E-18
153.9,4.84E-18
154.0,1.16E-17
154.1,2.98E-18
154.35,6.30E-19
154.4,3.35E-18
154.5,3.30E-19
154.6,1.49E-18
154.8,3.70E-19
155.3,3.70E-19
155.8,1.10E-19
156.0,3.70E-19
156.1,1.90E-18
156.2,1.00E-17
156.3,4.10E-18
156.4,6.33E-18
156.55,2.98E-18
156.6,4.47E-18
156.7,7.41E-19
156.7,8.20E-19
157.1,1.90E-19
157.2,3.30E-19
157.3,1.90E-19
157.4,3.00E-19
157.8,2.20E-19
158.0,1.30E-19
158.5,2.20E-19
158.7,6.70E-18
158.8,3.72E-18
159.0,3.35E-18
159.1,1.49E-18
159.5,2.60E-19
160.0,2.05E-19
161.0,3.16E-19
161.1,1.75E-18
161.2,2.00E-18
161.3,3.10E-18
161.4,2.08E-18
161.5,7.10E-19
161.6,7.10E-19
162.0,2.70E-19
162.7,3.35E-19
163.1,4.50E-19
163.6,6.30E-19
163.8,1.86E-18
163.9,9.30E-19
164.0,1.45E-18
164.8,3.72E-19
166.0,1.35E-18
167.0,6.60E-19
168.5,1.60E-18
170.0,9.50E-19
171.5,2.80E-18
173.0,1.35E-18
175.0,4.30E-18
176.5,1.80E-18
178.0,6.70E-18
179.5,2.60E-18
181.0,9.80E-18
182.5,3.20E-18
184.0,1.30E-17
185.5,4.00E-18
187.0,1.60E-17
188.5,4.00E-18
190.5,1.60E-17
192.0,3.50E-18
194.0,2.00E-17
195.5,3.00E-18
197.5,1.80E-17
199.5,1.80E-18
201.5,1.60E-17
203.5,1.20E-18
205.0,1.05E-17
207.0,5.70E-19
208.5,6.30E-18
209.0,6.30E-18
210.5,1.50E-19
211.5,8.40E-19
212.5,8.40E-19
214.5,7.00E-20
216.5,5.70E-19
217.0,7.30E-19
219.0,1.20E-20
220.5,1.20E-19
221.0,1.30E-19
223.0,2.00E-21
224.0,1.00E-20
224.5,1.20E-20
226.0,2.10E-21
227.5,1.70E-22
231.0,3.70E-23
233.0,3.70E-24
279.8,1.86E-24
